symbol,date,open,high,low,close,volume,oi,expiry
BANKNIFTY ,2025-12-11,59310.0,59719.2,59085.0,59496.2,975310.0,1745415.0,2025-12-30
BANKNIFTY ,2025-12-11,59677.6,60025.0,59430.0,59821.6,63180.0,206310.0,2026-01-27
BANKNIFTY ,2025-12-11,59914.8,60360.0,59800.0,60174.8,20370.0,41430.0,2026-02-24
FINNIFTY  ,2025-12-11,27592.7,27775.5,27500.0,27695.5,19435.0,33930.0,2025-12-30
FINNIFTY  ,2025-12-11,27800.0,27905.0,27800.0,27850.0,660.0,1260.0,2026-01-27
360ONE    ,2025-12-11,1112.9,1146.0,1099.6,1138.0,660000.0,1747500.0,2025-12-30
360ONE    ,2025-12-11,1107.9,1144.1,1107.9,1137.6,91000.0,57500.0,2026-01-27
360ONE    ,2025-12-11,1134.9,1135.1,1134.9,1135.1,1500.0,3500.0,2026-02-24
ABB       ,2025-12-11,5156.0,5271.0,5156.0,5258.0,456500.0,2598875.0,2025-12-30
ABB       ,2025-12-11,5182.0,5284.5,5179.5,5270.5,69375.0,154250.0,2026-01-27
ABB       ,2025-12-11,5240.0,5296.0,5237.0,5285.5,9375.0,19625.0,2026-02-24
ABCAPITAL ,2025-12-11,362.45,363.7,354.0,355.6,11274700.0,74396900.0,2025-12-30
ABCAPITAL ,2025-12-11,363.6,365.7,356.6,357.85,1333000.0,1949900.0,2026-01-27
ABCAPITAL ,2025-12-11,365.9,366.7,359.5,359.85,136400.0,384400.0,2026-02-24
ADANIENSOL,2025-12-11,994.8,1008.2,981.15,1002.8,1625400.0,18831150.0,2025-12-30
ADANIENSOL,2025-12-11,987.0,1012.9,987.0,1008.4,70200.0,136350.0,2026-01-27
ADANIENSOL,2025-12-11,999.0,1014.0,997.0,1010.2,22950.0,67500.0,2026-02-24
ADANIENT  ,2025-12-11,2226.0,2305.2,2198.3,2290.0,4301589.0,20214162.0,2025-12-30
ADANIENT  ,2025-12-11,2230.0,2312.0,2206.0,2295.7,452067.0,1564467.0,2026-01-27
ADANIENT  ,2025-12-11,2217.8,2311.0,2214.0,2302.3,33990.0,273774.0,2026-02-24
ADANIGREEN,2025-12-11,995.9,1032.0,975.7,1025.2,10184400.0,24537000.0,2025-12-30
ADANIGREEN,2025-12-11,997.6,1037.0,984.0,1030.9,370200.0,846600.0,2026-01-27
ADANIGREEN,2025-12-11,1004.1,1041.6,990.0,1036.3,45600.0,196200.0,2026-02-24
ADANIPORTS,2025-12-11,1502.7,1522.3,1501.2,1512.5,1878150.0,22521650.0,2025-12-30
ADANIPORTS,2025-12-11,1511.0,1531.0,1510.7,1519.9,256025.0,1076825.0,2026-01-27
ADANIPORTS,2025-12-11,1526.2,1538.9,1524.6,1528.6,56050.0,255075.0,2026-02-24
ALKEM     ,2025-12-11,5612.5,5684.5,5590.0,5652.0,77000.0,1599875.0,2025-12-30
ALKEM     ,2025-12-11,5647.5,5710.0,5626.0,5676.0,2250.0,10750.0,2026-01-27
AMBER     ,2025-12-11,6482.0,6634.0,6421.5,6523.0,230900.0,1085300.0,2025-12-30
AMBER     ,2025-12-11,6368.5,6545.0,6334.5,6435.0,14700.0,123700.0,2026-01-27
AMBER     ,2025-12-11,6430.0,6430.0,6400.0,6420.0,400.0,7300.0,2026-02-24
AMBUJACEM ,2025-12-11,532.1,539.95,527.0,538.85,4768050.0,48365100.0,2025-12-30
AMBUJACEM ,2025-12-11,539.0,542.7,530.5,541.8,303450.0,1362900.0,2026-01-27
AMBUJACEM ,2025-12-11,535.9,545.05,534.45,544.75,37800.0,187950.0,2026-02-24
ANGELONE  ,2025-12-11,2456.2,2578.5,2431.0,2571.8,1278000.0,3540250.0,2025-12-30
ANGELONE  ,2025-12-11,2422.0,2548.0,2415.6,2542.5,131500.0,364250.0,2026-01-27
ANGELONE  ,2025-12-11,2437.8,2530.0,2430.0,2528.0,9000.0,35250.0,2026-02-24
APLAPOLLO ,2025-12-11,1732.6,1740.4,1718.7,1732.0,438900.0,7399700.0,2025-12-30
APLAPOLLO ,2025-12-11,1745.1,1750.2,1729.2,1741.5,37100.0,90650.0,2026-01-27
APLAPOLLO ,2025-12-11,1741.2,1756.2,1740.0,1756.2,2450.0,39550.0,2026-02-24
APOLLOHOSP,2025-12-11,7112.5,7112.5,7000.0,7035.0,286250.0,3183125.0,2025-12-30
APOLLOHOSP,2025-12-11,7087.5,7125.0,7051.0,7082.0,24000.0,105625.0,2026-01-27
APOLLOHOSP,2025-12-11,7108.0,7140.0,7097.0,7105.5,2875.0,11375.0,2026-02-24
ASHOKLEY  ,2025-12-11,158.7,161.6,157.5,160.82,17540000.0,135460000.0,2025-12-30
ASHOKLEY  ,2025-12-11,158.99,161.1,157.16,160.48,1785000.0,8995000.0,2026-01-27
ASHOKLEY  ,2025-12-11,157.0,160.0,156.78,159.92,90000.0,485000.0,2026-02-24
ASIANPAINT,2025-12-11,2798.0,2813.4,2767.5,2786.4,1295750.0,11164750.0,2025-12-30
ASIANPAINT,2025-12-11,2816.7,2827.0,2787.0,2804.0,105500.0,332000.0,2026-01-27
ASIANPAINT,2025-12-11,2838.0,2838.0,2807.7,2823.7,8500.0,59500.0,2026-02-24
ASTRAL    ,2025-12-11,1405.9,1418.0,1393.5,1414.6,1149200.0,7198650.0,2025-12-30
ASTRAL    ,2025-12-11,1400.9,1421.9,1398.8,1417.7,116875.0,446675.0,2026-01-27
