symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
ALKEM,2021-02-26,2660.0,2840.0,2640.05,2740.4,31200.0,16000.0,2021-03-25
ALKEM,2021-03-01,2742.15,2869.6,2739.9,2845.7,34200.0,21200.0,2021-03-25
ALKEM,2021-03-02,2800.0,2985.0,2800.0,2936.7,180600.0,90600.0,2021-03-25
ALKEM,2021-03-03,2955.15,2955.2,2857.0,2862.6,133000.0,129200.0,2021-03-25
ALKEM,2021-03-04,2831.5,2870.0,2821.85,2847.25,88800.0,151600.0,2021-03-25
ALKEM,2021-03-05,2847.0,2847.0,2790.0,2797.15,57600.0,158800.0,2021-03-25
ALKEM,2021-03-08,2796.0,2808.65,2782.0,2794.95,31800.0,158800.0,2021-03-25
ALKEM,2021-03-09,2817.55,2818.25,2763.1,2787.75,107400.0,166800.0,2021-03-25
ALKEM,2021-03-10,2786.8,2808.75,2747.0,2757.85,118600.0,217000.0,2021-03-25
ALKEM,2021-03-12,2758.85,2794.95,2745.05,2778.45,113400.0,212400.0,2021-03-25
ALKEM,2021-03-15,2797.85,2797.85,2678.4,2695.7,100400.0,212200.0,2021-03-25
ALKEM,2021-03-16,2689.65,2704.9,2653.05,2665.1,82400.0,210400.0,2021-03-25
ALKEM,2021-03-17,2652.8,2677.7,2626.7,2633.35,71000.0,198800.0,2021-03-25
ALKEM,2021-03-18,2644.8,2650.0,2616.35,2630.5,68600.0,201800.0,2021-03-25
ALKEM,2021-03-19,2620.05,2640.4,2586.05,2634.7,64400.0,191200.0,2021-03-25
ALKEM,2021-03-22,2598.0,2667.5,2597.95,2629.1,57200.0,187800.0,2021-03-25
ALKEM,2021-03-23,2630.0,2641.3,2590.45,2606.0,69200.0,160800.0,2021-03-25
ALKEM,2021-03-24,2606.0,2606.0,2496.9,2530.8,164400.0,178600.0,2021-04-29
ALKEM,2021-03-25,2528.95,2613.65,2528.95,2598.9,234600.0,230000.0,2021-04-29
ALKEM,2021-03-26,2655.45,2655.45,2577.5,2599.1,96200.0,219200.0,2021-04-29
ALKEM,2021-03-30,2615.35,2697.45,2610.2,2686.65,120600.0,232600.0,2021-04-29
ALKEM,2021-03-31,2674.05,2742.0,2674.05,2712.85,145200.0,218200.0,2021-04-29
ALKEM,2021-04-01,2720.95,2734.05,2682.8,2719.25,95400.0,200000.0,2021-04-29
ALKEM,2021-04-05,2729.05,2729.05,2611.3,2657.5,99800.0,185800.0,2021-04-29
ALKEM,2021-04-06,2670.05,2735.0,2644.2,2672.35,137400.0,191400.0,2021-04-29
ALKEM,2021-04-07,2701.65,2713.95,2663.2,2682.75,95400.0,207600.0,2021-04-29
ALKEM,2021-04-08,2698.25,2703.5,2651.5,2658.35,67000.0,212800.0,2021-04-29
ALKEM,2021-04-09,2657.25,2835.7,2657.25,2788.2,471600.0,298600.0,2021-04-29
ALKEM,2021-04-12,2775.0,2833.0,2667.1,2690.2,374400.0,295000.0,2021-04-29
ALKEM,2021-04-13,2715.95,2782.95,2683.2,2696.85,125000.0,296800.0,2021-04-29
ALKEM,2021-04-15,2670.55,2709.0,2620.0,2692.25,152800.0,294000.0,2021-04-29
ALKEM,2021-04-16,2689.95,2753.9,2680.25,2733.4,146600.0,296600.0,2021-04-29
ALKEM,2021-04-19,2715.0,2730.35,2666.3,2693.45,114200.0,297800.0,2021-04-29
ALKEM,2021-04-20,2702.8,2710.0,2667.85,2677.55,94800.0,290200.0,2021-04-29
ALKEM,2021-04-22,2665.9,2798.0,2657.55,2738.25,245400.0,298800.0,2021-04-29
ALKEM,2021-04-23,2747.55,2771.4,2679.05,2714.25,146800.0,281600.0,2021-04-29
ALKEM,2021-04-26,2779.0,2779.0,2685.05,2733.35,107400.0,272400.0,2021-04-29
ALKEM,2021-04-27,2709.3,2733.95,2695.5,2710.3,175000.0,205200.0,2021-04-29
ALKEM,2021-04-28,2710.3,2710.3,2682.4,2694.4,95800.0,184600.0,2021-05-27
ALKEM,2021-04-29,2684.3,2739.85,2663.9,2681.9500000000003,148400.0,225800.0,2021-05-27
ALKEM,2021-04-30,2686.7000000000003,2708.85,2674.6,2685.5,86200.0,222800.0,2021-05-27
ALKEM,2021-05-03,2711.3,2760.4,2676.25,2693.4500000000003,174000.0,251600.0,2021-05-27
ALKEM,2021-05-04,2701.9500000000003,2734.9,2683.1,2722.2000000000003,129400.0,247400.0,2021-05-27
