symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
BAJFINANCE,2020-01-01,4251.95,4270.85,4238.4,4247.35,797500.0,7554500.0,2020-01-30
BAJFINANCE,2020-01-02,4255.0,4312.65,4252.7,4265.95,2670750.0,7614750.0,2020-01-30
BAJFINANCE,2020-01-03,4242.4,4248.15,4182.55,4213.25,3609250.0,7630500.0,2020-01-30
BAJFINANCE,2020-01-06,4185.8,4225.05,4003.1,4013.45,6573750.0,7326000.0,2020-01-30
BAJFINANCE,2020-01-07,4056.05,4104.0,4011.2,4029.4,3858000.0,7409500.0,2020-01-30
BAJFINANCE,2020-01-08,3980.1,4072.8,3971.45,4061.6,3167250.0,7279750.0,2020-01-30
BAJFINANCE,2020-01-09,4114.8,4158.0,4099.3,4133.45,2750750.0,7187000.0,2020-01-30
BAJFINANCE,2020-01-10,4139.9,4198.9,4126.75,4152.45,2868500.0,7171250.0,2020-01-30
BAJFINANCE,2020-01-13,4170.15,4189.95,4152.0,4172.25,1314500.0,7144250.0,2020-01-30
BAJFINANCE,2020-01-14,4172.85,4210.7,4157.15,4201.1,1690250.0,7180500.0,2020-01-30
BAJFINANCE,2020-01-15,4193.1,4228.9,4181.0,4220.05,1629000.0,7217000.0,2020-01-30
BAJFINANCE,2020-01-16,4205.0,4239.55,4205.0,4228.7,1241250.0,7202000.0,2020-01-30
BAJFINANCE,2020-01-17,4219.85,4249.0,4208.2,4238.75,1231500.0,7236750.0,2020-01-30
BAJFINANCE,2020-01-20,4240.05,4262.75,4138.5,4165.8,2164500.0,7164000.0,2020-01-30
BAJFINANCE,2020-01-21,4148.0,4194.0,4125.0,4151.95,1694250.0,7190500.0,2020-01-30
BAJFINANCE,2020-01-22,4189.0,4191.9,4134.05,4155.85,1633250.0,7162500.0,2020-01-30
BAJFINANCE,2020-01-23,4149.6,4177.9,4088.5,4127.5,2556250.0,6890500.0,2020-01-30
BAJFINANCE,2020-01-24,4130.4,4210.9,4115.2,4196.45,2460250.0,6236750.0,2020-01-30
BAJFINANCE,2020-01-27,4172.95,4207.15,4155.1,4161.9,2028000.0,5876500.0,2020-01-30
BAJFINANCE,2020-01-28,4162.7,4251.7,4145.7,4216.5,4348500.0,5102000.0,2020-01-30
BAJFINANCE,2020-01-29,4216.5,4418.2,4198.349999999999,4399.3,6050250.0,4856250.0,2020-02-27
BAJFINANCE,2020-01-30,4433.05,4455.2,4315.2,4345.5,5385250.0,5911000.0,2020-02-27
BAJFINANCE,2020-01-31,4359.2,4391.8,4309.95,4339.349999999999,2984750.0,5834250.0,2020-02-27
BAJFINANCE,2020-02-03,4236.2,4338.2,4233.2,4322.15,2684500.0,5993000.0,2020-02-27
BAJFINANCE,2020-02-04,4350.75,4507.2,4345.849999999999,4477.75,4314000.0,6132250.0,2020-02-27
BAJFINANCE,2020-02-05,4452.349999999999,4498.2,4409.2,4488.15,2398750.0,6000250.0,2020-02-27
BAJFINANCE,2020-02-06,4493.2,4632.2,4488.25,4619.7,3796500.0,5998000.0,2020-02-27
BAJFINANCE,2020-02-07,4614.15,4642.0,4582.2,4618.3,1959750.0,5944250.0,2020-02-27
BAJFINANCE,2020-02-10,4609.599999999999,4683.2,4600.5,4676.7,2622750.0,5999250.0,2020-02-27
BAJFINANCE,2020-02-11,4692.2,4745.05,4691.4,4708.849999999999,2455750.0,5911000.0,2020-02-27
BAJFINANCE,2020-02-12,4724.8,4736.2,4677.2,4729.0,2431000.0,5664500.0,2020-02-27
BAJFINANCE,2020-02-13,4715.65,4757.2,4694.45,4750.7,2081500.0,5606000.0,2020-02-27
BAJFINANCE,2020-02-14,4751.349999999999,4777.0,4730.25,4749.599999999999,1726250.0,5521000.0,2020-02-27
BAJFINANCE,2020-02-17,4745.2,4759.9,4714.0,4750.3,1444500.0,5489750.0,2020-02-27
BAJFINANCE,2020-02-18,4730.45,4740.2,4670.75,4731.45,2100000.0,5320000.0,2020-02-27
BAJFINANCE,2020-02-19,4748.2,4844.2,4748.2,4834.9,2812500.0,5397500.0,2020-02-27
BAJFINANCE,2020-02-20,4820.3,4880.8,4818.099999999999,4844.05,2483500.0,5264250.0,2020-02-27
BAJFINANCE,2020-02-24,4789.8,4844.15,4688.2,4767.599999999999,3923000.0,4631750.0,2020-02-27
BAJFINANCE,2020-02-25,4767.599999999999,4777.15,4720.9,4759.3,2044500.0,3448750.0,2020-03-26
BAJFINANCE,2020-02-26,4742.2,4772.599999999999,4702.2,4744.25,2410500.0,4644000.0,2020-03-26
BAJFINANCE,2020-02-27,4743.2,4748.2,4644.4,4690.45,2923250.0,5534000.0,2020-03-26
BAJFINANCE,2020-02-28,4569.55,4572.9,4228.05,4374.7,8049000.0,5940250.0,2020-03-26
BAJFINANCE,2020-03-02,4404.2,4518.2,4228.4,4280.25,4556500.0,6192000.0,2020-03-26
BAJFINANCE,2020-03-03,4318.2,4392.2,4233.75,4375.45,4526750.0,6022250.0,2020-03-26
BAJFINANCE,2020-03-04,4393.3,4415.5,4148.0,4224.0,4961750.0,6483750.0,2020-03-26
BAJFINANCE,2020-03-05,4248.2,4289.9,4203.2,4250.5,3136250.0,6351000.0,2020-03-26
BAJFINANCE,2020-03-06,4043.2,4156.099999999999,3968.8999999999996,4142.849999999999,5247500.0,6292750.0,2020-03-26
BAJFINANCE,2020-03-09,3998.2,4116.05,3874.5499999999997,3959.35,4606750.0,6281000.0,2020-03-26
BAJFINANCE,2020-03-11,3938.1499999999996,4039.95,3904.1,3949.75,4292750.0,6188500.0,2020-03-26
BAJFINANCE,2020-03-12,3771.7999999999997,3776.2999999999997,3534.7999999999997,3640.3999999999996,6282750.0,5899250.0,2020-03-26
BAJFINANCE,2020-03-13,3428.2,3945.85,3183.2,3863.8999999999996,6249500.0,5292000.0,2020-03-26
BAJFINANCE,2020-03-16,3729.25,3729.25,3482.25,3546.25,4960500.0,4812750.0,2020-03-26
BAJFINANCE,2020-03-17,3598.45,3634.1,3315.3999999999996,3352.95,4630750.0,4828250.0,2020-03-26
BAJFINANCE,2020-03-18,3403.2,3431.8999999999996,2928.2,2985.3999999999996,6466250.0,4904500.0,2020-03-26
BAJFINANCE,2020-03-19,2750.7999999999997,2957.95,2403.25,2656.1499999999996,9014250.0,4904750.0,2020-03-26
BAJFINANCE,2020-03-20,2670.2,2947.8999999999996,2540.85,2864.6,7494500.0,4420250.0,2020-03-26
