symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
ESCORTS,2020-01-01,634.75,638.1,606.0,608.25,10681000.0,5847600.0,2020-01-30
ESCORTS,2020-01-02,608.5,622.4,606.15,620.85,5199700.0,5243700.0,2020-01-30
ESCORTS,2020-01-03,618.0,626.7,615.0,621.6,3975400.0,5054500.0,2020-01-30
ESCORTS,2020-01-06,618.05,618.05,603.15,608.1,3791700.0,4708000.0,2020-01-30
ESCORTS,2020-01-07,614.0,624.25,611.75,613.75,3285700.0,4657400.0,2020-01-30
ESCORTS,2020-01-08,608.25,617.85,603.45,616.05,3463900.0,4651900.0,2020-01-30
ESCORTS,2020-01-09,620.8,648.6,620.8,645.45,6589000.0,4643100.0,2020-01-30
ESCORTS,2020-01-10,648.3,654.0,641.0,647.4,4700300.0,4350500.0,2020-01-30
ESCORTS,2020-01-13,650.1,660.55,647.65,653.65,3542000.0,4342800.0,2020-01-30
ESCORTS,2020-01-14,657.35,675.4,651.0,673.35,5478000.0,4452800.0,2020-01-30
ESCORTS,2020-01-15,675.0,679.5,666.0,678.3,4790500.0,4358200.0,2020-01-30
ESCORTS,2020-01-16,678.1,698.2,676.6,694.55,7431600.0,4572700.0,2020-01-30
ESCORTS,2020-01-17,693.0,707.65,691.15,705.1,5110600.0,4596900.0,2020-01-30
ESCORTS,2020-01-20,706.0,716.4,696.0,711.8,5413100.0,4643100.0,2020-01-30
ESCORTS,2020-01-21,707.6,712.65,701.5,705.15,3895100.0,4579300.0,2020-01-30
ESCORTS,2020-01-22,708.45,715.05,701.55,703.45,3988600.0,4481400.0,2020-01-30
ESCORTS,2020-01-23,701.5,716.15,698.55,711.4,3718000.0,4384600.0,2020-01-30
ESCORTS,2020-01-24,711.95,727.85,709.2,723.55,4865300.0,4389000.0,2020-01-30
ESCORTS,2020-01-27,718.0,738.75,714.85,729.55,5969700.0,3887400.0,2020-01-30
ESCORTS,2020-01-28,728.0,741.0,719.35,728.75,6677000.0,3548600.0,2020-01-30
ESCORTS,2020-01-29,728.75,749.5,716.2,743.6,7225900.0,4424200.0,2020-02-27
ESCORTS,2020-01-30,753.25,798.25,751.9,794.85,20313700.0,6117100.0,2020-02-27
ESCORTS,2020-01-31,792.25,806.25,785.85,795.9,11435600.0,4635400.0,2020-02-27
ESCORTS,2020-02-03,769.1,842.95,757.7,838.15,16619900.0,4755300.0,2020-02-27
ESCORTS,2020-02-04,836.25,852.45,824.4,840.45,10502800.0,4668400.0,2020-02-27
ESCORTS,2020-02-05,835.15,857.8,833.25,848.65,6858500.0,4554000.0,2020-02-27
ESCORTS,2020-02-06,849.25,857.5,840.6,850.7,6078600.0,4420900.0,2020-02-27
ESCORTS,2020-02-07,846.75,865.15,835.9,858.4,8186200.0,4637600.0,2020-02-27
ESCORTS,2020-02-10,856.6,868.25,853.0,861.65,6281000.0,4549600.0,2020-02-27
ESCORTS,2020-02-11,864.35,871.75,855.4,858.65,4884000.0,4527600.0,2020-02-27
ESCORTS,2020-02-12,860.75,873.55,854.8,872.15,5187600.0,4683800.0,2020-02-27
ESCORTS,2020-02-13,877.5,883.65,864.55,878.95,8922100.0,4755300.0,2020-02-27
ESCORTS,2020-02-14,880.65,885.15,873.25,876.9,5236000.0,4282300.0,2020-02-27
ESCORTS,2020-02-17,875.25,883.05,864.9,880.05,4681600.0,4358200.0,2020-02-27
ESCORTS,2020-02-18,875.75,890.25,866.35,884.1,5541800.0,4477000.0,2020-02-27
ESCORTS,2020-02-19,893.25,908.05,881.9,904.05,8928700.0,4621100.0,2020-02-27
ESCORTS,2020-02-20,900.75,901.05,833.4,873.0,24517900.0,4576000.0,2020-02-27
ESCORTS,2020-02-24,861.9,865.7,827.25,830.85,8680100.0,3933600.0,2020-02-27
ESCORTS,2020-02-25,830.85,839.6,816.15,821.3000000000001,3449600.0,2932600.0,2020-03-26
ESCORTS,2020-02-26,813.95,829.8000000000001,809.7,817.7,3710300.0,3770800.0,2020-03-26
