symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
HINDCOPPER,2021-12-31,123.8,128.5,123.8,125.45,2721900.0,1505000.0,2022-01-27
HINDCOPPER,2022-01-03,125.45,129.7,124.2,128.6,4665500.0,3160500.0,2022-01-27
HINDCOPPER,2022-01-04,129.5,135.5,129.5,134.15,10380200.0,6905800.0,2022-01-27
HINDCOPPER,2022-01-05,133.75,137.85,131.2,135.5,7778700.0,9283700.0,2022-01-27
HINDCOPPER,2022-01-06,133.4,135.3,131.6,132.3,4386000.0,9313800.0,2022-01-27
HINDCOPPER,2022-01-07,133.15,133.6,129.05,132.05,4334400.0,10208200.0,2022-01-27
HINDCOPPER,2022-01-10,132.6,135.0,132.1,132.35,3371200.0,10754300.0,2022-01-27
HINDCOPPER,2022-01-11,133.25,133.5,129.85,130.7,2924000.0,10767200.0,2022-01-27
HINDCOPPER,2022-01-12,132.4,135.5,130.45,134.65,4622500.0,11463800.0,2022-01-27
HINDCOPPER,2022-01-13,135.65,141.15,134.75,136.7,17535400.0,13708400.0,2022-01-27
HINDCOPPER,2022-01-14,137.45,137.9,135.1,136.7,5370700.0,13269800.0,2022-01-27
HINDCOPPER,2022-01-17,136.95,142.1,136.95,138.0,9541700.0,14482400.0,2022-01-27
HINDCOPPER,2022-01-18,138.9,139.45,130.35,130.95,6682200.0,13201000.0,2022-01-27
HINDCOPPER,2022-01-19,131.0,132.0,126.2,130.15,4889100.0,13252600.0,2022-01-27
HINDCOPPER,2022-01-20,131.05,134.8,130.95,134.1,5465300.0,13205300.0,2022-01-27
HINDCOPPER,2022-01-21,133.4,135.8,128.45,131.4,6450000.0,11812100.0,2022-01-27
HINDCOPPER,2022-01-24,129.15,130.5,118.3,120.5,8139900.0,8479600.0,2022-01-27
HINDCOPPER,2022-01-25,120.5,128.7,118.95,127.25,7701300.0,10010400.0,2022-02-24
HINDCOPPER,2022-01-27,124.4,125.5,122.1,124.35,8449500.0,13609500.0,2022-02-24
HINDCOPPER,2022-01-28,125.4,130.7,125.4,126.5,4880500.0,14310400.0,2022-02-24
HINDCOPPER,2022-01-31,128.75,129.0,125.2,126.1,3569000.0,14908100.0,2022-02-24
HINDCOPPER,2022-02-01,127.05,130.2,124.9,129.3,5796400.0,15183300.0,2022-02-24
HINDCOPPER,2022-02-02,130.35,132.7,129.4,130.15,3878600.0,15045700.0,2022-02-24
HINDCOPPER,2022-02-03,130.05,132.6,129.85,131.55,5086900.0,14766200.0,2022-02-24
HINDCOPPER,2022-02-04,132.0,141.15,132.0,140.2,17324700.0,14263100.0,2022-02-24
HINDCOPPER,2022-02-07,140.5,145.65,137.8,144.05,14878000.0,16344300.0,2022-02-24
HINDCOPPER,2022-02-08,145.0,146.0,136.8,139.7,8251700.0,15935800.0,2022-02-24
HINDCOPPER,2022-02-09,140.5,144.3,139.9,142.05,4742900.0,16232500.0,2022-02-24
HINDCOPPER,2022-02-10,143.5,149.05,143.5,145.0,14882300.0,18902800.0,2022-02-24
HINDCOPPER,2022-02-11,143.95,145.9,140.15,141.2,6346800.0,19014600.0,2022-02-24
HINDCOPPER,2022-02-14,140.45,140.45,127.6,128.45,9718000.0,16877500.0,2022-02-24
HINDCOPPER,2022-02-15,130.0,134.9,124.55,134.05,10879000.0,17002200.0,2022-02-24
HINDCOPPER,2022-02-16,135.15,135.5,130.7,131.55,5688900.0,16421700.0,2022-02-24
HINDCOPPER,2022-02-17,132.7,132.7,126.9,127.5,4828900.0,15759500.0,2022-02-24
HINDCOPPER,2022-02-18,127.5,129.85,124.95,125.25,2838000.0,15372500.0,2022-02-24
HINDCOPPER,2022-02-21,124.7,124.8,116.65,119.2,9945900.0,13269800.0,2022-02-24
HINDCOPPER,2022-02-22,113.0,117.9,112.0,117.0,7641100.0,10509200.0,2022-02-24
HINDCOPPER,2022-02-23,117.0,118.85000000000001,115.2,115.55,6978900.0,10698400.0,2022-03-31
HINDCOPPER,2022-02-24,111.15,113.25,103.95,104.55,14641500.0,13837400.0,2022-03-31
HINDCOPPER,2022-02-25,108.60000000000001,113.5,108.0,112.25,5276100.0,13076300.0,2022-03-31
HINDCOPPER,2022-02-28,111.25,116.9,111.25,116.45,4454800.0,13467600.0,2022-03-31
HINDCOPPER,2022-03-02,115.95,122.45,115.95,119.15,6308100.0,14056700.0,2022-03-31
HINDCOPPER,2022-03-03,122.60000000000001,125.9,121.85000000000001,123.0,9055800.0,14770500.0,2022-03-31
HINDCOPPER,2022-03-04,122.9,125.35000000000001,119.45,119.9,6561800.0,14314700.0,2022-03-31
HINDCOPPER,2022-03-07,119.9,125.4,117.95,123.95,6488700.0,14400700.0,2022-03-31
HINDCOPPER,2022-03-08,126.65,132.95,124.25,125.85000000000001,15376800.0,15570300.0,2022-03-31
HINDCOPPER,2022-03-09,127.45,127.75000000000001,122.65,123.2,5469600.0,14641500.0,2022-03-31
HINDCOPPER,2022-03-10,123.55,123.75,120.15,122.3,4575200.0,14903800.0,2022-03-31
HINDCOPPER,2022-03-11,122.65,125.45,122.0,123.25,4351600.0,15239200.0,2022-03-31
HINDCOPPER,2022-03-14,123.7,124.15,118.35000000000001,119.05,3521700.0,15578900.0,2022-03-31
HINDCOPPER,2022-03-15,118.95,119.3,111.35000000000001,112.9,5529800.0,15819700.0,2022-03-31
HINDCOPPER,2022-03-16,115.35000000000001,115.85000000000001,113.7,114.75,3435700.0,16125000.0,2022-03-31
HINDCOPPER,2022-03-17,116.05,118.4,115.2,116.5,4962200.0,16297000.0,2022-03-31
HINDCOPPER,2022-03-21,117.7,120.35000000000001,116.15,116.45,5065400.0,16494800.0,2022-03-31
HINDCOPPER,2022-03-22,116.5,119.3,115.5,117.5,4166700.0,16933400.0,2022-03-31
HINDCOPPER,2022-03-23,118.65,118.65,115.7,117.3,3100300.0,16696900.0,2022-03-31
HINDCOPPER,2022-03-24,118.35000000000001,119.25,115.9,116.45,3392700.0,16516300.0,2022-03-31
HINDCOPPER,2022-03-25,117.2,118.2,114.0,114.5,3495900.0,15338100.0,2022-03-31
HINDCOPPER,2022-03-28,114.45,114.9,112.25,112.95,5418000.0,12616200.0,2022-03-31
HINDCOPPER,2022-03-29,113.8,113.9,111.2,111.85000000000001,5852300.0,10526400.0,2022-03-31
HINDCOPPER,2022-03-30,111.85000000000001,112.15,109.75,110.30000000000001,7288500.0,13549300.0,2022-04-28
HINDCOPPER,2022-03-31,110.5,113.35000000000001,110.5,112.65,13416000.0,18975900.0,2022-04-28
HINDCOPPER,2022-04-01,112.95,115.80000000000001,112.4,115.5,5676000.0,18945800.0,2022-04-28
HINDCOPPER,2022-04-04,116.10000000000001,118.60000000000001,114.85000000000001,118.05000000000001,6458600.0,19057600.0,2022-04-28
HINDCOPPER,2022-04-05,119.55000000000001,122.05000000000001,118.45,121.15,6604800.0,18636200.0,2022-04-28
HINDCOPPER,2022-04-06,120.15,124.4,119.80000000000001,123.60000000000001,8462400.0,18373900.0,2022-04-28
HINDCOPPER,2022-04-07,123.9,124.30000000000001,119.15,120.25,3642100.0,18287900.0,2022-04-28
HINDCOPPER,2022-04-08,121.65,122.55000000000001,120.4,121.60000000000001,3216400.0,18150300.0,2022-04-28
HINDCOPPER,2022-04-11,122.10000000000001,124.35000000000001,121.95,123.15,4304300.0,17518200.0,2022-04-28
HINDCOPPER,2022-04-12,122.60000000000001,122.60000000000001,116.95,119.35000000000001,4080700.0,17006500.0,2022-04-28
HINDCOPPER,2022-04-13,120.4,122.0,119.5,119.75,2618700.0,16507700.0,2022-04-28
HINDCOPPER,2022-04-18,119.55000000000001,119.9,117.5,119.45,1866200.0,16490500.0,2022-04-28
HINDCOPPER,2022-04-19,120.2,128.05,120.0,122.75,14727500.0,15811100.0,2022-04-28
HINDCOPPER,2022-04-20,123.2,124.10000000000001,118.80000000000001,119.55000000000001,5559900.0,15385400.0,2022-04-28
HINDCOPPER,2022-04-21,120.75,120.95,119.2,120.15,2390800.0,15338100.0,2022-04-28
HINDCOPPER,2022-04-22,116.7,118.95,114.35000000000001,114.95,6054400.0,13570800.0,2022-04-28
HINDCOPPER,2022-04-25,110.75,113.10000000000001,109.65,111.9,5534100.0,12611900.0,2022-04-28
HINDCOPPER,2022-04-26,113.15,114.45,112.4,113.15,4480600.0,9279400.0,2022-04-28
HINDCOPPER,2022-04-27,113.15,113.2,110.4,112.25,5473900.0,10638200.0,2022-05-26
HINDCOPPER,2022-04-28,113.1,113.4,109.95,112.7,10350100.0,15944400.0,2022-05-26
HINDCOPPER,2022-04-29,112.65,113.65,111.4,111.8,1707100.0,15798200.0,2022-05-26
HINDCOPPER,2022-05-02,109.55,111.35,108.25,111.2,1956500.0,16107800.0,2022-05-26
HINDCOPPER,2022-05-04,111.1,112.15,107.45,107.95,2554200.0,15978800.0,2022-05-26
HINDCOPPER,2022-05-05,109.0,110.75,107.65,108.2,1294300.0,15836900.0,2022-05-26
HINDCOPPER,2022-05-06,106.5,106.9,99.85,102.85,4979400.0,15265000.0,2022-05-26
HINDCOPPER,2022-05-09,100.6,100.6,89.5,92.4,14744700.0,14774800.0,2022-05-26
HINDCOPPER,2022-05-10,93.2,95.85,91.15,91.55,5469600.0,13738500.0,2022-05-26
HINDCOPPER,2022-05-11,93.05,93.85,89.65,93.25,5327700.0,13428900.0,2022-05-26
HINDCOPPER,2022-05-12,91.95,92.3,89.7,90.5,3977500.0,13407400.0,2022-05-26
HINDCOPPER,2022-05-13,91.95,94.0,89.45,90.05,4171000.0,13613800.0,2022-05-26
HINDCOPPER,2022-05-16,89.7,90.55,86.0,89.2,5349200.0,13299900.0,2022-05-26
HINDCOPPER,2022-05-17,90.7,98.9,90.7,98.2,8389300.0,12960200.0,2022-05-26
HINDCOPPER,2022-05-18,98.55,100.5,96.4,98.65,4205400.0,12508700.0,2022-05-26
HINDCOPPER,2022-05-19,95.0,96.7,93.4,94.6,2859500.0,11928200.0,2022-05-26
HINDCOPPER,2022-05-20,97.85,102.8,97.7,99.25,8595700.0,11532600.0,2022-05-26
HINDCOPPER,2022-05-23,96.65,97.85,93.55,94.75,9644900.0,8673100.0,2022-05-26
HINDCOPPER,2022-05-24,94.05,96.4,94.0,95.45,4347300.0,6660700.0,2022-05-26
HINDCOPPER,2022-05-25,95.45,95.60000000000001,91.65,92.0,5938300.0,8931100.0,2022-06-30
HINDCOPPER,2022-05-26,93.7,95.15,88.60000000000001,94.60000000000001,9206300.0,11059600.0,2022-06-30
HINDCOPPER,2022-05-27,96.7,97.4,94.60000000000001,96.10000000000001,4575200.0,11192900.0,2022-06-30
HINDCOPPER,2022-05-30,97.45,101.60000000000001,96.45,100.95,5357800.0,11356300.0,2022-06-30
HINDCOPPER,2022-05-31,98.75,105.3,98.75,103.35000000000001,5891000.0,11777700.0,2022-06-30
HINDCOPPER,2022-06-01,104.35000000000001,104.35000000000001,101.0,102.05,2825100.0,11751900.0,2022-06-30
HINDCOPPER,2022-06-02,102.15,105.2,101.95,104.8,2334900.0,11674500.0,2022-06-30
HINDCOPPER,2022-06-03,106.75,107.35000000000001,104.10000000000001,105.10000000000001,3422800.0,12216300.0,2022-06-30
HINDCOPPER,2022-06-06,104.25,105.0,102.2,104.75,2696100.0,11902400.0,2022-06-30
HINDCOPPER,2022-06-07,104.15,104.25,101.35000000000001,102.25,1913500.0,11450900.0,2022-06-30
HINDCOPPER,2022-06-08,103.95,104.3,101.65,102.55,2803600.0,11687400.0,2022-06-30
HINDCOPPER,2022-06-09,101.10000000000001,103.10000000000001,99.75,101.05,2498300.0,11278900.0,2022-06-30
HINDCOPPER,2022-06-10,99.7,100.60000000000001,98.55,100.15,2184400.0,11158500.0,2022-06-30
HINDCOPPER,2022-06-13,98.0,98.0,94.35000000000001,95.05,2842300.0,11339100.0,2022-06-30
HINDCOPPER,2022-06-14,94.7,98.15,93.60000000000001,94.55,2519800.0,11369200.0,2022-06-30
HINDCOPPER,2022-06-15,95.5,96.55,93.95,95.45,2076900.0,11442300.0,2022-06-30
HINDCOPPER,2022-06-16,96.3,96.3,89.55,90.2,2537000.0,11562700.0,2022-06-30
HINDCOPPER,2022-06-17,88.0,92.55,87.75,91.3,3689400.0,11300400.0,2022-06-30
HINDCOPPER,2022-06-20,90.4,90.4,79.15,82.25,8922500.0,11145600.0,2022-06-30
HINDCOPPER,2022-06-21,84.35000000000001,89.25,83.0,88.85000000000001,4893400.0,10913400.0,2022-06-30
HINDCOPPER,2022-06-22,85.8,85.8,80.35000000000001,80.9,11154200.0,13041900.0,2022-06-30
HINDCOPPER,2022-06-23,81.7,84.3,80.10000000000001,82.25,6372600.0,11928200.0,2022-06-30
HINDCOPPER,2022-06-24,81.45,85.0,80.9,83.5,5852300.0,11614300.0,2022-06-30
HINDCOPPER,2022-06-27,86.45,86.75,84.55,85.2,7211100.0,8823600.0,2022-06-30
HINDCOPPER,2022-06-28,85.2,89.7,85.2,89.5,5327700.0,6084500.0,2022-07-28
HINDCOPPER,2022-06-29,89.15,90.10000000000001,87.8,88.5,4665500.0,7740000.0,2022-07-28
HINDCOPPER,2022-06-30,89.5,90.2,85.45,87.0,10977900.0,10943500.0,2022-07-28
HINDCOPPER,2022-07-01,86.95,88.8,85.15,88.45,4304300.0,11369200.0,2022-07-28
HINDCOPPER,2022-07-04,87.95,87.95,84.9,87.45,3685100.0,11549800.0,2022-07-28
HINDCOPPER,2022-07-05,87.9,89.2,86.25,86.65,3057300.0,11601400.0,2022-07-28
HINDCOPPER,2022-07-06,85.75,88.60000000000001,83.25,88.10000000000001,5271800.0,11476700.0,2022-07-28
HINDCOPPER,2022-07-07,89.10000000000001,92.60000000000001,87.15,91.60000000000001,8148500.0,12087300.0,2022-07-28
HINDCOPPER,2022-07-08,92.3,93.0,89.05,90.2,6054400.0,12646300.0,2022-07-28
HINDCOPPER,2022-07-11,90.2,92.55,88.0,91.60000000000001,4777300.0,12715100.0,2022-07-28
HINDCOPPER,2022-07-12,91.3,91.45,89.15,90.25,3680800.0,12259300.0,2022-07-28
HINDCOPPER,2022-07-13,89.9,91.65,89.75,91.4,3014300.0,12156100.0,2022-07-28
HINDCOPPER,2022-07-14,91.75,91.95,88.4,89.35000000000001,2859500.0,12117400.0,2022-07-28
HINDCOPPER,2022-07-15,89.65,89.95,86.55,87.7,3723800.0,12396900.0,2022-07-28
HINDCOPPER,2022-07-18,89.15,93.35000000000001,88.5,92.8,4910600.0,12375400.0,2022-07-28
HINDCOPPER,2022-07-19,92.0,93.60000000000001,91.4,93.3,3530300.0,12362500.0,2022-07-28
HINDCOPPER,2022-07-20,94.5,96.15,94.10000000000001,94.75,6286600.0,11979800.0,2022-07-28
HINDCOPPER,2022-07-21,94.3,95.75,94.10000000000001,95.25,3207800.0,11979800.0,2022-07-28
HINDCOPPER,2022-07-22,96.0,97.25,94.2,95.8,3418500.0,11773400.0,2022-07-28
HINDCOPPER,2022-07-25,96.5,96.65,94.75,95.25,5091200.0,10044800.0,2022-07-28
HINDCOPPER,2022-07-26,95.25,99.25,94.75,98.95,7439000.0,7894800.0,2022-08-25
HINDCOPPER,2022-07-27,99.10000000000001,100.2,97.7,99.4,5538400.0,9309500.0,2022-08-25
HINDCOPPER,2022-07-28,100.2,101.7,98.45,100.35000000000001,7593800.0,11481000.0,2022-08-25
HINDCOPPER,2022-07-29,100.7,104.10000000000001,100.5,103.60000000000001,4355900.0,11549800.0,2022-08-25
HINDCOPPER,2022-08-01,103.85000000000001,106.45,103.85000000000001,105.60000000000001,3637800.0,11468100.0,2022-08-25
HINDCOPPER,2022-08-02,104.55,105.8,102.7,105.35000000000001,3117500.0,11304700.0,2022-08-25
HINDCOPPER,2022-08-03,105.95,106.3,102.85000000000001,105.10000000000001,3771100.0,10836000.0,2022-08-25
HINDCOPPER,2022-08-04,105.7,106.65,102.9,104.7,3289500.0,11016600.0,2022-08-25
HINDCOPPER,2022-08-05,105.55,106.5,104.55,104.85000000000001,2494000.0,11055300.0,2022-08-25
HINDCOPPER,2022-08-08,105.0,113.35000000000001,104.15,111.75,14177100.0,12491500.0,2022-08-25
HINDCOPPER,2022-08-10,117.10000000000001,117.15,111.65,113.4,7598100.0,12147500.0,2022-08-25
HINDCOPPER,2022-08-11,114.05,114.7,112.10000000000001,112.5,4244100.0,11751900.0,2022-08-25
HINDCOPPER,2022-08-12,112.8,115.15,112.0,113.5,5056800.0,12061500.0,2022-08-25
HINDCOPPER,2022-08-16,112.9,115.45,110.3,114.7,5585700.0,11919600.0,2022-08-25
HINDCOPPER,2022-08-17,114.9,118.5,114.85000000000001,115.95,8720400.0,12431300.0,2022-08-25
