symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
HINDZINC,2025-03-28,458.0,478.0,449.55,464.5,2299325.0,1215200.0,2025-04-24
HINDZINC,2025-04-01,462.0,469.85,455.5,456.3,885675.0,1653750.0,2025-04-24
HINDZINC,2025-04-02,458.8,465.35,448.95,463.6,824425.0,1885275.0,2025-04-24
HINDZINC,2025-04-03,460.0,470.7,454.75,461.25,1460200.0,2485525.0,2025-04-24
HINDZINC,2025-04-04,456.8,456.8,421.65,424.95,2812600.0,2910600.0,2025-04-24
HINDZINC,2025-04-07,390.55,411.95,386.4,406.5,1346275.0,2447550.0,2025-04-24
HINDZINC,2025-04-08,420.55,420.55,403.9,412.9,842800.0,2446325.0,2025-04-24
HINDZINC,2025-04-09,405.6,408.95,397.5,400.55,809725.0,2595775.0,2025-04-24
HINDZINC,2025-04-11,412.0,417.0,406.0,412.8,1200500.0,2646000.0,2025-04-24
HINDZINC,2025-04-15,419.85,436.75,418.85,435.35,2102100.0,3063725.0,2025-04-24
HINDZINC,2025-04-16,435.1,440.0,426.6,439.3,2323825.0,3432450.0,2025-04-24
HINDZINC,2025-04-17,438.35,446.0,431.6,440.85,2190300.0,4129475.0,2025-04-24
HINDZINC,2025-04-21,443.4,459.0,441.8,452.95,2951025.0,3790150.0,2025-04-24
HINDZINC,2025-04-22,452.95,460.1,442.25,444.5,2588425.0,3551275.0,2025-05-29
HINDZINC,2025-04-23,447.2,450.45,436.35,447.8,2345875.0,4234825.0,2025-05-29
HINDZINC,2025-04-24,445.7,463.8,445.7,458.3,4187050.0,5075175.0,2025-05-29
HINDZINC,2025-04-25,459.75,464.95,436.0,442.0,5878775.0,5563950.0,2025-05-29
HINDZINC,2025-04-28,445.4,456.25,441.75,448.9,3428775.0,4857125.0,2025-05-29
HINDZINC,2025-04-29,449.65,451.8,440.65,441.75,1057175.0,4837525.0,2025-05-29
HINDZINC,2025-04-30,441.25,444.0,433.45,435.0,1427125.0,4674600.0,2025-05-29
HINDZINC,2025-05-02,435.4,441.25,424.45,425.5,1545950.0,4956350.0,2025-05-29
HINDZINC,2025-05-05,428.95,430.7,423.3,425.5,830550.0,5219725.0,2025-05-29
HINDZINC,2025-05-06,427.65,427.65,408.35,409.3,1964900.0,5650925.0,2025-05-29
HINDZINC,2025-05-07,406.55,423.2,405.9,420.3,1394050.0,5541900.0,2025-05-29
HINDZINC,2025-05-08,422.2,422.2,403.8,405.2,1396500.0,5763625.0,2025-05-29
HINDZINC,2025-05-09,396.9,406.3,396.55,405.1,1429575.0,5643575.0,2025-05-29
HINDZINC,2025-05-12,414.75,435.15,414.75,433.4,2600675.0,5540675.0,2025-05-29
HINDZINC,2025-05-13,433.4,437.15,423.3,425.3,1171100.0,5718300.0,2025-05-29
HINDZINC,2025-05-14,427.0,438.2,426.75,436.35,1891400.0,5630100.0,2025-05-29
HINDZINC,2025-05-15,438.35,441.75,433.35,438.3,2401000.0,5408375.0,2025-05-29
HINDZINC,2025-05-16,438.95,442.2,437.1,439.95,1244600.0,5646025.0,2025-05-29
HINDZINC,2025-05-19,439.25,452.55,439.25,444.95,1864450.0,5670525.0,2025-05-29
HINDZINC,2025-05-20,450.0,452.35,431.05,432.3,2026150.0,5895925.0,2025-05-29
HINDZINC,2025-05-21,434.55,441.0,430.7,439.05,1360975.0,5849375.0,2025-05-29
HINDZINC,2025-05-22,438.25,443.75,434.25,439.6,1857100.0,5701150.0,2025-05-29
HINDZINC,2025-05-23,436.1,446.65,433.9,444.95,1387925.0,5445125.0,2025-05-29
HINDZINC,2025-05-26,445.5,449.8,444.2,447.8,2398550.0,5072725.0,2025-05-29
HINDZINC,2025-05-27,447.8,452.1,444.25,448.55,2258900.0,4689300.0,2025-06-26
HINDZINC,2025-05-28,448.90000000000003,454.55,447.35,449.25,3000025.0,6161750.0,2025-06-26
HINDZINC,2025-05-29,448.1,463.0,448.1,462.25,4424700.0,7428400.0,2025-06-26
HINDZINC,2025-05-30,463.20000000000005,465.55,449.15000000000003,454.0,3366300.0,7738325.0,2025-06-26
