symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
HONAUT,2021-12-31,41480.0,43113.25,41480.0,42421.0,5925.0,3225.0,2022-01-27
HONAUT,2022-01-03,42005.25,42900.0,41966.15,42600.8,3690.0,3540.0,2022-01-27
HONAUT,2022-01-04,42779.95,42779.95,41725.0,42459.45,4230.0,4740.0,2022-01-27
HONAUT,2022-01-05,42368.55,43805.05,42203.7,43625.45,8505.0,6750.0,2022-01-27
HONAUT,2022-01-06,43001.1,43521.05,42576.0,43080.05,4155.0,7965.0,2022-01-27
HONAUT,2022-01-07,43073.4,43787.1,42949.95,43167.9,3030.0,8055.0,2022-01-27
HONAUT,2022-01-10,43200.0,44099.0,43199.95,43650.65,3855.0,7785.0,2022-01-27
HONAUT,2022-01-11,43650.65,43871.85,43455.0,43632.1,2565.0,7230.0,2022-01-27
HONAUT,2022-01-12,43724.95,44072.7,43580.25,43723.95,2160.0,6900.0,2022-01-27
HONAUT,2022-01-13,43669.5,44380.0,43525.0,44266.1,4635.0,6600.0,2022-01-27
HONAUT,2022-01-14,44239.65,44977.0,44239.65,44758.85,4935.0,7050.0,2022-01-27
HONAUT,2022-01-17,44898.55,46455.6,44400.0,46200.5,11445.0,9060.0,2022-01-27
HONAUT,2022-01-18,46331.0,46429.55,45045.0,45080.75,4875.0,8760.0,2022-01-27
HONAUT,2022-01-19,44629.9,46000.0,44500.15,45700.8,4545.0,8490.0,2022-01-27
HONAUT,2022-01-20,46150.0,46150.0,44900.0,45309.9,1440.0,8190.0,2022-01-27
HONAUT,2022-01-21,44452.05,44749.1,41953.9,43859.5,4620.0,7815.0,2022-01-27
HONAUT,2022-01-24,44299.95,44299.95,42074.95,42270.9,5115.0,6375.0,2022-01-27
HONAUT,2022-01-25,42270.9,44649.6,42049.25,44078.15,4800.0,5910.0,2022-02-24
HONAUT,2022-01-27,42922.0,44115.7,42783.85,43536.75,7470.0,8445.0,2022-02-24
HONAUT,2022-01-28,44464.7,44464.7,42859.6,43025.9,2415.0,8610.0,2022-02-24
HONAUT,2022-01-31,43665.65,43964.65,41932.35,43653.4,5685.0,7335.0,2022-02-24
HONAUT,2022-02-01,43265.8,46153.7,43165.9,45207.25,9615.0,8220.0,2022-02-24
HONAUT,2022-02-02,44666.8,47306.15,44666.8,47158.55,6540.0,8400.0,2022-02-24
HONAUT,2022-02-03,47265.8,47315.8,46857.3,46973.1,3510.0,8940.0,2022-02-24
HONAUT,2022-02-04,46516.55,46987.7,45465.75,45588.45,5970.0,7425.0,2022-02-24
HONAUT,2022-02-07,45587.0,46197.75,45077.0,46057.55,3795.0,8730.0,2022-02-24
HONAUT,2022-02-08,46145.65,46455.65,45171.6,45433.65,3480.0,8220.0,2022-02-24
HONAUT,2022-02-09,45166.8,45773.75,45166.8,45338.15,1470.0,8370.0,2022-02-24
