symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
ICICIPRULI,2020-01-01,485.3,487.95,482.75,483.75,1131000.0,11121000.0,2020-01-30
ICICIPRULI,2020-01-02,484.75,489.85,483.4,488.95,2244000.0,11085000.0,2020-01-30
ICICIPRULI,2020-01-03,489.1,490.35,483.5,485.45,1831500.0,10957500.0,2020-01-30
ICICIPRULI,2020-01-06,486.7,486.7,474.4,476.8,2484000.0,10749000.0,2020-01-30
ICICIPRULI,2020-01-07,481.85,486.2,476.95,478.35,2088000.0,10746000.0,2020-01-30
ICICIPRULI,2020-01-08,478.3,484.4,474.25,483.55,2394000.0,10342500.0,2020-01-30
ICICIPRULI,2020-01-09,487.0,488.05,480.75,485.25,2175000.0,10399500.0,2020-01-30
ICICIPRULI,2020-01-10,485.55,495.45,485.55,488.9,3537000.0,9996000.0,2020-01-30
ICICIPRULI,2020-01-13,488.0,499.75,487.55,499.15,3549000.0,9576000.0,2020-01-30
ICICIPRULI,2020-01-14,499.0,499.5,490.85,492.25,1863000.0,9897000.0,2020-01-30
ICICIPRULI,2020-01-15,491.05,493.5,487.15,492.25,1294500.0,9970500.0,2020-01-30
ICICIPRULI,2020-01-16,493.0,496.65,490.05,493.55,1975500.0,10114500.0,2020-01-30
ICICIPRULI,2020-01-17,491.8,494.75,482.0,483.1,2394000.0,10212000.0,2020-01-30
ICICIPRULI,2020-01-20,483.9,495.9,483.4,489.7,4791000.0,10333500.0,2020-01-30
ICICIPRULI,2020-01-21,485.75,498.4,479.2,490.2,13380000.0,10396500.0,2020-01-30
ICICIPRULI,2020-01-22,494.0,513.65,490.5,508.45,12309000.0,10071000.0,2020-01-30
ICICIPRULI,2020-01-23,510.0,515.85,507.05,509.5,5616000.0,10183500.0,2020-01-30
ICICIPRULI,2020-01-24,508.5,523.85,506.9,521.7,6114000.0,9084000.0,2020-01-30
ICICIPRULI,2020-01-27,521.6,533.2,517.2,526.55,5839500.0,7932000.0,2020-01-30
ICICIPRULI,2020-01-28,526.4,533.35,524.0,526.85,4618500.0,5551500.0,2020-01-30
ICICIPRULI,2020-01-29,526.85,530.6,518.2,524.7,4591500.0,7369500.0,2020-02-27
ICICIPRULI,2020-01-30,523.85,525.35,510.45000000000005,519.8000000000001,4131000.0,8586000.0,2020-02-27
ICICIPRULI,2020-01-31,522.15,524.7,507.20000000000005,509.45000000000005,2610000.0,8583000.0,2020-02-27
ICICIPRULI,2020-02-03,448.35,460.55,434.25,443.65000000000003,17746500.0,9790500.0,2020-02-27
ICICIPRULI,2020-02-04,446.90000000000003,470.05,441.90000000000003,465.35,8568000.0,9139500.0,2020-02-27
ICICIPRULI,2020-02-05,466.85,475.8,466.55,472.25,4326000.0,9060000.0,2020-02-27
ICICIPRULI,2020-02-06,476.85,496.20000000000005,476.40000000000003,483.20000000000005,5457000.0,9031500.0,2020-02-27
ICICIPRULI,2020-02-07,481.45000000000005,499.6,481.45000000000005,490.05,3655500.0,9087000.0,2020-02-27
ICICIPRULI,2020-02-10,490.40000000000003,490.40000000000003,477.6,481.3,2346000.0,8991000.0,2020-02-27
ICICIPRULI,2020-02-11,483.0,486.75,471.55,479.35,2541000.0,8965500.0,2020-02-27
ICICIPRULI,2020-02-12,479.70000000000005,482.85,472.40000000000003,478.35,2373000.0,8722500.0,2020-02-27
ICICIPRULI,2020-02-13,475.85,479.05,469.25,477.0,2292000.0,8625000.0,2020-02-27
ICICIPRULI,2020-02-14,474.95000000000005,480.55,474.95000000000005,478.3,1326000.0,8644500.0,2020-02-27
ICICIPRULI,2020-02-17,477.45000000000005,478.05,464.55,472.25,2134500.0,8628000.0,2020-02-27
ICICIPRULI,2020-02-18,467.40000000000003,470.95000000000005,463.5,468.45000000000005,2293500.0,8637000.0,2020-02-27
ICICIPRULI,2020-02-19,471.1,487.85,468.40000000000003,486.75,3582000.0,8374500.0,2020-02-27
ICICIPRULI,2020-02-20,489.0,501.65000000000003,489.0,492.20000000000005,4815000.0,7317000.0,2020-02-27
ICICIPRULI,2020-02-24,484.6,497.1,480.3,482.6,3459000.0,7107000.0,2020-02-27
ICICIPRULI,2020-02-25,482.6,486.3,471.40000000000003,477.70000000000005,3379500.0,4933500.0,2020-03-26
ICICIPRULI,2020-02-26,476.85,485.8,467.20000000000005,471.65000000000003,3846000.0,6910500.0,2020-03-26
ICICIPRULI,2020-02-27,467.20000000000005,479.1,462.8,477.45000000000005,3426000.0,8076000.0,2020-03-26
ICICIPRULI,2020-02-28,469.6,472.05,449.3,462.45000000000005,5352000.0,8254500.0,2020-03-26
