symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
IPCALAB,2021-08-27,2550.0,2593.1,2451.05,2466.8,45675.0,21375.0,2021-09-30
IPCALAB,2021-08-30,2466.8,2516.95,2466.8,2493.85,72900.0,47700.0,2021-09-30
IPCALAB,2021-08-31,2497.15,2675.0,2445.0,2587.7,380250.0,116775.0,2021-09-30
IPCALAB,2021-09-01,2603.7,2648.0,2500.0,2541.95,158400.0,131400.0,2021-09-30
IPCALAB,2021-09-02,2536.75,2538.25,2485.05,2498.6,85275.0,157500.0,2021-09-30
IPCALAB,2021-09-03,2502.2,2564.0,2502.2,2545.15,137925.0,156375.0,2021-09-30
IPCALAB,2021-09-06,2547.35,2551.5,2491.85,2503.9,79875.0,154575.0,2021-09-30
IPCALAB,2021-09-07,2508.9,2514.9,2454.0,2503.4,91575.0,161775.0,2021-09-30
IPCALAB,2021-09-08,2514.95,2554.0,2485.0,2541.7,126000.0,169650.0,2021-09-30
IPCALAB,2021-09-09,2548.15,2549.4,2515.4,2526.3,74925.0,167850.0,2021-09-30
IPCALAB,2021-09-13,2537.0,2630.0,2537.0,2601.15,344025.0,207450.0,2021-09-30
IPCALAB,2021-09-14,2606.0,2693.0,2571.0,2648.4,313425.0,245250.0,2021-09-30
IPCALAB,2021-09-15,2698.0,2768.3,2616.2,2633.55,614700.0,319500.0,2021-09-30
IPCALAB,2021-09-16,2629.8,2646.05,2553.45,2577.35,239400.0,332325.0,2021-09-30
IPCALAB,2021-09-17,2579.95,2598.75,2478.4,2497.5,182475.0,327375.0,2021-09-30
IPCALAB,2021-09-20,2450.25,2515.1,2402.0,2410.15,221625.0,301050.0,2021-09-30
IPCALAB,2021-09-21,2311.35,2447.9,2311.35,2437.9,267300.0,300825.0,2021-09-30
IPCALAB,2021-09-22,2450.0,2455.0,2411.0,2435.65,99900.0,297675.0,2021-09-30
IPCALAB,2021-09-23,2403.6,2489.8,2351.0,2481.0,164025.0,282825.0,2021-09-30
IPCALAB,2021-09-24,2488.45,2494.5,2392.2,2398.55,178200.0,272925.0,2021-09-30
IPCALAB,2021-09-27,2398.55,2399.9,2348.55,2353.75,274950.0,231975.0,2021-10-28
