symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
JKCEMENT,2021-10-01,3141.1,3229.0,3141.1,3224.4,98000.0,40250.0,2021-10-28
JKCEMENT,2021-10-04,3240.0,3424.1,3231.0,3332.8,110425.0,69125.0,2021-10-28
JKCEMENT,2021-10-05,3362.55,3413.5,3325.05,3349.85,104650.0,79975.0,2021-10-28
JKCEMENT,2021-10-06,3348.8,3474.0,3315.05,3348.05,146125.0,74025.0,2021-10-28
JKCEMENT,2021-10-07,3381.05,3450.0,3356.2,3424.35,71750.0,70875.0,2021-10-28
JKCEMENT,2021-10-08,3438.95,3465.5,3384.65,3400.55,111475.0,66150.0,2021-10-28
JKCEMENT,2021-10-11,3408.95,3599.7,3377.15,3457.2,151025.0,75250.0,2021-10-28
JKCEMENT,2021-10-12,3453.35,3494.1,3375.45,3426.9,55825.0,65975.0,2021-10-28
JKCEMENT,2021-10-13,3415.95,3457.65,3352.95,3366.45,78400.0,68425.0,2021-10-28
JKCEMENT,2021-10-14,3376.95,3524.95,3367.85,3472.15,187425.0,95725.0,2021-10-28
JKCEMENT,2021-10-18,3469.95,3524.85,3422.4,3450.65,146300.0,93975.0,2021-10-28
JKCEMENT,2021-10-19,3415.35,3465.05,3286.65,3322.2,170800.0,106050.0,2021-10-28
JKCEMENT,2021-10-20,3260.3,3330.05,3168.1,3196.1,174650.0,105875.0,2021-10-28
JKCEMENT,2021-10-21,3221.9,3249.9,3135.75,3235.0,145250.0,110075.0,2021-10-28
JKCEMENT,2021-10-22,3223.0,3237.05,3139.05,3166.55,138950.0,92225.0,2021-10-28
JKCEMENT,2021-10-25,3150.05,3150.05,3011.35,3109.25,91350.0,80500.0,2021-10-28
JKCEMENT,2021-10-26,3109.25,3197.65,3059.55,3160.85,159950.0,83475.0,2021-11-25
JKCEMENT,2021-10-27,3126.9500000000003,3215.2000000000003,3126.9500000000003,3181.65,132125.0,82775.0,2021-11-25
JKCEMENT,2021-10-28,3187.55,3242.4500000000003,3163.8,3216.4,116900.0,78575.0,2021-11-25
JKCEMENT,2021-10-29,3153.4500000000003,3355.6,3153.4,3324.15,82250.0,88375.0,2021-11-25
JKCEMENT,2021-11-01,3322.4,3438.9,3301.7000000000003,3406.5,105875.0,94500.0,2021-11-25
JKCEMENT,2021-11-02,3356.55,3509.65,3356.55,3470.0,102725.0,95550.0,2021-11-25
JKCEMENT,2021-11-03,3444.6,3532.6,3414.6,3514.05,76125.0,104475.0,2021-11-25
JKCEMENT,2021-11-04,3511.8,3527.65,3457.9,3511.1,24150.0,110425.0,2021-11-25
JKCEMENT,2021-11-08,3622.65,3847.65,3495.9500000000003,3792.15,276150.0,166250.0,2021-11-25
JKCEMENT,2021-11-09,3697.8,3773.35,3643.65,3664.75,159600.0,175525.0,2021-11-25
JKCEMENT,2021-11-10,3647.7000000000003,3677.8,3573.7000000000003,3599.9500000000003,137375.0,173775.0,2021-11-25
JKCEMENT,2021-11-11,3610.6,3622.9,3548.2000000000003,3600.35,114450.0,163100.0,2021-11-25
JKCEMENT,2021-11-12,3640.5,3712.0,3573.4,3682.2000000000003,191800.0,194250.0,2021-11-25
JKCEMENT,2021-11-15,3644.65,3666.15,3423.6,3502.25,296800.0,166075.0,2021-11-25
JKCEMENT,2021-11-16,3512.6,3592.8,3441.65,3486.65,143675.0,149975.0,2021-11-25
JKCEMENT,2021-11-17,3452.9500000000003,3631.3,3452.9500000000003,3561.8,186725.0,146650.0,2021-11-25
JKCEMENT,2021-11-18,3537.6,3572.1,3382.4,3486.55,141225.0,152250.0,2021-11-25
JKCEMENT,2021-11-22,3457.6,3479.3,3297.75,3358.9500000000003,146650.0,117600.0,2021-11-25
JKCEMENT,2021-11-23,3358.9500000000003,3468.25,3358.9500000000003,3447.55,94675.0,124600.0,2021-12-30
JKCEMENT,2021-11-24,3460.4500000000003,3481.3,3380.8500000000004,3396.1000000000004,125825.0,159075.0,2021-12-30
JKCEMENT,2021-11-25,3396.1000000000004,3419.9500000000003,3355.4500000000003,3387.1000000000004,76825.0,152600.0,2021-12-30
JKCEMENT,2021-11-26,3386.7000000000003,3397.2000000000003,3261.0,3272.2000000000003,88025.0,151550.0,2021-12-30
