symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
M&MFIN,2020-01-01,324.2,334.75,323.75,334.3,4972800.0,15348800.0,2020-01-30
M&MFIN,2020-01-02,335.0,342.95,331.75,341.15,6336000.0,16038400.0,2020-01-30
M&MFIN,2020-01-03,337.0,340.95,335.5,337.05,5025600.0,16508800.0,2020-01-30
M&MFIN,2020-01-06,334.25,334.25,319.15,322.45,5884800.0,15964800.0,2020-01-30
M&MFIN,2020-01-07,326.45,329.7,321.3,324.3,4236800.0,16097600.0,2020-01-30
M&MFIN,2020-01-08,321.6,327.45,316.0,326.55,3569600.0,15998400.0,2020-01-30
M&MFIN,2020-01-09,329.65,335.9,329.15,332.9,4755200.0,16195200.0,2020-01-30
M&MFIN,2020-01-10,333.95,337.3,329.9,333.4,3920000.0,16352000.0,2020-01-30
M&MFIN,2020-01-13,334.95,345.25,334.85,344.3,5222400.0,16321600.0,2020-01-30
M&MFIN,2020-01-14,345.05,351.95,344.5,348.55,4233600.0,16945600.0,2020-01-30
M&MFIN,2020-01-15,347.0,356.45,345.85,354.7,3560000.0,17076800.0,2020-01-30
M&MFIN,2020-01-16,359.35,362.25,354.45,359.7,4161600.0,16763200.0,2020-01-30
M&MFIN,2020-01-17,359.7,362.5,356.15,360.7,4600000.0,16806400.0,2020-01-30
M&MFIN,2020-01-20,359.3,360.8,348.05,350.9,3910400.0,16672000.0,2020-01-30
M&MFIN,2020-01-21,347.1,356.3,344.75,353.75,3243200.0,16761600.0,2020-01-30
M&MFIN,2020-01-22,356.05,358.7,348.5,350.8,4886400.0,16297600.0,2020-01-30
M&MFIN,2020-01-23,351.0,366.15,349.3,364.75,8368000.0,15609600.0,2020-01-30
M&MFIN,2020-01-24,364.65,371.0,363.0,369.15,5137600.0,14880000.0,2020-01-30
M&MFIN,2020-01-27,367.45,372.8,346.25,352.7,10627200.0,14228800.0,2020-01-30
M&MFIN,2020-01-28,353.0,364.65,345.5,352.35,12116800.0,9168000.0,2020-01-30
M&MFIN,2020-01-29,352.35,369.1,348.20000000000005,357.45000000000005,11464000.0,13038400.0,2020-02-27
M&MFIN,2020-01-30,356.95000000000005,361.75,349.20000000000005,358.90000000000003,6380800.0,15014400.0,2020-02-27
M&MFIN,2020-01-31,358.35,366.90000000000003,355.20000000000005,358.75,4840000.0,15014400.0,2020-02-27
M&MFIN,2020-02-03,339.95000000000005,352.1,336.1,338.95000000000005,4014400.0,15124800.0,2020-02-27
M&MFIN,2020-02-04,343.0,359.40000000000003,341.35,356.6,4489600.0,15068800.0,2020-02-27
M&MFIN,2020-02-05,356.5,381.65000000000003,356.5,376.40000000000003,6620800.0,15225600.0,2020-02-27
M&MFIN,2020-02-06,379.40000000000003,387.8,372.90000000000003,380.05,6534400.0,14470400.0,2020-02-27
M&MFIN,2020-02-07,380.05,390.6,376.15000000000003,387.8,4500800.0,14784000.0,2020-02-27
M&MFIN,2020-02-10,385.90000000000003,386.90000000000003,380.5,383.40000000000003,2384000.0,14904000.0,2020-02-27
M&MFIN,2020-02-11,386.6,391.95000000000005,380.3,381.6,3536000.0,15360000.0,2020-02-27
M&MFIN,2020-02-12,382.05,384.8,374.3,379.6,2836800.0,15046400.0,2020-02-27
M&MFIN,2020-02-13,377.8,382.65000000000003,374.95000000000005,376.6,1686400.0,14886400.0,2020-02-27
M&MFIN,2020-02-14,377.25,381.0,369.75,373.3,3217600.0,14329600.0,2020-02-27
M&MFIN,2020-02-17,375.3,376.8,362.70000000000005,364.20000000000005,2472000.0,14096000.0,2020-02-27
M&MFIN,2020-02-18,362.35,362.85,354.1,359.40000000000003,3512000.0,14132800.0,2020-02-27
M&MFIN,2020-02-19,365.35,371.70000000000005,363.5,370.55,3928000.0,14692800.0,2020-02-27
M&MFIN,2020-02-20,368.6,378.20000000000005,368.1,369.85,3497600.0,14529600.0,2020-02-27
M&MFIN,2020-02-24,361.40000000000003,369.5,350.90000000000003,354.75,4132800.0,13979200.0,2020-02-27
M&MFIN,2020-02-25,357.0,368.1,354.6,359.45000000000005,4811200.0,11665600.0,2020-02-27
M&MFIN,2020-02-26,356.1,356.85,346.5,348.35,7196800.0,9609600.0,2020-02-27
M&MFIN,2020-02-27,348.35,348.35,332.65000000000003,334.8,5988800.0,9569600.0,2020-03-26
M&MFIN,2020-02-28,324.85,330.0,311.35,322.5,5777600.0,9880000.0,2020-03-26
M&MFIN,2020-03-02,329.5,337.90000000000003,315.0,319.65000000000003,3944000.0,9614400.0,2020-03-26
M&MFIN,2020-03-03,319.90000000000003,330.75,317.8,323.95000000000005,4142400.0,9009600.0,2020-03-26
M&MFIN,2020-03-04,325.3,326.6,307.20000000000005,316.70000000000005,4542400.0,8817600.0,2020-03-26
M&MFIN,2020-03-05,321.45000000000005,326.85,313.1,317.0,3704000.0,8358400.0,2020-03-26
M&MFIN,2020-03-06,296.6,321.6,294.35,318.0,7892800.0,8176000.0,2020-03-26
M&MFIN,2020-03-09,308.90000000000003,315.55,300.95000000000005,305.45000000000005,3382400.0,8075200.0,2020-03-26
M&MFIN,2020-03-11,303.40000000000003,311.90000000000003,299.65000000000003,304.25,3244800.0,8249600.0,2020-03-26
M&MFIN,2020-03-12,286.85,296.70000000000005,260.6,265.6,5651200.0,8707200.0,2020-03-26
M&MFIN,2020-03-13,249.10000000000002,292.6,224.60000000000002,266.05,6211200.0,8534400.0,2020-03-26
M&MFIN,2020-03-16,262.1,262.1,240.35000000000002,243.05,3921600.0,7958400.0,2020-03-26
M&MFIN,2020-03-17,239.85000000000002,258.20000000000005,227.90000000000003,231.05,5928000.0,7825600.0,2020-03-26
M&MFIN,2020-03-18,235.60000000000002,236.25000000000003,198.85000000000002,210.90000000000003,5483200.0,7488000.0,2020-03-26
M&MFIN,2020-03-19,192.65000000000003,214.85000000000002,169.90000000000003,180.60000000000002,4633600.0,7380800.0,2020-03-26
M&MFIN,2020-03-20,190.95000000000002,201.3,172.10000000000002,192.45000000000002,9561600.0,7702400.0,2020-03-26
M&MFIN,2020-03-23,179.60000000000002,179.60000000000002,127.95000000000002,133.25000000000003,4001600.0,6744000.0,2020-03-26
M&MFIN,2020-03-24,137.55,155.85000000000002,125.55000000000001,143.55,5683200.0,6155200.0,2020-03-26
M&MFIN,2020-03-25,143.55,168.70000000000002,143.55,160.60000000000002,4465600.0,6987200.0,2020-04-30
M&MFIN,2020-03-26,161.65,176.3,151.65,158.4,5424000.0,8627200.0,2020-04-30
M&MFIN,2020-03-27,164.35000000000002,177.65,154.10000000000002,155.8,8017600.0,9278400.0,2020-04-30
M&MFIN,2020-03-30,151.45000000000002,151.60000000000002,135.25,138.5,2457600.0,9529600.0,2020-04-30
M&MFIN,2020-03-31,142.10000000000002,145.15,132.65,141.25,4800000.0,9592000.0,2020-04-30
M&MFIN,2020-04-01,137.55,147.20000000000002,137.55,146.3,3928000.0,9704000.0,2020-04-30
M&MFIN,2020-04-03,148.25,150.20000000000002,134.55,136.8,3576000.0,9628800.0,2020-04-30
M&MFIN,2020-04-07,143.4,143.8,122.5,136.8,13347200.0,10430400.0,2020-04-30
M&MFIN,2020-04-08,133.8,155.0,130.70000000000002,152.3,8193600.0,9478400.0,2020-04-30
M&MFIN,2020-04-09,154.45000000000002,165.25,154.3,161.05,7201600.0,10371200.0,2020-04-30
M&MFIN,2020-04-13,160.75,161.65,144.3,147.8,3379200.0,10273600.0,2020-04-30
