symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
NAM-INDIA,2021-02-26,334.15,345.85,325.95,329.25,516800.0,233600.0,2021-03-25
NAM-INDIA,2021-03-01,332.2,353.85,327.6,346.8,854400.0,456000.0,2021-03-25
NAM-INDIA,2021-03-02,350.65,358.0,340.25,347.95,1633600.0,747200.0,2021-03-25
NAM-INDIA,2021-03-03,351.65,377.2,348.35,364.05,5417600.0,1840000.0,2021-03-25
NAM-INDIA,2021-03-04,361.55,370.05,355.0,362.95,2044800.0,2027200.0,2021-03-25
NAM-INDIA,2021-03-05,363.4,366.9,347.95,353.4,1262400.0,1792000.0,2021-03-25
NAM-INDIA,2021-03-08,356.65,364.7,348.0,355.3,1164800.0,1680000.0,2021-03-25
NAM-INDIA,2021-03-09,356.2,361.4,350.05,352.05,542400.0,1696000.0,2021-03-25
NAM-INDIA,2021-03-10,353.15,360.0,347.3,354.35,809600.0,1715200.0,2021-03-25
NAM-INDIA,2021-03-12,357.0,357.95,342.3,345.9,744000.0,1676800.0,2021-03-25
NAM-INDIA,2021-03-15,343.7,344.45,331.95,341.1,697600.0,1526400.0,2021-03-25
NAM-INDIA,2021-03-16,337.5,339.65,333.0,335.2,483200.0,1528000.0,2021-03-25
NAM-INDIA,2021-03-17,335.05,341.8,331.1,334.05,990400.0,1424000.0,2021-03-25
NAM-INDIA,2021-03-18,336.0,338.55,321.0,323.6,483200.0,1384000.0,2021-03-25
NAM-INDIA,2021-03-19,323.15,330.6,315.0,327.7,729600.0,1235200.0,2021-03-25
NAM-INDIA,2021-03-22,327.4,336.95,327.4,335.9,795200.0,1107200.0,2021-03-25
NAM-INDIA,2021-03-23,337.35,341.8,335.25,340.35,1260800.0,748800.0,2021-03-25
NAM-INDIA,2021-03-24,340.35,341.15000000000003,335.5,336.6,633600.0,670400.0,2021-04-29
NAM-INDIA,2021-03-25,336.85,336.85,323.3,329.95,696000.0,782400.0,2021-04-29
NAM-INDIA,2021-03-26,333.55,338.5,331.35,335.3,238400.0,723200.0,2021-04-29
NAM-INDIA,2021-03-30,336.0,341.3,336.0,340.2,268800.0,761600.0,2021-04-29
NAM-INDIA,2021-03-31,338.25,345.1,335.2,343.0,497600.0,753600.0,2021-04-29
NAM-INDIA,2021-04-01,343.05,351.7,340.3,349.35,556800.0,888000.0,2021-04-29
NAM-INDIA,2021-04-05,347.05,347.95,334.55,339.35,449600.0,841600.0,2021-04-29
NAM-INDIA,2021-04-06,339.0,343.05,337.90000000000003,341.25,235200.0,841600.0,2021-04-29
NAM-INDIA,2021-04-07,339.85,349.6,339.85,344.65000000000003,668800.0,972800.0,2021-04-29
NAM-INDIA,2021-04-08,347.2,366.7,345.55,362.85,2878400.0,1460800.0,2021-04-29
NAM-INDIA,2021-04-09,363.7,364.1,353.0,355.75,1016000.0,1294400.0,2021-04-29
NAM-INDIA,2021-04-12,348.40000000000003,348.40000000000003,321.3,329.15000000000003,1076800.0,1244800.0,2021-04-29
NAM-INDIA,2021-04-13,331.25,336.1,324.90000000000003,332.95,502400.0,1214400.0,2021-04-29
NAM-INDIA,2021-04-15,334.7,339.15000000000003,328.05,335.05,769600.0,1203200.0,2021-04-29
NAM-INDIA,2021-04-16,336.5,343.15000000000003,336.5,341.05,1396800.0,1880000.0,2021-04-29
NAM-INDIA,2021-04-19,334.45,334.45,327.0,328.3,435200.0,1875200.0,2021-04-29
NAM-INDIA,2021-04-20,331.6,337.0,327.8,330.55,1203200.0,1979200.0,2021-04-29
NAM-INDIA,2021-04-22,328.1,331.2,326.95,328.25,681600.0,1849600.0,2021-04-29
NAM-INDIA,2021-04-23,330.15000000000003,332.25,327.65000000000003,328.7,576000.0,1796800.0,2021-04-29
NAM-INDIA,2021-04-26,331.2,335.75,329.90000000000003,334.0,955200.0,1739200.0,2021-04-29
NAM-INDIA,2021-04-27,332.1,346.5,332.1,343.75,1102400.0,1563200.0,2021-04-29
NAM-INDIA,2021-04-28,343.75,349.75,335.5,341.7,1272000.0,1406400.0,2021-05-27
NAM-INDIA,2021-04-29,344.1,348.45,336.75,342.95,1184000.0,1736000.0,2021-05-27
NAM-INDIA,2021-04-30,339.75,345.8,339.75,341.7,401600.0,1688000.0,2021-05-27
NAM-INDIA,2021-05-03,338.75,341.55,335.1,338.75,318400.0,1664000.0,2021-05-27
NAM-INDIA,2021-05-04,343.65,343.75,337.85,339.5,473600.0,1536000.0,2021-05-27
NAM-INDIA,2021-05-05,341.95,341.95,336.5,339.5,180800.0,1523200.0,2021-05-27
NAM-INDIA,2021-05-06,341.15,347.45,337.55,346.0,822400.0,1536000.0,2021-05-27
NAM-INDIA,2021-05-07,345.55,354.75,345.55,351.35,814400.0,1435200.0,2021-05-27
NAM-INDIA,2021-05-10,351.15,355.75,347.4,350.45,436800.0,1428800.0,2021-05-27
NAM-INDIA,2021-05-11,345.1,352.05,344.45,350.2,646400.0,1248000.0,2021-05-27
NAM-INDIA,2021-05-12,351.1,351.6,342.95,344.8,540800.0,1110400.0,2021-05-27
NAM-INDIA,2021-05-14,342.25,347.9,336.6,341.55,492800.0,1110400.0,2021-05-27
