symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
NCC,2020-01-01,56.3,56.5,55.05,55.4,12825000.0,44397000.0,2020-01-30
NCC,2020-01-02,55.55,59.15,55.4,58.9,30753000.0,44982000.0,2020-01-30
NCC,2020-01-03,58.0,59.6,57.65,58.35,28827000.0,42444000.0,2020-01-30
NCC,2020-01-06,57.4,57.5,54.95,55.3,17073000.0,42210000.0,2020-01-30
NCC,2020-01-07,55.85,57.2,54.4,55.6,19143000.0,41913000.0,2020-01-30
NCC,2020-01-08,54.55,55.45,53.55,54.05,17910000.0,42849000.0,2020-01-30
NCC,2020-01-09,55.4,57.1,54.9,56.7,19818000.0,42939000.0,2020-01-30
NCC,2020-01-10,57.05,58.7,55.85,56.75,30510000.0,43443000.0,2020-01-30
NCC,2020-01-13,57.25,59.1,56.8,57.45,30708000.0,45864000.0,2020-01-30
NCC,2020-01-14,57.5,58.65,57.05,58.2,17937000.0,45108000.0,2020-01-30
NCC,2020-01-15,58.15,60.65,57.8,60.4,35136000.0,46485000.0,2020-01-30
NCC,2020-01-16,60.85,61.15,59.55,60.2,23508000.0,45333000.0,2020-01-30
NCC,2020-01-17,60.2,61.2,59.5,59.85,16596000.0,44730000.0,2020-01-30
NCC,2020-01-20,59.7,60.25,57.95,58.35,15723000.0,43893000.0,2020-01-30
NCC,2020-01-21,58.1,58.9,56.9,57.5,12204000.0,43677000.0,2020-01-30
NCC,2020-01-22,58.15,58.2,56.6,56.9,10701000.0,43272000.0,2020-01-30
NCC,2020-01-23,57.15,58.9,56.9,58.45,14445000.0,42498000.0,2020-01-30
NCC,2020-01-24,58.55,60.0,58.2,59.25,18495000.0,41868000.0,2020-01-30
NCC,2020-01-27,58.0,60.8,57.9,58.2,32355000.0,36990000.0,2020-01-30
NCC,2020-01-28,58.4,59.25,56.85,57.25,25794000.0,29367000.0,2020-01-30
NCC,2020-01-29,57.25,57.8,57.0,57.199999999999996,26253000.0,32625000.0,2020-02-27
NCC,2020-01-30,57.199999999999996,57.199999999999996,54.4,55.05,36540000.0,44982000.0,2020-02-27
NCC,2020-01-31,55.55,56.15,53.699999999999996,54.05,18855000.0,44856000.0,2020-02-27
NCC,2020-02-03,50.15,50.55,47.6,48.199999999999996,30042000.0,45360000.0,2020-02-27
NCC,2020-02-04,48.8,50.15,48.75,49.9,20286000.0,44667000.0,2020-02-27
