symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
NMDC,2020-01-01,129.3,130.2,127.5,129.05,7722000.0,23964000.0,2020-01-30
NMDC,2020-01-02,129.75,131.95,129.3,131.45,17766000.0,24498000.0,2020-01-30
NMDC,2020-01-03,130.8,131.6,129.1,129.85,10530000.0,25218000.0,2020-01-30
NMDC,2020-01-06,129.25,130.35,127.85,129.45,10116000.0,24288000.0,2020-01-30
NMDC,2020-01-07,130.5,131.25,124.85,128.55,37908000.0,25572000.0,2020-01-30
NMDC,2020-01-08,126.8,127.95,118.25,122.1,45288000.0,26112000.0,2020-01-30
NMDC,2020-01-09,123.0,123.85,119.6,121.25,26142000.0,26838000.0,2020-01-30
NMDC,2020-01-10,120.8,123.25,119.8,121.4,12960000.0,26580000.0,2020-01-30
NMDC,2020-01-13,122.25,124.95,121.9,123.3,14376000.0,25464000.0,2020-01-30
NMDC,2020-01-14,124.0,126.05,123.6,125.75,11358000.0,24204000.0,2020-01-30
NMDC,2020-01-15,125.9,131.4,125.65,131.05,18072000.0,22920000.0,2020-01-30
NMDC,2020-01-16,131.7,132.8,129.75,130.55,10014000.0,21492000.0,2020-01-30
NMDC,2020-01-17,130.05,131.35,129.6,130.05,4290000.0,21228000.0,2020-01-30
NMDC,2020-01-20,135.6,138.8,132.9,138.3,40746000.0,21132000.0,2020-01-30
NMDC,2020-01-21,137.55,137.8,134.15,134.75,13254000.0,21042000.0,2020-01-30
NMDC,2020-01-22,135.25,135.25,129.1,131.55,25674000.0,22086000.0,2020-01-30
NMDC,2020-01-23,130.2,132.3,125.3,128.75,64140000.0,28002000.0,2020-01-30
NMDC,2020-01-24,126.9,130.2,126.2,127.1,19134000.0,28800000.0,2020-01-30
NMDC,2020-01-27,126.55,126.65,122.15,123.05,11688000.0,28056000.0,2020-01-30
NMDC,2020-01-28,122.9,124.55,120.6,122.05,23316000.0,20004000.0,2020-01-30
NMDC,2020-01-29,122.05,122.05,118.75,119.8,13686000.0,25692000.0,2020-02-27
NMDC,2020-01-30,119.8,120.35,115.6,117.39999999999999,22032000.0,30414000.0,2020-02-27
NMDC,2020-01-31,118.35,119.05,114.64999999999999,115.39999999999999,46260000.0,37488000.0,2020-02-27
NMDC,2020-02-03,102.6,104.6,99.85,101.1,15696000.0,42984000.0,2020-02-27
NMDC,2020-02-04,101.1,105.44999999999999,101.1,104.55,14508000.0,41922000.0,2020-02-27
NMDC,2020-02-05,104.75,110.44999999999999,103.5,109.89999999999999,24462000.0,40314000.0,2020-02-27
NMDC,2020-02-06,110.14999999999999,113.1,109.19999999999999,110.85,19680000.0,42132000.0,2020-02-27
NMDC,2020-02-07,111.3,111.3,106.0,109.75,20922000.0,42456000.0,2020-02-27
NMDC,2020-02-10,108.85,110.19999999999999,106.94999999999999,108.85,16080000.0,40260000.0,2020-02-27
NMDC,2020-02-11,108.94999999999999,111.0,108.05,108.89999999999999,11388000.0,39606000.0,2020-02-27
NMDC,2020-02-12,108.94999999999999,111.25,108.85,110.64999999999999,8118000.0,39654000.0,2020-02-27
NMDC,2020-02-13,111.0,111.25,105.1,105.85,18066000.0,41634000.0,2020-02-27
NMDC,2020-02-14,105.55,106.75,101.44999999999999,102.1,12690000.0,40974000.0,2020-02-27
NMDC,2020-02-17,102.69999999999999,103.3,101.5,101.89999999999999,9054000.0,39684000.0,2020-02-27
NMDC,2020-02-18,100.8,101.69999999999999,97.94999999999999,100.55,12744000.0,38448000.0,2020-02-27
NMDC,2020-02-19,101.0,106.5,101.0,105.94999999999999,15762000.0,34410000.0,2020-02-27
NMDC,2020-02-20,105.64999999999999,107.25,104.94999999999999,106.0,9228000.0,32934000.0,2020-02-27
NMDC,2020-02-24,105.35,105.35,101.94999999999999,102.44999999999999,13404000.0,30408000.0,2020-02-27
NMDC,2020-02-25,103.85,104.44999999999999,101.3,102.1,16446000.0,21666000.0,2020-02-27
NMDC,2020-02-26,102.1,103.75,99.89999999999999,100.1,16170000.0,26166000.0,2020-03-26
NMDC,2020-02-27,99.85,100.05,96.7,98.2,13032000.0,30102000.0,2020-03-26
NMDC,2020-02-28,95.8,95.89999999999999,90.55,92.8,14232000.0,30276000.0,2020-03-26
NMDC,2020-03-02,95.2,97.5,89.85,90.64999999999999,11022000.0,32802000.0,2020-03-26
NMDC,2020-03-03,93.05,95.55,90.6,94.89999999999999,9954000.0,31920000.0,2020-03-26
NMDC,2020-03-04,94.75,96.39999999999999,92.7,95.75,12036000.0,29784000.0,2020-03-26
NMDC,2020-03-05,96.89999999999999,98.89999999999999,95.05,95.6,14088000.0,30876000.0,2020-03-26
NMDC,2020-03-06,89.85,95.64999999999999,89.6,95.14999999999999,8940000.0,30840000.0,2020-03-26
NMDC,2020-03-09,91.55,92.55,85.25,85.89999999999999,17934000.0,29754000.0,2020-03-26
NMDC,2020-03-11,85.85,86.45,82.1,83.64999999999999,15522000.0,30978000.0,2020-03-26
NMDC,2020-03-12,78.25,79.7,73.35,74.39999999999999,15984000.0,30798000.0,2020-03-26
NMDC,2020-03-13,69.8,79.25,63.55,77.85,15144000.0,29220000.0,2020-03-26
NMDC,2020-03-16,74.05,80.5,72.75,75.89999999999999,17034000.0,27660000.0,2020-03-26
NMDC,2020-03-17,76.55,80.7,74.85,75.64999999999999,15276000.0,27312000.0,2020-03-26
NMDC,2020-03-18,77.85,80.55,66.35,75.85,27270000.0,30006000.0,2020-03-26
NMDC,2020-03-19,70.05,74.55,67.6,68.89999999999999,16968000.0,27588000.0,2020-03-26
NMDC,2020-03-20,69.05,77.0,68.55,74.25,15408000.0,25920000.0,2020-03-26
NMDC,2020-03-23,67.05,69.39999999999999,64.0,64.94999999999999,18036000.0,22770000.0,2020-03-26
NMDC,2020-03-24,68.95,70.05,64.69999999999999,65.5,8784000.0,15942000.0,2020-03-26
NMDC,2020-03-25,65.5,70.6,65.19999999999999,69.25,6276000.0,17136000.0,2020-04-30
NMDC,2020-03-26,69.30000000000001,74.35,68.80000000000001,73.1,10146000.0,22236000.0,2020-04-30
NMDC,2020-03-27,75.44999999999999,77.35,73.4,76.6,7008000.0,22536000.0,2020-04-30
NMDC,2020-03-30,73.15,80.15,72.1,79.25,6186000.0,22938000.0,2020-04-30
NMDC,2020-03-31,80.1,84.69999999999999,80.1,82.80000000000001,9168000.0,22992000.0,2020-04-30
NMDC,2020-04-01,80.69999999999999,84.4,78.69999999999999,81.25,8442000.0,23406000.0,2020-04-30
NMDC,2020-04-03,80.4,83.30000000000001,78.65,81.85,4686000.0,23520000.0,2020-04-30
NMDC,2020-04-07,83.05000000000001,84.25,80.4,81.85,7776000.0,23592000.0,2020-04-30
NMDC,2020-04-08,80.6,83.5,77.15,78.1,8400000.0,23988000.0,2020-04-30
NMDC,2020-04-09,79.30000000000001,82.85,79.0,82.6,6678000.0,23226000.0,2020-04-30
