symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
PNB,2020-01-01,64.9,65.5,64.35,65.2,16060500.0,103907700.0,2020-01-30
PNB,2020-01-02,65.35,67.45,65.0,67.2,56672400.0,105849900.0,2020-01-30
PNB,2020-01-03,66.65,66.85,64.8,65.4,31714300.0,105468100.0,2020-01-30
PNB,2020-01-06,64.95,64.95,61.1,61.65,50372700.0,111054000.0,2020-01-30
PNB,2020-01-07,62.6,63.4,61.05,62.05,42570700.0,112473300.0,2020-01-30
PNB,2020-01-08,60.95,61.85,60.35,61.2,40379500.0,114133300.0,2020-01-30
PNB,2020-01-09,62.1,63.35,62.0,62.95,34552900.0,110572600.0,2020-01-30
PNB,2020-01-10,63.1,64.2,62.25,62.75,35358000.0,110805000.0,2020-01-30
PNB,2020-01-13,63.0,63.65,62.9,63.5,23240000.0,109070300.0,2020-01-30
PNB,2020-01-14,63.0,64.3,62.6,63.1,26892000.0,110107800.0,2020-01-30
PNB,2020-01-15,63.2,63.9,62.05,63.75,28004200.0,109576600.0,2020-01-30
PNB,2020-01-16,63.65,64.2,62.9,63.65,25439500.0,109584900.0,2020-01-30
PNB,2020-01-17,62.0,64.2,61.4,63.45,48281100.0,110273800.0,2020-01-30
PNB,2020-01-20,63.7,63.75,61.45,61.65,36785600.0,112631000.0,2020-01-30
PNB,2020-01-21,61.65,62.4,61.3,61.55,25688500.0,112589500.0,2020-01-30
PNB,2020-01-22,62.25,62.25,60.65,61.15,30394600.0,110016500.0,2020-01-30
PNB,2020-01-23,61.2,62.6,61.1,62.0,30660200.0,105617500.0,2020-01-30
PNB,2020-01-24,62.05,63.05,61.8,62.6,30452700.0,96612000.0,2020-01-30
PNB,2020-01-27,61.9,62.3,61.05,61.25,44488000.0,78127900.0,2020-01-30
PNB,2020-01-28,61.25,61.699999999999996,60.05,60.35,49642300.0,68309000.0,2020-02-27
PNB,2020-01-29,60.85,61.449999999999996,60.699999999999996,60.9,43193200.0,90121400.0,2020-02-27
PNB,2020-01-30,60.699999999999996,61.0,59.3,59.9,69047700.0,114515100.0,2020-02-27
PNB,2020-01-31,60.15,61.15,59.65,60.4,24908300.0,113004500.0,2020-02-27
PNB,2020-02-03,58.65,58.85,56.75,57.05,37789900.0,117328800.0,2020-02-27
PNB,2020-02-04,57.15,58.8,56.0,56.65,108937500.0,120466200.0,2020-02-27
PNB,2020-02-05,56.1,57.1,55.85,56.699999999999996,33233200.0,120806500.0,2020-02-27
PNB,2020-02-06,57.0,59.199999999999996,56.65,58.55,46380400.0,116399200.0,2020-02-27
PNB,2020-02-07,58.35,59.3,57.949999999999996,58.75,25099200.0,116581800.0,2020-02-27
PNB,2020-02-10,58.65,58.75,56.65,57.15,25713400.0,119304200.0,2020-02-27
PNB,2020-02-11,57.8,57.85,56.55,56.8,20534200.0,120200600.0,2020-02-27
PNB,2020-02-12,56.949999999999996,57.15,54.949999999999996,55.4,27481300.0,121852300.0,2020-02-27
PNB,2020-02-13,55.75,56.0,54.699999999999996,55.25,22899700.0,122781900.0,2020-02-27
PNB,2020-02-14,55.4,55.85,53.65,53.9,30544000.0,124010300.0,2020-02-27
PNB,2020-02-17,53.75,54.1,51.35,51.6,35615300.0,123736400.0,2020-02-27
PNB,2020-02-18,51.5,52.15,49.55,51.85,42288500.0,119354000.0,2020-02-27
PNB,2020-02-19,52.3,52.949999999999996,51.4,52.5,23572000.0,118059200.0,2020-02-27
PNB,2020-02-20,52.25,53.5,51.85,52.6,35963900.0,113145600.0,2020-02-27
PNB,2020-02-24,51.6,51.6,49.699999999999996,49.949999999999996,59693600.0,92769100.0,2020-02-27
PNB,2020-02-25,50.15,50.449999999999996,49.449999999999996,49.65,52547300.0,71346800.0,2020-02-27
PNB,2020-02-26,49.65,50.4,49.15,49.349999999999994,56639200.0,83913000.0,2020-03-26
PNB,2020-02-27,49.65,49.65,47.05,47.199999999999996,82668000.0,112805300.0,2020-03-26
PNB,2020-02-28,45.849999999999994,46.55,44.449999999999996,44.849999999999994,45724700.0,112182800.0,2020-03-26
PNB,2020-03-02,46.05,46.449999999999996,42.199999999999996,42.9,45060700.0,113070900.0,2020-03-26
PNB,2020-03-03,42.949999999999996,45.15,42.9,44.65,49833200.0,111834200.0,2020-03-26
PNB,2020-03-04,44.949999999999996,45.15,43.099999999999994,44.65,44869800.0,112979600.0,2020-03-26
PNB,2020-03-05,44.9,46.099999999999994,42.75,45.05,51551300.0,109311000.0,2020-03-26
PNB,2020-03-06,40.8,43.25,40.75,42.5,39566100.0,105235700.0,2020-03-26
PNB,2020-03-09,41.55,42.05,39.5,39.849999999999994,35133900.0,106804400.0,2020-03-26
PNB,2020-03-11,40.05,40.75,38.05,38.5,34544600.0,104472100.0,2020-03-26
PNB,2020-03-12,34.75,36.599999999999994,33.3,33.75,73048300.0,101334700.0,2020-03-26
PNB,2020-03-13,31.049999999999997,38.25,27.449999999999996,37.55,64084300.0,88992600.0,2020-03-26
PNB,2020-03-16,36.05,36.4,34.5,35.55,39690600.0,84095600.0,2020-03-26
PNB,2020-03-17,35.699999999999996,37.3,34.65,35.099999999999994,37980800.0,81107600.0,2020-03-26
PNB,2020-03-18,35.5,38.65,33.699999999999996,36.349999999999994,57170400.0,78401800.0,2020-03-26
PNB,2020-03-19,34.65,39.449999999999996,34.05,37.099999999999994,55767700.0,67072300.0,2020-03-26
PNB,2020-03-20,37.4,39.099999999999994,36.65,38.05,43450500.0,61079700.0,2020-03-26
PNB,2020-03-23,35.05,37.949999999999996,34.25,35.5,17869900.0,46737300.0,2020-03-26
