symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
SUZLON,2025-08-01,62.9,67.13,62.76,66.26,71376000.0,39960000.0,2025-08-28
SUZLON,2025-08-04,66.97,67.14,65.0,65.29,25280000.0,52448000.0,2025-08-28
SUZLON,2025-08-05,65.29,66.4,65.02,65.75,18256000.0,61168000.0,2025-08-28
SUZLON,2025-08-06,65.94,65.95,64.84,65.52,14704000.0,64032000.0,2025-08-28
SUZLON,2025-08-07,65.16,65.6,62.34,64.51,25776000.0,66904000.0,2025-08-28
SUZLON,2025-08-08,64.47,64.65,63.12,63.3,22424000.0,64960000.0,2025-08-28
SUZLON,2025-08-11,63.3,65.08,63.09,63.56,21392000.0,68232000.0,2025-08-28
SUZLON,2025-08-12,64.27,65.06,62.66,63.33,61304000.0,90480000.0,2025-08-28
SUZLON,2025-08-13,64.0,64.08,60.13,60.61,76592000.0,99800000.0,2025-08-28
SUZLON,2025-08-14,60.8,61.1,60.05,60.15,20232000.0,86912000.0,2025-08-28
SUZLON,2025-08-18,60.5,61.89,56.68,58.14,61184000.0,89840000.0,2025-08-28
SUZLON,2025-08-19,58.29,59.89,57.84,59.76,34704000.0,94992000.0,2025-08-28
SUZLON,2025-08-20,59.66,60.4,59.27,59.97,25032000.0,97104000.0,2025-08-28
SUZLON,2025-08-21,60.15,60.15,58.04,58.12,24256000.0,97536000.0,2025-08-28
SUZLON,2025-08-22,58.01,59.4,58.01,58.68,40856000.0,86224000.0,2025-08-28
SUZLON,2025-08-25,59.0,59.0,57.52,57.59,37592000.0,70240000.0,2025-08-28
SUZLON,2025-08-26,57.59,57.96000000000001,57.160000000000004,57.50000000000001,37504000.0,72048000.0,2025-09-30
SUZLON,2025-08-28,57.85000000000001,57.85000000000001,56.39000000000001,56.720000000000006,58952000.0,109120000.0,2025-09-30
SUZLON,2025-08-29,56.89000000000001,57.57000000000001,55.99000000000001,56.800000000000004,26936000.0,112632000.0,2025-09-30
SUZLON,2025-09-01,56.86000000000001,58.34,56.84,58.230000000000004,41192000.0,113440000.0,2025-09-30
SUZLON,2025-09-02,58.650000000000006,59.400000000000006,58.190000000000005,58.550000000000004,36760000.0,110664000.0,2025-09-30
SUZLON,2025-09-03,57.75000000000001,59.190000000000005,57.75000000000001,58.50000000000001,16576000.0,107408000.0,2025-09-30
SUZLON,2025-09-04,58.89000000000001,59.34,57.720000000000006,57.830000000000005,17712000.0,109504000.0,2025-09-30
SUZLON,2025-09-05,57.78000000000001,58.60000000000001,57.7,58.24000000000001,18632000.0,112184000.0,2025-09-30
SUZLON,2025-09-08,58.39000000000001,58.60000000000001,57.82000000000001,57.900000000000006,20104000.0,115728000.0,2025-09-30
SUZLON,2025-09-09,58.02,58.10000000000001,57.35000000000001,57.45,11792000.0,116008000.0,2025-09-30
SUZLON,2025-09-10,57.650000000000006,58.43000000000001,57.550000000000004,58.050000000000004,20056000.0,117776000.0,2025-09-30
SUZLON,2025-09-11,57.96000000000001,58.42000000000001,57.290000000000006,57.370000000000005,16552000.0,120872000.0,2025-09-30
SUZLON,2025-09-12,57.410000000000004,57.82000000000001,57.10000000000001,57.580000000000005,14816000.0,123232000.0,2025-09-30
SUZLON,2025-09-15,57.49000000000001,58.88,57.480000000000004,58.480000000000004,25432000.0,125360000.0,2025-09-30
SUZLON,2025-09-16,59.150000000000006,59.980000000000004,58.580000000000005,59.39000000000001,51968000.0,136720000.0,2025-09-30
SUZLON,2025-09-17,60.50000000000001,60.580000000000005,59.00000000000001,59.56,37152000.0,146272000.0,2025-09-30
SUZLON,2025-09-18,59.67000000000001,59.95,59.03000000000001,59.440000000000005,19576000.0,135408000.0,2025-09-30
SUZLON,2025-09-19,59.39000000000001,60.95,59.370000000000005,60.660000000000004,35816000.0,123904000.0,2025-09-30
SUZLON,2025-09-22,60.900000000000006,61.24000000000001,60.010000000000005,60.24000000000001,26312000.0,124544000.0,2025-09-30
SUZLON,2025-09-23,60.2,60.400000000000006,59.03000000000001,59.07000000000001,16696000.0,124048000.0,2025-09-30
