symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
TATACHEM,2020-01-01,672.0,676.7,667.1,674.55,763200.0,2854800.0,2020-01-30
TATACHEM,2020-01-02,675.25,677.7,671.25,676.0,1217700.0,2889000.0,2020-01-30
TATACHEM,2020-01-03,672.1,678.5,667.7,670.95,850500.0,2763900.0,2020-01-30
TATACHEM,2020-01-06,666.1,667.0,658.4,661.25,634500.0,2730600.0,2020-01-30
TATACHEM,2020-01-07,664.7,676.15,664.7,668.65,1131300.0,2760300.0,2020-01-30
TATACHEM,2020-01-08,660.35,671.1,660.0,668.05,874800.0,2824200.0,2020-01-30
TATACHEM,2020-01-09,672.5,680.9,672.0,679.4,1233000.0,2866500.0,2020-01-30
TATACHEM,2020-01-10,680.05,696.5,679.1,691.25,2243700.0,2884500.0,2020-01-30
TATACHEM,2020-01-13,696.0,707.35,693.7,706.0,1879200.0,2962800.0,2020-01-30
TATACHEM,2020-01-14,709.8,736.5,708.0,730.2,7294500.0,3649500.0,2020-01-30
TATACHEM,2020-01-15,733.0,739.95,722.3,732.85,2545200.0,3459600.0,2020-01-30
TATACHEM,2020-01-16,734.0,742.3,726.7,739.5,1582200.0,3359700.0,2020-01-30
TATACHEM,2020-01-17,741.35,751.5,736.2,748.5,2511900.0,3153600.0,2020-01-30
TATACHEM,2020-01-20,748.0,753.05,740.2,747.8,2431800.0,3079800.0,2020-01-30
TATACHEM,2020-01-21,743.0,757.9,742.9,751.8,1638000.0,3074400.0,2020-01-30
TATACHEM,2020-01-22,754.6,760.1,748.1,750.0,1762200.0,2937600.0,2020-01-30
TATACHEM,2020-01-23,750.15,761.7,750.0,760.15,1299600.0,2990700.0,2020-01-30
TATACHEM,2020-01-24,761.3,762.6,755.1,756.9,951300.0,2847600.0,2020-01-30
TATACHEM,2020-01-27,752.85,759.6,748.15,749.65,1679400.0,2820600.0,2020-01-30
TATACHEM,2020-01-28,750.0,757.8,748.05,749.85,1105200.0,1975500.0,2020-01-30
TATACHEM,2020-01-29,749.85,767.4,748.15,754.5,2441700.0,2345400.0,2020-02-27
TATACHEM,2020-01-30,757.05,759.5,750.4,753.25,1255500.0,2782800.0,2020-02-27
TATACHEM,2020-01-31,755.0,755.75,744.65,747.05,1053900.0,2923200.0,2020-02-27
TATACHEM,2020-02-03,733.9,745.35,712.8,736.0,5850900.0,3098700.0,2020-02-27
TATACHEM,2020-02-04,743.5,746.5,723.95,731.55,1838700.0,3076200.0,2020-02-27
TATACHEM,2020-02-05,731.55,758.4,725.6,746.5,3734100.0,3730500.0,2020-02-27
TATACHEM,2020-02-06,748.2,751.15,741.85,749.15,1866600.0,3812400.0,2020-02-27
TATACHEM,2020-02-07,749.45,764.7,748.05,757.25,3077100.0,3707100.0,2020-02-27
TATACHEM,2020-02-10,757.3,759.45,749.25,756.35,891000.0,3656700.0,2020-02-27
TATACHEM,2020-02-11,760.4,775.6,752.05,753.75,2826900.0,3820500.0,2020-02-27
TATACHEM,2020-02-12,754.5,758.8,751.5,752.65,944100.0,3813300.0,2020-02-27
TATACHEM,2020-02-13,755.1,757.3,748.5,755.4,910800.0,3827700.0,2020-02-27
TATACHEM,2020-02-14,755.2,764.2,753.0,759.6,1252800.0,3826800.0,2020-02-27
TATACHEM,2020-02-17,761.9,765.9,743.45,746.4,1764900.0,3850200.0,2020-02-27
TATACHEM,2020-02-18,745.5,750.0,737.9,745.2,1531800.0,3841200.0,2020-02-27
TATACHEM,2020-02-19,748.4,761.35,741.05,758.05,1971000.0,3755700.0,2020-02-27
TATACHEM,2020-02-20,753.7,771.1,753.7,758.55,1438200.0,3758400.0,2020-02-27
TATACHEM,2020-02-24,753.55,763.0,740.85,743.0,1338300.0,3547800.0,2020-02-27
TATACHEM,2020-02-25,744.5,746.25,734.5,742.15,1856700.0,2794500.0,2020-02-27
TATACHEM,2020-02-26,742.6,743.75,728.5,733.3,2312100.0,1937700.0,2020-02-27
TATACHEM,2020-02-27,733.3,733.55,715.7499999999999,720.6499999999999,2268000.0,2367000.0,2020-03-26
