symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
TATAGLOBAL,2020-01-01,322.25,325.6,320.0,325.0,4166100.0,9196200.0,2020-01-30
TATAGLOBAL,2020-01-02,324.55,328.6,323.05,325.45,7314300.0,9730800.0,2020-01-30
TATAGLOBAL,2020-01-03,324.55,324.75,318.4,320.15,5580900.0,10251900.0,2020-01-30
TATAGLOBAL,2020-01-06,317.4,319.15,311.5,313.65,5621400.0,10152000.0,2020-01-30
TATAGLOBAL,2020-01-07,315.6,320.6,313.1,316.35,7911000.0,9895500.0,2020-01-30
TATAGLOBAL,2020-01-08,313.75,317.95,312.45,317.2,4711500.0,9412200.0,2020-01-30
TATAGLOBAL,2020-01-09,318.25,330.7,318.2,329.35,11637000.0,8599500.0,2020-01-30
TATAGLOBAL,2020-01-10,330.25,343.95,329.95,342.0,23908500.0,8758800.0,2020-01-30
TATAGLOBAL,2020-01-13,343.0,353.0,342.25,352.45,17004600.0,8750700.0,2020-01-30
TATAGLOBAL,2020-01-14,358.6,389.7,357.2,387.65,79714800.0,12231000.0,2020-01-30
TATAGLOBAL,2020-01-15,387.4,394.7,384.0,391.85,44531100.0,11963700.0,2020-01-30
TATAGLOBAL,2020-01-16,391.9,392.35,383.6,385.8,18000900.0,12430800.0,2020-01-30
TATAGLOBAL,2020-01-17,385.0,385.45,377.85,382.0,14285700.0,11377800.0,2020-01-30
TATAGLOBAL,2020-01-20,383.9,387.35,378.45,383.95,14285700.0,11971800.0,2020-01-30
TATAGLOBAL,2020-01-21,382.6,390.35,380.4,387.2,14447700.0,12193200.0,2020-01-30
TATAGLOBAL,2020-01-22,389.0,389.5,383.65,386.45,8062200.0,12009600.0,2020-01-30
TATAGLOBAL,2020-01-23,384.6,399.85,384.6,394.65,23114700.0,11880000.0,2020-01-30
TATAGLOBAL,2020-01-24,395.0,395.95,385.1,385.85,14688000.0,12039300.0,2020-01-30
TATAGLOBAL,2020-01-27,383.95,389.9,381.45,383.1,11361600.0,11005200.0,2020-01-30
TATAGLOBAL,2020-01-28,383.15,388.15,378.95,381.6,9485100.0,9220500.0,2020-01-30
TATAGLOBAL,2020-01-29,381.6,391.05,380.2,381.45,9895500.0,9296100.0,2020-02-27
TATAGLOBAL,2020-01-30,382.90000000000003,383.0,377.75,379.05,7730100.0,11496600.0,2020-02-27
TATAGLOBAL,2020-01-31,381.55,383.65000000000003,377.75,380.0,6285600.0,11372400.0,2020-02-27
TATAGLOBAL,2020-02-03,366.8,378.40000000000003,363.55,376.25,11199600.0,11971800.0,2020-02-27
TATAGLOBAL,2020-02-04,379.1,379.55,372.1,377.05,11553300.0,13248900.0,2020-02-27
TATAGLOBAL,2020-02-05,378.6,405.25,377.05,392.05,52609500.0,14634000.0,2020-02-27
TATAGLOBAL,2020-02-06,390.8,393.55,384.05,388.35,12708900.0,13999500.0,2020-02-27
TATAGLOBAL,2020-02-07,387.55,400.55,387.55,392.7,25566300.0,14385600.0,2020-02-27
TATAGLOBAL,2020-02-10,392.40000000000003,393.2,384.85,388.90000000000003,9485100.0,13872600.0,2020-02-27
TATAGLOBAL,2020-02-11,392.5,395.95,386.35,387.45,11553300.0,14428800.0,2020-02-27
TATAGLOBAL,2020-02-12,388.45,393.95,388.45,392.2,9412200.0,14598900.0,2020-02-27
TATAGLOBAL,2020-02-13,389.55,394.45,386.65000000000003,389.3,8351100.0,15149700.0,2020-02-27
TATAGLOBAL,2020-02-14,391.05,396.95,386.55,393.05,16275600.0,14517900.0,2020-02-27
TATAGLOBAL,2020-02-17,393.3,399.2,372.55,378.1,25825500.0,15492600.0,2020-02-27
TATAGLOBAL,2020-02-18,377.1,382.8,370.0,378.85,23463000.0,16043400.0,2020-02-27
TATAGLOBAL,2020-02-19,379.45,382.65000000000003,374.2,380.2,11083500.0,15884100.0,2020-02-27
TATAGLOBAL,2020-02-20,378.40000000000003,381.85,376.1,377.15000000000003,7460100.0,16124400.0,2020-02-27
TATAGLOBAL,2020-02-24,374.15000000000003,376.45,363.7,365.2,9555300.0,14987700.0,2020-02-27
TATAGLOBAL,2020-02-25,360.35,369.95,360.35,365.05,10735200.0,12179700.0,2020-02-27
TATAGLOBAL,2020-02-26,365.05,369.8,360.65000000000003,364.55,9782100.0,12239100.0,2020-03-26
