symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
WHIRLPOOL,2021-10-29,2292.7,2299.6,2175.55,2199.65,103000.0,55250.0,2021-11-25
WHIRLPOOL,2021-11-01,2192.25,2230.0,1989.8,2129.25,553000.0,181250.0,2021-11-25
WHIRLPOOL,2021-11-02,2147.95,2148.0,2100.2,2108.45,197000.0,234500.0,2021-11-25
WHIRLPOOL,2021-11-03,2108.0,2114.75,2063.65,2071.45,170750.0,259500.0,2021-11-25
WHIRLPOOL,2021-11-04,2089.95,2130.0,2080.25,2119.6,74500.0,255500.0,2021-11-25
WHIRLPOOL,2021-11-08,2134.15,2396.85,2123.0,2314.75,892500.0,391500.0,2021-11-25
WHIRLPOOL,2021-11-09,2266.1,2334.0,2266.0,2312.55,231750.0,369750.0,2021-11-25
WHIRLPOOL,2021-11-10,2295.5,2370.0,2271.25,2303.85,138250.0,396500.0,2021-11-25
WHIRLPOOL,2021-11-11,2316.05,2346.8,2259.6,2328.5,284000.0,461750.0,2021-11-25
WHIRLPOOL,2021-11-12,2325.0,2330.0,2261.0,2284.95,173250.0,425000.0,2021-11-25
WHIRLPOOL,2021-11-15,2312.0,2352.8,2300.65,2321.55,192750.0,432250.0,2021-11-25
WHIRLPOOL,2021-11-16,2315.05,2357.85,2287.85,2347.8,191000.0,431750.0,2021-11-25
WHIRLPOOL,2021-11-17,2330.0,2389.65,2305.2,2315.5,144750.0,434500.0,2021-11-25
WHIRLPOOL,2021-11-18,2324.85,2326.0,2245.1,2278.4,155750.0,414500.0,2021-11-25
WHIRLPOOL,2021-11-22,2263.45,2263.45,2118.45,2153.45,213750.0,372250.0,2021-11-25
WHIRLPOOL,2021-11-23,2153.45,2275.7999999999997,2153.45,2230.6499999999996,278250.0,247500.0,2021-12-30
WHIRLPOOL,2021-11-24,2243.2999999999997,2258.7,2196.5,2213.0499999999997,150750.0,287750.0,2021-12-30
WHIRLPOOL,2021-11-25,2244.7,2253.7,2212.7999999999997,2231.1499999999996,120500.0,343000.0,2021-12-30
WHIRLPOOL,2021-11-26,2195.75,2216.5,2116.25,2122.0,82000.0,360750.0,2021-12-30
WHIRLPOOL,2021-11-29,2071.8999999999996,2100.7999999999997,2038.9499999999998,2052.75,91750.0,377750.0,2021-12-30
WHIRLPOOL,2021-11-30,2067.6499999999996,2083.7,1991.9499999999998,2043.6499999999999,274750.0,383000.0,2021-12-30
WHIRLPOOL,2021-12-01,2048.1,2068.5499999999997,2031.6999999999998,2052.1,69500.0,372250.0,2021-12-30
