symbol,date,adj_open,adj_high,adj_low,adj_close,volume,oi,expiry
ZOMATO,2024-11-29,287.0,287.0,275.0,280.92,29034000.0,17206000.0,2024-12-26
ZOMATO,2024-12-02,282.0,286.75,281.0,283.2,16358000.0,24534000.0,2024-12-26
ZOMATO,2024-12-03,279.8,283.55,279.3,280.25,12840000.0,28240000.0,2024-12-26
ZOMATO,2024-12-04,283.25,288.75,283.0,286.45,18460000.0,32480000.0,2024-12-26
ZOMATO,2024-12-05,288.35,305.9,287.7,300.75,47192000.0,45794000.0,2024-12-26
ZOMATO,2024-12-06,301.25,304.25,297.0,303.5,19330000.0,45700000.0,2024-12-26
ZOMATO,2024-12-09,304.7,304.75,293.0,296.5,18638000.0,50726000.0,2024-12-26
ZOMATO,2024-12-10,297.2,300.15,295.85,296.45,11994000.0,53452000.0,2024-12-26
ZOMATO,2024-12-11,287.1,294.75,285.0,292.95,22826000.0,57520000.0,2024-12-26
ZOMATO,2024-12-12,292.4,295.55,284.4,285.8,16392000.0,62612000.0,2024-12-26
ZOMATO,2024-12-13,281.0,288.4,278.95,287.8,28302000.0,69974000.0,2024-12-26
ZOMATO,2024-12-16,289.5,296.65,287.0,295.2,18766000.0,69464000.0,2024-12-26
ZOMATO,2024-12-17,296.05,304.4,293.05,297.2,41510000.0,71380000.0,2024-12-26
ZOMATO,2024-12-18,296.55,297.95,289.05,291.75,17090000.0,72900000.0,2024-12-26
ZOMATO,2024-12-19,292.0,292.0,285.05,289.2,15836000.0,72692000.0,2024-12-26
ZOMATO,2024-12-20,290.75,290.75,273.85,280.7,56250000.0,70688000.0,2024-12-26
ZOMATO,2024-12-23,280.7,281.59999999999997,270.29999999999995,272.7,41492000.0,67452000.0,2025-01-30
ZOMATO,2024-12-24,273.09999999999997,275.4,267.7,273.79999999999995,36260000.0,84190000.0,2025-01-30
ZOMATO,2024-12-26,275.65,281.15,270.4,272.4,34056000.0,98492000.0,2025-01-30
ZOMATO,2024-12-27,273.29999999999995,274.7,268.54999999999995,270.2,11926000.0,100146000.0,2025-01-30
ZOMATO,2024-12-30,269.9,280.29999999999995,268.4,276.65,67866000.0,124836000.0,2025-01-30
ZOMATO,2024-12-31,272.54999999999995,278.04999999999995,271.25,275.54999999999995,17276000.0,116348000.0,2025-01-30
ZOMATO,2025-01-01,275.84999999999997,276.75,273.7,274.95,7354000.0,115058000.0,2025-01-30
ZOMATO,2025-01-02,274.7,282.59999999999997,274.2,281.95,16010000.0,114154000.0,2025-01-30
ZOMATO,2025-01-03,281.59999999999997,282.65,269.9,271.25,24462000.0,115518000.0,2025-01-30
ZOMATO,2025-01-06,271.9,272.9,259.65,262.2,36692000.0,116354000.0,2025-01-30
ZOMATO,2025-01-07,256.2,256.65,248.54999999999998,250.39999999999998,54336000.0,119846000.0,2025-01-30
ZOMATO,2025-01-08,249.79999999999998,250.39999999999998,242.09999999999997,248.04999999999998,30694000.0,117712000.0,2025-01-30
ZOMATO,2025-01-09,244.7,250.74999999999997,242.79999999999998,243.49999999999997,25204000.0,118886000.0,2025-01-30
ZOMATO,2025-01-10,242.95,244.2,235.45,240.79999999999998,28666000.0,118200000.0,2025-01-30
ZOMATO,2025-01-13,236.84999999999997,238.39999999999998,224.09999999999997,225.09999999999997,46790000.0,131178000.0,2025-01-30
ZOMATO,2025-01-14,229.84999999999997,235.34999999999997,227.95,231.54999999999998,30422000.0,127762000.0,2025-01-30
ZOMATO,2025-01-15,233.74999999999997,243.45,232.49999999999997,241.39999999999998,39576000.0,124678000.0,2025-01-30
ZOMATO,2025-01-16,246.79999999999998,259.54999999999995,238.74999999999997,240.04999999999998,59832000.0,129946000.0,2025-01-30
ZOMATO,2025-01-17,241.45,248.59999999999997,237.84999999999997,246.34999999999997,38304000.0,127484000.0,2025-01-30
ZOMATO,2025-01-20,248.29999999999998,251.89999999999998,226.24999999999997,238.7,122118000.0,138622000.0,2025-01-30
ZOMATO,2025-01-21,218.99999999999997,224.2,208.29999999999998,211.99999999999997,138536000.0,152470000.0,2025-01-30
ZOMATO,2025-01-22,206.7,214.99999999999997,201.29999999999998,213.79999999999998,62830000.0,156092000.0,2025-01-30
ZOMATO,2025-01-23,216.49999999999997,220.34999999999997,213.49999999999997,218.7,34714000.0,154300000.0,2025-01-30
ZOMATO,2025-01-24,217.34999999999997,217.7,211.14999999999998,212.84999999999997,26530000.0,145408000.0,2025-01-30
ZOMATO,2025-01-27,210.39999999999998,210.39999999999998,202.79999999999998,203.24999999999997,49808000.0,134524000.0,2025-01-30
ZOMATO,2025-01-28,204.84999999999997,208.39999999999998,202.24999999999997,204.95,56966000.0,110912000.0,2025-01-30
ZOMATO,2025-01-29,204.95,218.2,204.89999999999998,216.85,59222000.0,113440000.0,2025-02-27
ZOMATO,2025-01-30,217.04999999999998,219.39999999999998,211.85,213.85,51086000.0,134020000.0,2025-02-27
ZOMATO,2025-01-31,213.2,217.95,212.2,215.54999999999998,18150000.0,133940000.0,2025-02-27
ZOMATO,2025-02-03,227.1,234.64999999999998,224.45,232.85,40466000.0,141500000.0,2025-02-27
ZOMATO,2025-02-04,233.06,236.6,223.67,229.35,46668000.0,136142000.0,2025-02-27
ZOMATO,2025-02-05,229.61999999999998,233.85,225.1,225.85999999999999,23938000.0,131308000.0,2025-02-27
ZOMATO,2025-02-06,226.95,229.54,221.64999999999998,224.10999999999999,23392000.0,131418000.0,2025-02-27
ZOMATO,2025-02-07,225.48,228.51999999999998,223.60999999999999,228.03,18580000.0,130924000.0,2025-02-27
ZOMATO,2025-02-10,227.56,228.94,218.64999999999998,221.35999999999999,23218000.0,134028000.0,2025-02-27
ZOMATO,2025-02-11,219.95,221.38,208.0,210.31,37178000.0,131676000.0,2025-02-27
ZOMATO,2025-02-12,209.07999999999998,213.89,201.45,209.7,49868000.0,132390000.0,2025-02-27
