date,open,high,low,close,volume,oi,expiry
2021-12-31,125.0,126.25,123.0,124.75,6287600.0,4778400.0,2022-01-27
2022-01-03,124.4,131.25,124.4,130.25,11308000.0,7194000.0,2022-01-27
2022-01-04,133.7,133.7,127.5,131.55,8038800.0,8289600.0,2022-01-27
2022-01-05,132.6,132.6,128.1,130.0,6824400.0,8698800.0,2022-01-27
2022-01-06,129.0,134.8,127.5,133.9,9653600.0,10705200.0,2022-01-27
2022-01-07,134.7,136.2,131.55,133.45,9112400.0,11721600.0,2022-01-27
2022-01-10,134.35,135.0,132.35,133.1,3150400.0,12056000.0,2022-01-27
2022-01-11,133.4,139.8,133.4,136.5,20451200.0,14476000.0,2022-01-27
2022-01-12,137.2,137.25,133.05,134.9,4857600.0,14784000.0,2022-01-27
2022-01-13,134.55,136.5,132.5,133.8,5689200.0,15224000.0,2022-01-27
2022-01-14,133.5,136.7,133.35,134.3,5337200.0,15276800.0,2022-01-27
2022-01-17,134.3,136.2,132.15,132.7,5434000.0,14462800.0,2022-01-27
2022-01-18,132.7,133.5,127.3,128.1,5253600.0,14128400.0,2022-01-27
2022-01-19,126.2,131.05,124.15,130.4,6424000.0,13697200.0,2022-01-27
2022-01-20,130.45,130.45,127.05,127.95,3449600.0,13824800.0,2022-01-27
2022-01-21,126.3,126.75,121.5,123.25,7550400.0,13266000.0,2022-01-27
2022-01-24,122.55,124.0,113.15,115.0,7735200.0,11030800.0,2022-01-27
2022-01-25,115.0,120.45,114.0,119.85,7352400.0,10766800.0,2022-02-24
2022-01-27,117.0,120.4,115.15,119.25,13068000.0,16544000.0,2022-02-24
2022-01-28,120.25,124.15,119.95,120.35,5504400.0,15483600.0,2022-02-24
2022-01-31,121.25,122.25,118.35,119.85,3357200.0,16042400.0,2022-02-24
2022-02-01,121.8,125.1,121.05,124.4,9768000.0,16469200.0,2022-02-24
2022-02-02,124.75,129.15,124.25,128.6,9130000.0,17868400.0,2022-02-24
2022-02-03,128.45,129.5,126.25,126.7,5649600.0,17674800.0,2022-02-24
2022-02-04,129.25,131.05,125.3,125.7,10951600.0,16566000.0,2022-02-24
2022-02-07,126.7,126.7,121.55,122.55,3440800.0,16412000.0,2022-02-24
2022-02-08,123.0,123.65,119.0,120.6,4056800.0,16346000.0,2022-02-24
2022-02-09,121.6,122.75,119.9,121.2,5354800.0,16583600.0,2022-02-24
2022-02-10,121.4,124.15,120.35,122.75,3757600.0,16777200.0,2022-02-24
2022-02-11,121.45,122.4,118.5,119.0,4448400.0,16799200.0,2022-02-24
2022-02-14,116.75,117.05,112.0,113.1,4395600.0,16046800.0,2022-02-24
2022-02-15,114.5,117.55,110.65,116.55,4875200.0,15778400.0,2022-02-24
2022-02-16,117.15,119.45,116.45,116.9,4373600.0,15910400.0,2022-02-24
2022-02-17,125.65,125.65,114.65,115.15,4593600.0,15246000.0,2022-02-24
2022-02-18,113.55,115.85,113.55,114.15,2503600.0,14357200.0,2022-02-24
2022-02-21,113.8,114.45,109.05,109.5,5768400.0,13503600.0,2022-02-24
2022-02-22,105.85,110.4,104.95,109.6,7282000.0,11528000.0,2022-02-24
2022-02-23,109.6,109.95,107.5,108.2,7185200.0,13274800.0,2022-03-31
2022-02-24,103.2,106.8,98.3,99.2,10181600.0,15980800.0,2022-03-31
2022-02-25,103.4,108.65,102.55,103.85,11726000.0,16117200.0,2022-03-31
2022-02-28,101.9,106.2,101.35,105.75,2684000.0,16192000.0,2022-03-31
2022-03-02,104.4,106.25,102.9,104.85,3009600.0,15936800.0,2022-03-31
2022-03-03,106.1,106.65,101.7,102.85,2217600.0,15888400.0,2022-03-31
2022-03-04,102.6,103.95,100.25,103.0,3687200.0,15554000.0,2022-03-31
2022-03-07,99.0,100.5,96.8,98.55,4193200.0,15923600.0,2022-03-31
2022-03-08,99.15,101.4,97.15,100.45,3568400.0,15743200.0,2022-03-31
2022-03-09,99.9,103.6,99.9,103.1,2780800.0,15598000.0,2022-03-31
2022-03-10,105.1,106.75,103.4,104.1,3168000.0,15672800.0,2022-03-31
2022-03-11,104.05,104.75,103.1,103.7,1760000.0,15734400.0,2022-03-31
2022-03-14,103.85,104.9,102.1,104.45,2538800.0,15664000.0,2022-03-31
2022-03-15,104.45,106.2,103.95,104.7,4184400.0,15589200.0,2022-03-31
