date,open,high,low,close,volume,oi,expiry
2021-02-26,1155.05,1165.05,1072.0,1127.0,253500.0,109500.0,2021-03-25
2021-03-01,1130.0,1171.0,1121.35,1156.45,284500.0,186500.0,2021-03-25
2021-03-02,1165.05,1181.9,1150.0,1161.55,174500.0,203000.0,2021-03-25
2021-03-03,1173.95,1233.0,1145.05,1211.3,800000.0,489000.0,2021-03-25
2021-03-04,1185.0,1297.95,1181.05,1273.75,1547000.0,585000.0,2021-03-25
2021-03-05,1275.0,1286.7,1232.25,1263.95,639500.0,572000.0,2021-03-25
2021-03-08,1275.05,1287.9,1245.4,1270.35,575500.0,662000.0,2021-03-25
2021-03-09,1266.1,1322.7,1223.9,1239.85,1873000.0,1017000.0,2021-03-25
2021-03-10,1255.0,1270.0,1206.05,1254.55,846000.0,939000.0,2021-03-25
2021-03-12,1266.9,1277.0,1233.15,1254.35,627000.0,862000.0,2021-03-25
2021-03-15,1246.1,1247.0,1177.45,1192.65,927000.0,929000.0,2021-03-25
2021-03-16,1204.6,1242.0,1204.6,1230.7,720500.0,878500.0,2021-03-25
2021-03-17,1211.0,1220.0,1165.5,1170.75,785500.0,889500.0,2021-03-25
2021-03-18,1194.95,1212.6,1149.0,1169.15,585500.0,808500.0,2021-03-25
2021-03-19,1150.65,1212.0,1134.95,1196.65,353500.0,694000.0,2021-03-25
2021-03-22,1210.15,1236.0,1192.6,1225.8,293000.0,649500.0,2021-03-25
2021-03-23,1229.25,1271.9,1220.8,1249.3,706000.0,510500.0,2021-03-25
2021-03-24,1249.3,1267.2,1222.35,1228.4,450500.0,365500.0,2021-04-29
2021-03-25,1235.15,1235.15,1140.5,1166.05,813500.0,675500.0,2021-04-29
2021-03-26,1170.2,1210.55,1162.55,1192.2,511000.0,637500.0,2021-04-29
2021-03-30,1200.2,1310.2,1173.2,1278.4,3394500.0,2213500.0,2021-04-29
2021-03-31,1276.9,1289.1,1224.25,1235.35,1674500.0,2267000.0,2021-04-29
2021-04-01,1256.95,1285.3,1221.55,1277.5,712000.0,2273000.0,2021-04-29
2021-04-05,1265.2,1266.0,1215.25,1232.55,752500.0,2394000.0,2021-04-29
2021-04-06,1233.2,1261.2,1205.4,1229.95,573000.0,2354000.0,2021-04-29
2021-04-07,1210.2,1264.3,1187.95,1241.6,640500.0,2397000.0,2021-04-29
2021-04-08,1238.8,1275.2,1238.3,1263.4,854500.0,2265000.0,2021-04-29
2021-04-09,1244.65,1259.8,1182.2,1186.05,1012500.0,2377500.0,2021-04-29
2021-04-12,1172.2,1172.2,1034.0,1085.4,1146500.0,2365000.0,2021-04-29
2021-04-13,1085.2,1111.2,1041.95,1090.25,1327500.0,2550000.0,2021-04-29
2021-04-15,1081.6,1113.05,1051.3,1066.1,1272500.0,2708000.0,2021-04-29
2021-04-16,1077.6,1105.2,1068.3,1083.3,873000.0,2756500.0,2021-04-29
2021-04-19,1038.2,1038.2,977.3,1023.2,1802000.0,2979500.0,2021-04-29
2021-04-20,1048.15,1059.8,1017.2,1045.35,966000.0,2853000.0,2021-04-29
2021-04-22,1016.25,1113.2,1015.45,1097.75,1453000.0,2973000.0,2021-04-29
2021-04-23,1093.2,1131.2,1056.3,1077.45,2015500.0,2819000.0,2021-04-29
2021-04-26,1080.9,1096.2,1044.3,1051.15,1938500.0,2858500.0,2021-04-29
2021-04-27,1049.75,1103.35,1039.35,1091.45,1999500.0,2604000.0,2021-04-29
2021-04-28,1098.45,1160.2,1076.4,1152.2,1903000.0,2465500.0,2021-04-29
2021-04-29,1152.2,1181.15,1119.5,1132.3,3183500.0,2791500.0,2021-05-27
2021-04-30,1090.2,1093.05,1003.85,1016.95,5390000.0,3011500.0,2021-05-27
2021-05-03,960.2,962.1,930.7,940.35,3833000.0,3558500.0,2021-05-27
2021-05-04,946.45,970.1,927.6,930.95,1606500.0,3501500.0,2021-05-27
2021-05-05,940.35,969.2,922.95,959.4,2938500.0,3366500.0,2021-05-27
2021-05-06,972.65,983.65,950.85,972.85,1426000.0,3049000.0,2021-05-27
2021-05-07,962.2,966.15,936.8,941.85,1526500.0,3230500.0,2021-05-27
2021-05-10,950.65,963.85,947.7,960.2,848500.0,3121500.0,2021-05-27
