date,open,high,low,close,volume,oi,expiry
2020-01-01,9460.05,9484.9,9413.0,9431.45,116125.0,1437750.0,2020-01-30
2020-01-02,9446.0,9560.0,9442.1,9542.3,339125.0,1436750.0,2020-01-30
2020-01-03,9519.0,9539.0,9364.0,9396.8,455375.0,1379000.0,2020-01-30
2020-01-06,9360.1,9373.3,9070.0,9085.5,622250.0,1348875.0,2020-01-30
2020-01-07,9177.75,9314.3,9111.0,9134.15,442125.0,1365750.0,2020-01-30
2020-01-08,9019.4,9214.85,9019.4,9190.3,415375.0,1363375.0,2020-01-30
2020-01-09,9338.2,9460.0,9251.15,9420.5,418250.0,1362000.0,2020-01-30
2020-01-10,9410.0,9470.0,9366.0,9396.2,235000.0,1359375.0,2020-01-30
2020-01-13,9402.05,9479.55,9383.0,9470.2,206625.0,1351875.0,2020-01-30
2020-01-14,9458.0,9592.85,9437.85,9573.3,371750.0,1354750.0,2020-01-30
2020-01-15,9555.6,9637.7,9535.7,9601.6,311125.0,1351125.0,2020-01-30
2020-01-16,9600.25,9660.0,9578.25,9638.0,243375.0,1338875.0,2020-01-30
2020-01-17,9640.0,9757.8,9609.35,9732.95,354000.0,1336500.0,2020-01-30
2020-01-20,9736.7,9778.2,9585.9,9600.85,409750.0,1287625.0,2020-01-30
2020-01-21,9583.95,9638.9,9529.0,9566.2,308875.0,1274375.0,2020-01-30
2020-01-22,9604.9,9617.4,9525.45,9578.2,203875.0,1257750.0,2020-01-30
2020-01-23,9557.25,9610.7,9505.5,9552.6,338125.0,1219250.0,2020-01-30
2020-01-24,9529.0,9662.65,9496.0,9640.9,380375.0,1085750.0,2020-01-30
2020-01-27,9600.0,9642.1,9533.4,9551.2,394500.0,898750.0,2020-01-30
2020-01-28,9582.95,9702.0,9522.25,9635.1,553375.0,726750.0,2020-01-30
2020-01-29,9635.1,9895.000000000002,9608.05,9863.8,793000.0,885500.0,2020-02-27
2020-01-30,9888.05,9895.65,9574.05,9614.1,914125.0,1136000.0,2020-02-27
2020-01-31,9638.45,9658.05,9383.8,9413.2,495750.0,1093500.0,2020-02-27
2020-02-03,8898.1,9177.05,8828.2,9047.4,701250.0,1099625.0,2020-02-27
2020-02-04,9184.95,9458.05,9097.2,9439.8,635875.0,1105625.0,2020-02-27
2020-02-05,9438.05,9603.05,9414.65,9538.8,394750.0,1098625.0,2020-02-27
2020-02-06,9557.95,9631.15,9480.2,9561.4,445125.0,1065875.0,2020-02-27
2020-02-07,9529.15,9608.05,9494.1,9550.6,205875.0,1074750.0,2020-02-27
2020-02-10,9524.05,9592.3,9452.750000000002,9569.3,237125.0,1077625.0,2020-02-27
2020-02-11,9578.15,9750.05,9572.05,9683.1,380625.0,1089000.0,2020-02-27
2020-02-12,9690.35,9772.65,9604.7,9689.9,315750.0,1075000.0,2020-02-27
