date,open,high,low,close,volume,oi,expiry
2020-01-01,987.25,994.65,982.8,984.55,592000.0,1852000.0,2020-01-30
2020-01-02,987.3,987.3,972.25,979.4,1060800.0,1879200.0,2020-01-30
2020-01-03,980.55,980.55,970.55,974.6,486400.0,1864800.0,2020-01-30
2020-01-06,969.0,979.95,961.0,967.35,1368000.0,1800000.0,2020-01-30
2020-01-07,976.2,992.0,968.15,971.7,1564000.0,1732000.0,2020-01-30
2020-01-08,962.6,997.0,961.45,993.6,1530400.0,1648000.0,2020-01-30
2020-01-09,997.95,1034.5,997.95,1025.7,2505600.0,1723200.0,2020-01-30
2020-01-10,1025.7,1047.95,1025.0,1036.65,1968800.0,1745600.0,2020-01-30
2020-01-13,1039.75,1044.85,1022.5,1039.0,1067200.0,1670400.0,2020-01-30
2020-01-14,1038.35,1073.5,1038.35,1067.25,1947200.0,1782400.0,2020-01-30
2020-01-15,1063.65,1083.0,1059.75,1078.55,1450400.0,1853600.0,2020-01-30
2020-01-16,1082.65,1103.4,1081.5,1099.4,1286400.0,2064000.0,2020-01-30
2020-01-17,1104.0,1114.0,1088.95,1105.1,1709600.0,2128000.0,2020-01-30
2020-01-20,1099.0,1111.3,1092.95,1102.85,1037600.0,2142400.0,2020-01-30
2020-01-21,1095.0,1108.35,1091.15,1092.95,799200.0,2048000.0,2020-01-30
2020-01-22,1092.0,1105.55,1084.0,1101.25,1254400.0,1897600.0,2020-01-30
2020-01-23,1103.0,1139.0,1103.0,1115.45,2768000.0,1792000.0,2020-01-30
2020-01-24,1113.0,1124.35,1102.25,1108.0,892800.0,1698400.0,2020-01-30
2020-01-27,1106.55,1111.95,1071.0,1075.2,1256000.0,1323200.0,2020-01-30
2020-01-28,1076.05,1091.9,1071.2,1081.2,1000800.0,1088800.0,2020-01-30
2020-01-29,1081.2,1094.1,1070.55,1079.3,981600.0,1020000.0,2020-02-27
2020-01-30,1069.85,1086.9,1067.8,1080.8,974400.0,1229600.0,2020-02-27
2020-01-31,1082.35,1090.4,1060.2,1066.55,620000.0,1198400.0,2020-02-27
2020-02-03,1016.25,1083.2,1016.25,1078.8,989600.0,1216800.0,2020-02-27
2020-02-04,1088.2,1128.8,1084.15,1117.9,2743200.0,1375200.0,2020-02-27
2020-02-05,1117.45,1132.2,1087.25,1098.4,2274400.0,1375200.0,2020-02-27
2020-02-06,1106.2,1129.2,1081.15,1096.95,964800.0,1310400.0,2020-02-27
2020-02-07,1096.0,1111.6,1085.7,1097.9,1244800.0,1388800.0,2020-02-27
2020-02-10,1104.05,1106.15,1088.25,1102.9,1056800.0,1402400.0,2020-02-27
2020-02-11,1109.15,1143.95,1094.25,1133.65,2970400.0,1667200.0,2020-02-27
2020-02-12,1136.4,1153.15,1136.4,1142.6,3452800.0,1870400.0,2020-02-27
2020-02-13,1142.75,1149.2,1131.3,1145.15,1269600.0,1795200.0,2020-02-27
2020-02-14,1148.2,1152.5,1130.2,1148.2,1824000.0,1740800.0,2020-02-27
2020-02-17,1169.3,1266.9,1151.4,1260.2,8693600.0,1853600.0,2020-02-27
2020-02-18,1249.25,1259.15,1211.7,1222.0,3880000.0,1940800.0,2020-02-27
2020-02-19,1222.0,1253.3,1209.85,1245.2,2392800.0,1910400.0,2020-02-27
2020-02-20,1234.75,1280.25,1234.75,1248.6,2844800.0,1863200.0,2020-02-27
2020-02-24,1230.05,1247.15,1214.6,1220.75,1594400.0,1552000.0,2020-02-27
2020-02-25,1239.15,1239.15,1200.7,1208.35,2164000.0,1030400.0,2020-02-27
2020-02-26,1208.35,1228.45,1203.8000000000002,1207.2500000000002,1542400.0,1280000.0,2020-03-26
2020-02-27,1200.65,1214.3000000000002,1175.45,1197.5000000000002,2220000.0,1548800.0,2020-03-26
2020-02-28,1159.35,1170.2,1109.45,1116.6,1872800.0,1538400.0,2020-03-26
2020-03-02,1129.35,1172.65,1073.65,1086.9,3436800.0,1708000.0,2020-03-26
2020-03-03,1108.45,1146.5500000000002,1089.5500000000002,1135.85,1829600.0,1660800.0,2020-03-26
2020-03-04,1136.3000000000002,1143.35,1097.2,1124.6,1328000.0,1720800.0,2020-03-26
2020-03-05,1133.5000000000002,1152.35,1115.35,1121.0500000000002,860800.0,1660000.0,2020-03-26
2020-03-06,1082.85,1118.15,1069.45,1113.35,796800.0,1648800.0,2020-03-26
2020-03-09,1083.35,1099.0500000000002,1042.65,1084.95,1165600.0,1555200.0,2020-03-26
2020-03-11,1093.2500000000002,1103.2500000000002,1054.35,1060.0000000000002,857600.0,1577600.0,2020-03-26
2020-03-12,1022.35,1022.35,937.2000000000002,990.1,1632800.0,1622400.0,2020-03-26
2020-03-13,922.15,1064.2500000000002,893.0500000000002,1020.8000000000002,1053600.0,1516800.0,2020-03-26
2020-03-16,983.35,984.35,896.4500000000002,906.2000000000002,1980000.0,1576000.0,2020-03-26
2020-03-17,929.15,951.35,887.2500000000001,898.1500000000001,1727200.0,1482400.0,2020-03-26
2020-03-18,919.25,919.25,818.3500000000001,846.5000000000001,1464800.0,1353600.0,2020-03-26
2020-03-19,804.3500000000001,833.6500000000001,767.3500000000001,778.1500000000001,1832800.0,1172000.0,2020-03-26
2020-03-20,777.9500000000002,857.8500000000001,755.3500000000001,839.7000000000002,1076000.0,1050400.0,2020-03-26
2020-03-23,779.3500000000001,786.6000000000001,698.5500000000002,720.7500000000001,669600.0,980000.0,2020-03-26
2020-03-24,769.3500000000001,825.5000000000001,711.2500000000001,766.4000000000001,747200.0,753600.0,2020-03-26
2020-03-25,759.3500000000001,878.5000000000001,729.5500000000002,875.7500000000001,814400.0,776000.0,2020-03-26
2020-03-26,875.7500000000001,918.75,815.7500000000001,833.8500000000001,561600.0,662400.0,2020-04-30
2020-03-27,851.2500000000001,895.7000000000002,832.1000000000001,874.7000000000002,760800.0,600800.0,2020-04-30
2020-03-30,845.7500000000001,863.7500000000001,825.0000000000001,833.4000000000001,376800.0,566400.0,2020-04-30
2020-03-31,852.5500000000001,852.5500000000001,805.1500000000001,819.9500000000002,769600.0,529600.0,2020-04-30
2020-04-01,814.2000000000002,841.3500000000001,764.7500000000001,823.6000000000001,1327200.0,612800.0,2020-04-30
2020-04-03,810.8000000000001,822.6000000000001,797.7500000000001,802.4000000000001,376800.0,622400.0,2020-04-30
2020-04-07,829.5500000000001,860.7000000000002,825.3000000000001,854.9000000000001,629600.0,623200.0,2020-04-30
2020-04-08,847.7500000000001,894.7500000000001,842.8500000000001,851.6500000000001,349600.0,618400.0,2020-04-30
2020-04-09,865.3500000000001,944.15,861.9000000000001,905.9,1085600.0,645600.0,2020-04-30
2020-04-13,895.9500000000002,895.9500000000002,849.9000000000001,879.7000000000002,471200.0,588800.0,2020-04-30
2020-04-15,892.9500000000002,934.75,886.4500000000002,901.35,583200.0,565600.0,2020-04-30
2020-04-16,899.8000000000001,950.65,889.8000000000001,935.0,1669600.0,658400.0,2020-04-30
2020-04-17,960.55,981.55,946.7000000000002,969.65,1095200.0,677600.0,2020-04-30
2020-04-20,975.75,980.35,935.9500000000002,939.65,629600.0,660000.0,2020-04-30
2020-04-21,928.75,928.75,891.8500000000001,895.5500000000001,758400.0,658400.0,2020-04-30
2020-04-22,877.8000000000001,913.75,865.0500000000001,905.6,1056000.0,666400.0,2020-04-30
2020-04-23,906.25,955.25,904.85,913.0,1071200.0,689600.0,2020-04-30
2020-04-24,887.0000000000001,915.25,884.7500000000001,896.1000000000001,687200.0,682400.0,2020-04-30
2020-04-27,920.4,943.2000000000002,909.7000000000002,931.85,968000.0,517600.0,2020-04-30
2020-04-28,931.85,931.9000000000002,904.1,917.8000000000002,451200.0,453600.0,2020-05-28
2020-04-29,925.9000000000002,970.2000000000002,925.3000000000002,966.4500000000002,716000.0,552800.0,2020-05-28
