date,open,high,low,close,volume,oi,expiry
2020-01-01,308.5,309.95,304.0,304.6,1185000.0,3817500.0,2020-01-30
2020-01-02,306.0,312.1,303.75,311.4,2945000.0,3882500.0,2020-01-30
2020-01-03,310.15,310.15,300.5,304.95,3395000.0,4170000.0,2020-01-30
2020-01-06,296.0,298.6,288.05,292.2,4580000.0,4017500.0,2020-01-30
2020-01-07,295.55,298.7,292.1,295.55,2300000.0,3910000.0,2020-01-30
2020-01-08,291.55,297.2,290.55,295.95,1720000.0,3755000.0,2020-01-30
2020-01-09,298.0,310.5,298.0,307.5,3530000.0,3425000.0,2020-01-30
2020-01-10,308.8,316.95,307.65,314.7,4695000.0,3187500.0,2020-01-30
2020-01-13,316.55,320.8,313.3,320.1,2495000.0,3045000.0,2020-01-30
2020-01-14,319.05,325.45,317.5,319.45,3337500.0,3395000.0,2020-01-30
2020-01-15,318.0,332.4,316.5,330.7,3807500.0,3322500.0,2020-01-30
2020-01-16,331.0,335.45,326.6,328.3,2875000.0,3270000.0,2020-01-30
2020-01-17,325.0,331.25,324.05,326.85,1647500.0,3337500.0,2020-01-30
2020-01-20,326.85,327.25,319.65,320.6,1927500.0,3455000.0,2020-01-30
2020-01-21,318.1,319.65,310.4,316.3,4730000.0,3937500.0,2020-01-30
2020-01-22,318.0,320.85,313.25,318.75,2687500.0,3847500.0,2020-01-30
2020-01-23,319.0,325.5,314.05,323.8,3775000.0,3665000.0,2020-01-30
2020-01-24,331.0,331.0,320.85,325.1,6092500.0,3640000.0,2020-01-30
2020-01-27,323.6,337.6,323.6,330.5,7400000.0,3462500.0,2020-01-30
2020-01-28,332.0,336.25,324.3,326.55,4712500.0,2882500.0,2020-01-30
2020-01-29,326.55,334.0,324.75,327.65000000000003,2915000.0,3510000.0,2020-02-27
2020-01-30,325.6,330.05,324.95,326.40000000000003,2935000.0,4507500.0,2020-02-27
2020-01-31,328.7,333.40000000000003,322.6,325.75,3400000.0,4530000.0,2020-02-27
2020-02-03,313.55,329.7,313.55,323.6,3365000.0,4435000.0,2020-02-27
2020-02-04,326.40000000000003,333.55,325.05,331.55,3692500.0,5012500.0,2020-02-27
2020-02-05,333.5,347.35,332.35,342.35,9412500.0,6230000.0,2020-02-27
2020-02-06,344.8,348.90000000000003,325.90000000000003,338.90000000000003,7525000.0,6457500.0,2020-02-27
2020-02-07,335.55,340.65000000000003,332.2,338.75,2425000.0,6427500.0,2020-02-27
2020-02-10,337.05,337.40000000000003,330.55,335.0,1617500.0,6372500.0,2020-02-27
2020-02-11,335.35,340.55,331.8,333.15000000000003,1795000.0,6387500.0,2020-02-27
2020-02-12,333.6,337.85,333.05,337.25,1747500.0,6062500.0,2020-02-27
2020-02-13,338.05,339.35,333.05,335.6,1245000.0,6005000.0,2020-02-27
2020-02-14,336.05,336.8,329.5,331.8,1620000.0,5932500.0,2020-02-27
2020-02-17,331.25,332.65000000000003,325.90000000000003,330.35,2045000.0,5927500.0,2020-02-27
2020-02-18,328.5,329.45,320.45,327.2,1822500.0,6040000.0,2020-02-27
2020-02-19,330.05,330.05,325.65000000000003,328.85,1292500.0,6187500.0,2020-02-27
2020-02-20,328.05,334.05,326.25,331.05,3192500.0,6385000.0,2020-02-27
2020-02-24,328.2,329.05,320.25,321.40000000000003,3517500.0,5732500.0,2020-02-27
2020-02-25,322.45,325.5,319.45,323.6,3722500.0,5412500.0,2020-02-27
2020-02-26,323.6,327.05,314.7,320.25,6057500.0,5282500.0,2020-03-26
2020-02-27,319.05,321.0,313.3,315.8,3085000.0,5937500.0,2020-03-26
2020-02-28,310.95,316.0,301.2,307.3,3410000.0,5452500.0,2020-03-26
2020-03-02,315.3,317.55,300.65000000000003,303.75,2095000.0,5507500.0,2020-03-26
2020-03-03,309.05,311.55,300.3,308.0,2520000.0,5652500.0,2020-03-26
2020-03-04,308.3,308.65000000000003,291.55,298.15000000000003,2812500.0,5970000.0,2020-03-26
2020-03-05,299.55,299.6,285.25,291.2,7030000.0,6975000.0,2020-03-26
2020-03-06,278.15000000000003,284.7,271.45,282.2,3655000.0,6660000.0,2020-03-26
2020-03-09,273.65000000000003,280.25,263.55,274.95,4187500.0,5575000.0,2020-03-26
2020-03-11,274.15000000000003,280.90000000000003,254.55,261.85,4895000.0,6320000.0,2020-03-26
2020-03-12,249.45,252.1,233.65,242.95,5312500.0,5510000.0,2020-03-26
2020-03-13,232.5,264.95,213.05,245.65,9867500.0,5812500.0,2020-03-26
2020-03-16,231.3,237.9,225.55,226.85,3250000.0,4947500.0,2020-03-26
2020-03-17,230.05,243.85,215.65,218.45,4650000.0,4555000.0,2020-03-26
2020-03-18,222.95,224.6,188.75,199.6,4137500.0,4575000.0,2020-03-26
2020-03-19,181.8,199.3,174.0,185.1,4790000.0,4190000.0,2020-03-26
2020-03-20,178.35000000000002,201.75,176.0,193.3,4972500.0,3897500.0,2020-03-26
2020-03-23,181.05,181.05,127.05,136.15,2667500.0,3562500.0,2020-03-26
2020-03-24,142.8,161.0,125.25,144.70000000000002,2662500.0,2237500.0,2020-03-26
2020-03-25,144.70000000000002,165.95000000000002,143.65,160.05,2150000.0,2420000.0,2020-04-30
2020-03-26,161.9,183.95,158.8,169.95000000000002,4190000.0,2857500.0,2020-04-30
2020-03-27,180.65,185.65,167.0,170.1,3300000.0,2752500.0,2020-04-30
2020-03-30,162.95000000000002,166.0,150.75,161.70000000000002,3140000.0,3042500.0,2020-04-30
2020-03-31,164.65,164.85,152.65,154.65,2407500.0,3412500.0,2020-04-30
2020-04-01,151.05,152.0,139.25,144.35,2705000.0,3550000.0,2020-04-30
2020-04-03,146.8,148.15,124.15,126.25,2847500.0,3832500.0,2020-04-30
2020-04-07,131.85,134.6,119.05,132.45000000000002,7262500.0,5090000.0,2020-04-30
2020-04-08,129.45000000000002,155.35,126.8,151.65,8055000.0,4805000.0,2020-04-30
2020-04-09,153.15,176.45000000000002,153.15,172.45000000000002,5830000.0,4125000.0,2020-04-30
2020-04-13,167.75,168.35,146.70000000000002,151.75,6737500.0,4560000.0,2020-04-30
2020-04-15,155.5,164.5,146.6,154.6,6345000.0,4292500.0,2020-04-30
2020-04-16,152.5,164.65,150.15,161.25,8200000.0,5237500.0,2020-04-30
2020-04-17,168.4,181.7,165.75,178.35,12130000.0,5622500.0,2020-04-30
2020-04-20,183.95,184.1,151.9,156.15,8812500.0,4672500.0,2020-04-30
2020-04-21,152.25,152.25,138.35,143.8,5657500.0,4490000.0,2020-04-30
2020-04-22,142.4,155.95000000000002,137.65,151.75,6585000.0,4797500.0,2020-04-30
2020-04-23,153.15,160.45000000000002,149.0,152.85,6082500.0,5160000.0,2020-04-30
2020-04-24,145.65,145.65,133.05,133.9,11290000.0,5760000.0,2020-04-30
2020-04-27,136.55,141.85,134.20000000000002,135.05,8090000.0,4997500.0,2020-04-30
2020-04-28,135.05,145.75,133.25,145.4,6277500.0,4145000.0,2020-05-28
2020-04-29,147.15,151.95000000000002,143.55,147.65,7097500.0,5015000.0,2020-05-28
2020-04-30,152.05,163.85,150.70000000000002,157.15,8757500.0,4777500.0,2020-05-28
2020-05-04,147.3,148.25,135.8,139.9,9907500.0,6105000.0,2020-05-28
2020-05-05,145.4,149.0,137.65,139.8,10402500.0,6725000.0,2020-05-28
2020-05-06,141.65,150.35,136.6,148.0,14997500.0,6707500.0,2020-05-28
2020-05-07,146.45000000000002,153.85,143.15,146.5,13365000.0,6762500.0,2020-05-28
2020-05-08,149.70000000000002,153.25,140.0,141.25,9975000.0,6732500.0,2020-05-28
2020-05-11,143.8,152.20000000000002,140.1,149.85,17175000.0,7797500.0,2020-05-28
2020-05-12,146.45000000000002,149.70000000000002,139.15,148.70000000000002,15945000.0,9150000.0,2020-05-28
2020-05-13,157.0,163.8,150.95000000000002,155.0,12655000.0,8050000.0,2020-05-28
2020-05-14,154.1,157.9,144.35,145.5,11145000.0,6765000.0,2020-05-28
2020-05-15,146.25,148.4,143.35,146.5,5600000.0,6445000.0,2020-05-28
2020-05-18,144.75,145.25,119.95,122.5,12942500.0,7192500.0,2020-05-28
2020-05-19,125.0,129.65,123.0,123.9,8145000.0,7070000.0,2020-05-28
2020-05-20,123.15,134.15,122.0,132.75,13295000.0,7127500.0,2020-05-28
2020-05-21,134.15,135.95000000000002,126.05,127.0,9872500.0,7157500.0,2020-05-28
2020-05-22,127.15,130.15,118.15,120.7,13960000.0,7255000.0,2020-05-28
2020-05-26,123.65,124.1,117.75,119.45,9070000.0,5767500.0,2020-05-28
2020-05-27,119.45,131.35000000000002,117.3,130.05,15480000.0,6050000.0,2020-06-25
2020-05-28,132.45,134.2,125.35,131.39999999999998,11772500.0,6757500.0,2020-06-25
2020-05-29,128.7,138.14999999999998,127.9,135.39999999999998,10907500.0,6342500.0,2020-06-25
2020-06-01,141.25,149.64999999999998,139.39999999999998,148.7,10922500.0,5485000.0,2020-06-25
2020-06-02,151.39999999999998,155.64999999999998,148.8,154.05,13770000.0,5797500.0,2020-06-25
2020-06-03,157.5,161.35000000000002,152.14999999999998,153.39999999999998,11420000.0,6217500.0,2020-06-25
2020-06-04,152.3,155.95,137.2,138.64999999999998,21060000.0,6090000.0,2020-06-25
2020-06-05,141.45,144.75,136.85000000000002,142.5,10500000.0,5665000.0,2020-06-25
2020-06-08,146.35000000000002,151.25,141.64999999999998,143.85000000000002,12407500.0,6837500.0,2020-06-25
2020-06-09,145.35000000000002,154.95,142.89999999999998,146.95,17745000.0,5347500.0,2020-06-25
2020-06-10,148.8,155.0,146.64999999999998,153.2,13260000.0,4985000.0,2020-06-25
2020-06-11,152.95,162.55,146.7,147.8,23827500.0,6170000.0,2020-06-25
2020-06-12,137.05,158.85000000000002,137.05,157.39999999999998,18937500.0,7302500.0,2020-06-25
2020-06-15,157.39999999999998,159.95,148.45,152.2,18417500.0,6617500.0,2020-06-25
2020-06-16,157.95,159.39999999999998,147.64999999999998,152.35000000000002,12450000.0,6492500.0,2020-06-25
2020-06-17,150.95,167.35000000000002,149.89999999999998,164.60000000000002,35250000.0,7350000.0,2020-06-25
2020-06-18,165.05,174.60000000000002,164.95,173.75,20372500.0,7875000.0,2020-06-25
