date,open,high,low,close,volume,oi,expiry
2020-01-01,232.7,233.6,228.25,228.9,10167300.0,35230800.0,2020-01-30
2020-01-02,229.75,235.3,227.6,234.75,15061200.0,35696100.0,2020-01-30
2020-01-03,234.25,234.45,227.65,229.65,14295600.0,35138400.0,2020-01-30
2020-01-06,228.1,228.5,221.15,222.2,18496500.0,34306800.0,2020-01-30
2020-01-07,224.5,228.15,223.05,226.05,15087600.0,33570900.0,2020-01-30
2020-01-08,222.15,228.95,218.65,228.35,17371200.0,33683100.0,2020-01-30
2020-01-09,230.9,241.65,230.0,239.35,26736600.0,36663000.0,2020-01-30
2020-01-10,240.0,245.1,237.2,244.5,31574400.0,36666300.0,2020-01-30
2020-01-13,244.95,253.5,244.95,252.85,31792200.0,36187800.0,2020-01-30
2020-01-14,252.35,258.8,251.35,255.65,21499500.0,36065700.0,2020-01-30
2020-01-15,254.1,258.95,253.55,257.1,18334800.0,36003000.0,2020-01-30
2020-01-16,255.75,260.85,255.55,259.45,16374600.0,35316600.0,2020-01-30
2020-01-17,257.35,263.15,257.35,262.25,20476500.0,34795200.0,2020-01-30
2020-01-20,262.45,264.15,258.05,259.7,15186600.0,33966900.0,2020-01-30
2020-01-21,258.65,259.65,255.75,258.0,15457200.0,32198100.0,2020-01-30
2020-01-22,258.6,262.1,255.75,258.95,15919200.0,31871400.0,2020-01-30
2020-01-23,258.95,262.5,257.5,261.5,17189700.0,31739400.0,2020-01-30
2020-01-24,262.0,266.45,261.55,263.35,20189400.0,29205000.0,2020-01-30
2020-01-27,261.5,264.5,256.0,257.1,21294900.0,23796300.0,2020-01-30
2020-01-28,256.6,261.75,255.5,257.95,19242300.0,18948600.0,2020-01-30
2020-01-29,257.95,260.95,255.9,257.95,13061400.0,22555500.0,2020-02-27
2020-01-30,257.65,258.1,251.4,254.04999999999995,18803400.0,28591200.0,2020-02-27
2020-01-31,255.6,260.6,252.1,257.9,26195400.0,30624000.0,2020-02-27
2020-02-03,227.45,230.4,214.55,226.75,54747000.0,33033000.0,2020-02-27
2020-02-04,227.85,243.1,227.0,240.55,32178300.0,32445600.0,2020-02-27
2020-02-05,245.1,252.45,241.3,250.75,28234800.0,31557900.0,2020-02-27
2020-02-06,244.9,252.35,240.95,244.05,47011800.0,31475400.0,2020-02-27
2020-02-07,243.25,243.25,232.55,233.55,28528500.0,33528000.0,2020-02-27
2020-02-10,232.2,234.2,228.7,231.45,18163200.0,34240800.0,2020-02-27
2020-02-11,233.85,235.45,230.0,231.2,13483800.0,34745700.0,2020-02-27
2020-02-12,231.9,234.3,225.3,229.75,19390800.0,35059200.0,2020-02-27
2020-02-13,229.35,231.15,226.2,229.7,15364800.0,35174700.0,2020-02-27
2020-02-14,231.15,233.15,223.1,224.8,25228500.0,35257200.0,2020-02-27
2020-02-17,225.95,228.65,216.55,218.25,24446400.0,36643200.0,2020-02-27
2020-02-18,215.8,218.0,215.2,216.8,15368100.0,37910400.0,2020-02-27
2020-02-19,219.8,227.0,216.5,225.55,26205300.0,39240300.0,2020-02-27
2020-02-20,224.95,226.9,217.5,218.55,20103600.0,38471400.0,2020-02-27
2020-02-24,216.3,216.4,209.4,210.55,22981200.0,34973400.0,2020-02-27
2020-02-25,211.05,217.55,210.9,214.8,28228200.0,23103300.0,2020-02-27
2020-02-26,214.8,217.75,210.4,211.95,19714200.0,30297300.0,2020-03-26
2020-02-27,211.45,212.3,204.7,208.3,21740400.0,37946700.0,2020-03-26
2020-02-28,204.05,204.05,192.45,200.5,30577800.0,39227100.0,2020-03-26
2020-03-02,198.55,212.45,198.55,202.4,31227900.0,38732100.0,2020-03-26
2020-03-03,203.1,210.55,202.15,206.6,24436500.0,37191000.0,2020-03-26
2020-03-04,207.95,209.65,197.6,203.7,23456400.0,36755400.0,2020-03-26
2020-03-05,204.8,206.3,199.65,201.95,18852900.0,36610200.0,2020-03-26
2020-03-06,193.3,195.7,187.35,193.9,24142800.0,37610100.0,2020-03-26
2020-03-09,185.8,187.2,178.45,181.85,24241800.0,39966300.0,2020-03-26
2020-03-11,181.25,184.15,176.45,177.74999999999997,16265700.0,40302900.0,2020-03-26
2020-03-12,168.79999999999998,168.79999999999998,153.54999999999998,156.14999999999998,35217600.0,39451500.0,2020-03-26
2020-03-13,143.7,170.39999999999998,140.45,164.95,22806300.0,36943500.0,2020-03-26
2020-03-16,152.79999999999998,155.24999999999997,146.49999999999997,147.49999999999997,17800200.0,36049200.0,2020-03-26
2020-03-17,148.89999999999998,153.39999999999998,142.24999999999997,142.89999999999998,20031000.0,34501500.0,2020-03-26
2020-03-18,145.99999999999997,146.95,135.39999999999998,138.24999999999997,19433700.0,32811900.0,2020-03-26
2020-03-19,131.7,139.39999999999998,124.45,127.49999999999996,22898700.0,31878000.0,2020-03-26
2020-03-20,130.29999999999998,139.95,120.2,138.1,33009900.0,31066200.0,2020-03-26
2020-03-23,124.2,132.35,121.79999999999998,124.14999999999998,21631500.0,26937900.0,2020-03-26
2020-03-24,127.7,133.89999999999998,116.54999999999998,119.59999999999998,23364000.0,23859000.0,2020-03-26
2020-03-25,119.59999999999998,130.75,116.29999999999998,126.94999999999996,25839000.0,27320700.0,2020-04-30
2020-03-26,131.75,148.54999999999995,124.64999999999998,139.7,28218300.0,29554800.0,2020-04-30
2020-03-27,144.59999999999997,155.59999999999997,138.59999999999997,140.39999999999998,22202400.0,27030300.0,2020-04-30
2020-03-30,135.59999999999997,138.0,130.59999999999997,132.75,14107500.0,26452800.0,2020-04-30
2020-03-31,136.29999999999995,140.64999999999998,132.09999999999997,138.75,10579800.0,26895000.0,2020-04-30
2020-04-01,136.54999999999995,138.39999999999998,131.79999999999995,134.59999999999997,10233300.0,26268000.0,2020-04-30
2020-04-03,135.25,137.2,132.14999999999998,133.5,10880100.0,25763100.0,2020-04-30
2020-04-07,139.09999999999997,145.39999999999998,136.59999999999997,143.5,10193700.0,25667400.0,2020-04-30
2020-04-08,138.59999999999997,149.29999999999995,138.59999999999997,140.0,13186800.0,25238400.0,2020-04-30
2020-04-09,143.2,153.2,142.45,150.79999999999995,13256100.0,25063500.0,2020-04-30
2020-04-13,149.09999999999997,149.59999999999997,136.84999999999997,142.0,17315100.0,25555200.0,2020-04-30
2020-04-15,140.34999999999997,146.5,139.29999999999995,141.75,14602500.0,25545300.0,2020-04-30
2020-04-16,139.25,145.5,135.09999999999997,136.45,18740700.0,25951200.0,2020-04-30
2020-04-17,142.59999999999997,147.59999999999997,138.04999999999995,139.34999999999997,33471900.0,24829200.0,2020-04-30
2020-04-20,140.34999999999997,141.39999999999998,133.04999999999995,136.14999999999998,19978200.0,25476000.0,2020-04-30
2020-04-21,132.59999999999997,135.39999999999998,130.84999999999997,134.29999999999995,17325000.0,24317700.0,2020-04-30
2020-04-22,133.29999999999995,137.0,131.45,135.34999999999997,15041400.0,24152700.0,2020-04-30
2020-04-23,137.09999999999997,140.39999999999998,134.84999999999997,138.5,15737700.0,23961300.0,2020-04-30
2020-04-24,135.84999999999997,135.84999999999997,129.29999999999998,129.84999999999997,18232500.0,23357400.0,2020-04-30
2020-04-27,132.5,135.2,131.34999999999997,134.29999999999995,13919400.0,19572300.0,2020-04-30
2020-04-28,134.29999999999995,139.19999999999993,131.99999999999994,138.54999999999995,12097800.0,17285400.0,2020-05-28
2020-04-29,138.49999999999994,142.69999999999993,138.44999999999993,141.74999999999994,8570100.0,21285000.0,2020-05-28
2020-04-30,142.84999999999997,152.24999999999994,142.74999999999994,146.79999999999995,18823200.0,24499200.0,2020-05-28
2020-05-04,141.19999999999993,141.39999999999998,130.84999999999997,133.34999999999997,13368300.0,23875500.0,2020-05-28
2020-05-05,135.19999999999993,136.24999999999994,126.14999999999996,126.74999999999996,15483600.0,23977800.0,2020-05-28
2020-05-06,127.19999999999996,131.29999999999995,124.84999999999997,130.19999999999993,12665400.0,24047100.0,2020-05-28
2020-05-07,130.19999999999993,133.19999999999993,128.49999999999994,129.19999999999993,8457900.0,24017400.0,2020-05-28
2020-05-08,131.79999999999995,132.89999999999998,129.24999999999994,129.94999999999993,10058400.0,23568600.0,2020-05-28
2020-05-11,132.54999999999995,135.64999999999998,131.49999999999994,133.14999999999998,10154100.0,23796300.0,2020-05-28
2020-05-12,131.79999999999995,138.34999999999997,129.84999999999997,137.24999999999994,13787400.0,24255000.0,2020-05-28
2020-05-13,143.19999999999993,146.74999999999994,139.89999999999998,141.49999999999994,19301700.0,25030500.0,2020-05-28
2020-05-14,137.14999999999998,140.54999999999995,134.74999999999994,137.14999999999998,13658700.0,24898500.0,2020-05-28
2020-05-15,138.89999999999998,140.24999999999994,136.54999999999995,138.69999999999993,10061700.0,24469500.0,2020-05-28
2020-05-18,138.29999999999995,138.44999999999993,129.34999999999997,132.19999999999993,12761100.0,23433300.0,2020-05-28
2020-05-19,133.89999999999998,135.59999999999997,130.19999999999993,131.39999999999998,9771300.0,23618100.0,2020-05-28
2020-05-20,131.94999999999993,141.19999999999993,131.14999999999998,139.59999999999997,18021300.0,22991100.0,2020-05-28
2020-05-21,138.99999999999994,141.14999999999998,136.49999999999994,138.49999999999994,9586500.0,22852500.0,2020-05-28
2020-05-22,137.49999999999994,139.99999999999994,133.99999999999994,134.99999999999994,12579600.0,20687700.0,2020-05-28
2020-05-26,136.49999999999994,137.64999999999998,134.29999999999995,136.64999999999998,14190000.0,16701300.0,2020-05-28
2020-05-27,136.64999999999998,137.39999999999998,133.99999999999994,136.94999999999993,10589700.0,21087000.0,2020-06-25
2020-05-28,136.04999999999995,144.89999999999998,136.04999999999995,142.34999999999997,20314800.0,27023700.0,2020-06-25
2020-05-29,138.69999999999993,148.84999999999997,138.19999999999993,147.99999999999994,29541600.0,28967400.0,2020-06-25
2020-06-01,151.09999999999997,157.64999999999998,150.54999999999995,151.59999999999997,23901900.0,26895000.0,2020-06-25
2020-06-02,152.24999999999994,158.39999999999998,149.29999999999995,156.49999999999994,20968200.0,27756300.0,2020-06-25
2020-06-03,157.19999999999993,161.99999999999994,153.34999999999997,155.14999999999998,26862000.0,26604600.0,2020-06-25
2020-06-04,153.59999999999997,157.34999999999997,151.59999999999997,155.19999999999993,16727700.0,26023800.0,2020-06-25
2020-06-05,152.44999999999993,156.99999999999994,147.79999999999995,156.29999999999995,37197600.0,26644200.0,2020-06-25
2020-06-08,161.29999999999995,162.49999999999994,151.54999999999995,152.29999999999995,21228900.0,25938000.0,2020-06-25
2020-06-09,152.94999999999993,157.34999999999997,150.84999999999997,152.09999999999997,14196600.0,25195500.0,2020-06-25
2020-06-10,153.09999999999997,157.94999999999993,152.34999999999997,156.19999999999993,12896400.0,25548600.0,2020-06-25
2020-06-11,155.04999999999995,160.44999999999993,148.99999999999994,150.14999999999998,22133100.0,24839100.0,2020-06-25
2020-06-12,144.24999999999994,153.84999999999997,144.24999999999994,153.24999999999994,17202900.0,25050300.0,2020-06-25
2020-06-15,151.09999999999997,153.54999999999995,144.64999999999998,145.44999999999993,16490100.0,25654200.0,2020-06-25
2020-06-16,149.29999999999995,150.89999999999998,143.09999999999997,145.94999999999993,13691700.0,25311000.0,2020-06-25
2020-06-17,143.34999999999997,151.39999999999998,142.14999999999998,149.04999999999995,12705000.0,25819200.0,2020-06-25
2020-06-18,148.59999999999997,149.74999999999994,144.79999999999995,147.24999999999994,9675600.0,26228400.0,2020-06-25
2020-06-19,148.54999999999995,162.09999999999997,147.94999999999993,160.99999999999994,34395900.0,26749800.0,2020-06-25
2020-06-22,164.14999999999998,164.14999999999998,157.29999999999995,159.54999999999995,19199400.0,24812700.0,2020-06-25
2020-06-23,160.44999999999993,169.59999999999997,158.59999999999997,167.94999999999993,31353300.0,23364000.0,2020-06-25
2020-06-24,167.94999999999993,170.89999999999992,159.14999999999992,160.14999999999992,24558600.0,20724000.0,2020-07-30
2020-06-25,158.54999999999995,161.44999999999993,156.74999999999994,157.44999999999993,18420600.0,26584800.0,2020-07-30
2020-06-26,158.99999999999994,158.99999999999994,151.94999999999993,154.34999999999997,13506900.0,26670600.0,2020-07-30
2020-06-29,152.94999999999993,155.04999999999995,149.49999999999994,151.09999999999997,9292800.0,26739900.0,2020-07-30
2020-06-30,152.09999999999997,153.79999999999995,146.79999999999995,147.84999999999997,10553400.0,27168900.0,2020-07-30
2020-07-01,148.09999999999997,152.54999999999995,147.49999999999994,150.34999999999997,13226400.0,27663900.0,2020-07-30
2020-07-02,151.29999999999995,153.99999999999994,149.69999999999993,152.79999999999995,9655800.0,27746400.0,2020-07-30
2020-07-03,153.74999999999994,154.49999999999994,149.29999999999995,151.39999999999992,10748100.0,28010400.0,2020-07-30
2020-07-06,152.94999999999993,156.19999999999993,152.19999999999993,155.04999999999995,10652400.0,28812300.0,2020-07-30
2020-07-07,154.34999999999997,154.99999999999994,149.74999999999994,152.74999999999994,11569800.0,28706700.0,2020-07-30
2020-07-08,152.79999999999995,154.29999999999995,145.29999999999995,146.19999999999993,19859400.0,30300600.0,2020-07-30
2020-07-09,148.79999999999995,150.59999999999997,144.54999999999995,146.39999999999992,19189500.0,30402900.0,2020-07-30
2020-07-10,145.14999999999992,149.64999999999992,144.74999999999994,147.89999999999992,21143100.0,29432700.0,2020-07-30
2020-07-13,148.59999999999997,149.04999999999995,141.49999999999994,143.14999999999992,18090600.0,29508600.0,2020-07-30
2020-07-14,143.59999999999997,145.09999999999997,138.99999999999994,139.94999999999993,15599100.0,29594400.0,2020-07-30
2020-07-15,140.74999999999994,142.64999999999992,136.69999999999993,137.34999999999997,15127200.0,30000300.0,2020-07-30
2020-07-16,137.69999999999993,140.29999999999995,134.84999999999997,138.69999999999993,17351400.0,29584500.0,2020-07-30
2020-07-17,138.44999999999993,141.54999999999995,137.19999999999993,140.99999999999994,11985600.0,28739700.0,2020-07-30
2020-07-20,142.54999999999995,143.84999999999997,139.24999999999994,140.94999999999993,13582800.0,29574600.0,2020-07-30
2020-07-21,142.44999999999993,147.54999999999995,141.84999999999997,143.29999999999995,19473300.0,28624200.0,2020-07-30
2020-07-22,142.84999999999997,146.49999999999994,140.99999999999994,142.74999999999994,14896200.0,27680400.0,2020-07-30
2020-07-23,142.24999999999994,144.29999999999995,141.19999999999993,142.79999999999995,9434700.0,27551700.0,2020-07-30
2020-07-24,142.04999999999995,142.39999999999992,136.39999999999992,138.74999999999994,16351500.0,26611200.0,2020-07-30
2020-07-27,138.59999999999997,139.14999999999992,134.09999999999997,135.79999999999995,14242800.0,24538800.0,2020-07-30
