date,open,high,low,close,volume,oi,expiry
2020-01-01,2892.1,2902.95,2873.15,2898.9,277250.0,2996250.0,2020-01-30
2020-01-02,2895.65,2908.6,2880.1,2884.0,404000.0,3035500.0,2020-01-30
2020-01-03,2870.75,2907.85,2870.55,2894.25,549750.0,3024250.0,2020-01-30
2020-01-06,2877.15,2903.9,2861.05,2886.1,519750.0,3022500.0,2020-01-30
2020-01-07,2889.85,2917.9,2883.75,2899.95,553250.0,2989750.0,2020-01-30
2020-01-08,2889.4,2914.9,2873.65,2904.5,376750.0,2981000.0,2020-01-30
2020-01-09,2945.0,2945.0,2909.15,2928.45,623500.0,2958750.0,2020-01-30
2020-01-10,2939.0,3020.85,2938.8,2947.4,1659750.0,3092000.0,2020-01-30
2020-01-13,2924.8,2973.75,2924.8,2962.35,531500.0,3042750.0,2020-01-30
2020-01-14,2969.0,2974.45,2939.05,2956.45,538500.0,3059500.0,2020-01-30
2020-01-15,2950.2,2956.8,2914.5,2933.05,526500.0,3092500.0,2020-01-30
2020-01-16,2930.9,2964.0,2930.9,2950.65,521500.0,3166750.0,2020-01-30
2020-01-17,2947.95,3063.5,2947.95,3045.85,2226750.0,3420000.0,2020-01-30
2020-01-20,3046.7,3081.9,3037.15,3062.95,1276500.0,3276000.0,2020-01-30
2020-01-21,3058.9,3082.25,3038.65,3061.65,861000.0,3306250.0,2020-01-30
2020-01-22,3055.6,3109.0,3050.9,3065.5,1140750.0,3200250.0,2020-01-30
2020-01-23,3054.2,3079.35,3025.1,3038.95,903000.0,3207750.0,2020-01-30
2020-01-24,3039.5,3049.8,3028.0,3037.55,670750.0,3088250.0,2020-01-30
2020-01-27,3034.4,3210.65,3004.0,3192.9,8127500.0,3048750.0,2020-01-30
2020-01-28,3193.6,3247.25,3156.9,3188.6,3726000.0,2385500.0,2020-01-30
2020-01-29,3188.6,3188.6,3092.8,3144.25,1795000.0,2142500.0,2020-02-27
2020-01-30,3157.15,3160.8,3113.7,3146.85,1132500.0,2682750.0,2020-02-27
2020-01-31,3146.85,3181.1,3098.7,3108.9,860000.0,2689250.0,2020-02-27
2020-02-03,3122.95,3156.45,3100.9,3123.7,717750.0,2640750.0,2020-02-27
2020-02-04,3143.6,3256.55,3132.45,3221.8,1162500.0,2725250.0,2020-02-27
2020-02-05,3230.0,3236.75,3114.95,3125.5,1342000.0,2770250.0,2020-02-27
2020-02-06,3155.75,3168.5,3127.15,3150.05,764750.0,2762000.0,2020-02-27
2020-02-07,3148.9,3174.65,3129.55,3159.25,712750.0,2868000.0,2020-02-27
2020-02-10,3150.7,3162.35,3103.6,3138.6,450250.0,2871750.0,2020-02-27
2020-02-11,3141.05,3190.6,3118.75,3176.65,1143750.0,2811000.0,2020-02-27
2020-02-12,3166.35,3200.6,3152.1,3181.75,772000.0,2791250.0,2020-02-27
2020-02-13,3197.95,3316.6,3180.85,3302.55,2555500.0,2811750.0,2020-02-27
2020-02-14,3280.9,3311.6,3250.95,3284.6,1375000.0,2696500.0,2020-02-27
2020-02-17,3305.1,3318.0,3268.9,3274.15,934000.0,2639000.0,2020-02-27
2020-02-18,3265.15,3268.85,3219.1,3239.7,949250.0,2607750.0,2020-02-27
2020-02-19,3238.6,3284.6,3238.5,3267.55,776750.0,2530000.0,2020-02-27
2020-02-20,3268.6,3342.6,3229.6,3242.0,1234250.0,2513750.0,2020-02-27
2020-02-24,3233.05,3233.05,3149.9,3156.65,1264250.0,2424250.0,2020-02-27
2020-02-25,3156.2,3156.2,3040.15,3072.85,2065000.0,1640250.0,2020-02-27
2020-02-26,3072.85,3091.95,3039.25,3049.5,1104250.0,1974750.0,2020-03-26
2020-02-27,3061.65,3067.6,2998.05,3039.85,1525250.0,2326250.0,2020-03-26
2020-02-28,3011.7,3055.85,2873.95,2889.05,2199250.0,2310250.0,2020-03-26
2020-03-02,2928.95,2963.95,2843.95,2870.05,1071500.0,2322000.0,2020-03-26
2020-03-03,2889.3,3041.5,2889.3,3012.9,1664000.0,2248000.0,2020-03-26
2020-03-04,3009.0,3146.95,3000.95,3135.3,2162000.0,2200750.0,2020-03-26
2020-03-05,3132.95,3197.2,3129.6,3150.35,1063250.0,2246250.0,2020-03-26
2020-03-06,3063.95,3170.35,3063.95,3134.6,1114500.0,2227250.0,2020-03-26
2020-03-09,3063.95,3149.65,2997.05,3037.2,1090250.0,2086500.0,2020-03-26
2020-03-11,3028.85,3044.75,2954.25,2973.05,800250.0,2087500.0,2020-03-26
2020-03-12,2894.45,2949.95,2769.7,2811.45,1153500.0,2003000.0,2020-03-26
2020-03-13,2701.55,3063.95,2534.5,2855.05,1136750.0,1954250.0,2020-03-26
2020-03-16,2754.15,2930.95,2730.9,2784.5,1186500.0,1766250.0,2020-03-26
2020-03-17,2784.5,2866.5,2719.1,2742.3,1092250.0,1801000.0,2020-03-26
2020-03-18,2739.8,2753.85,2580.6,2636.9,885750.0,1795750.0,2020-03-26
2020-03-19,2580.0,2645.25,2444.0,2588.1,966000.0,1779000.0,2020-03-26
2020-03-20,2619.55,2904.9,2619.55,2857.35,1625500.0,1745250.0,2020-03-26
2020-03-23,2653.65,2961.5,2613.95,2725.5,1209500.0,1716500.0,2020-03-26
2020-03-24,2725.5,2778.5,2642.1,2708.3,912000.0,1378000.0,2020-04-30
2020-03-25,2749.0,2797.5,2642.6,2769.0,673000.0,1679000.0,2020-04-30
2020-03-26,2846.5,2910.4,2735.65,2799.9,891000.0,1986250.0,2020-04-30
2020-03-27,2821.1,2893.5,2699.55,2767.7,732000.0,1929250.0,2020-04-30
2020-03-30,2724.5,2878.85,2659.75,2832.8,1275500.0,2158750.0,2020-04-30
2020-03-31,2874.5,2989.9,2874.5,2961.0,1252000.0,2245750.0,2020-04-30
2020-04-01,2965.5,2971.25,2893.55,2928.8,713500.0,2254500.0,2020-04-30
2020-04-03,2877.5,3054.1,2864.95,2983.5,1455500.0,2305750.0,2020-04-30
2020-04-07,3065.5,3456.45,3039.5,3425.45,2461000.0,2281000.0,2020-04-30
2020-04-08,3360.5,3594.75,3311.5,3505.5,2606750.0,2097750.0,2020-04-30
2020-04-09,3575.5,3635.2,3435.65,3459.65,1844250.0,1931000.0,2020-04-30
2020-04-13,3506.75,3682.15,3426.65,3587.2,2699000.0,2003250.0,2020-04-30
2020-04-15,3665.4,3722.9,3593.65,3636.05,2071250.0,2013500.0,2020-04-30
2020-04-16,3638.3,3737.15,3613.55,3703.85,1502500.0,2170500.0,2020-04-30
2020-04-17,3798.5,3827.6,3663.7,3763.75,1929000.0,2170000.0,2020-04-30
2020-04-20,3748.5,3748.6,3650.5,3680.85,1090750.0,2086500.0,2020-04-30
2020-04-21,3665.45,3881.45,3661.2,3844.45,2961500.0,2286250.0,2020-04-30
2020-04-22,3800.4,3917.25,3792.9,3873.75,1852500.0,2202250.0,2020-04-30
2020-04-23,3867.55,3907.45,3839.25,3851.95,1076750.0,2114000.0,2020-04-30
2020-04-24,3821.55,3880.45,3801.55,3828.45,1233500.0,2024000.0,2020-04-30
2020-04-27,3825.6,3884.5,3777.6,3808.95,1513750.0,1832250.0,2020-04-30
2020-04-28,3808.95,3813.3,3698.95,3755.55,1075500.0,1686000.0,2020-05-28
2020-04-29,3739.45,3742.75,3673.95,3683.9,915500.0,2046000.0,2020-05-28
2020-04-30,3724.75,3891.05,3690.0,3733.2,2669750.0,2593250.0,2020-05-28
2020-05-04,3657.95,3797.9,3643.95,3717.05,1688500.0,2613250.0,2020-05-28
2020-05-05,3768.95,3769.25,3603.95,3626.45,1168500.0,2659750.0,2020-05-28
2020-05-06,3635.95,3676.35,3596.95,3647.1,1227250.0,2678000.0,2020-05-28
2020-05-07,3706.65,3723.4,3614.7,3626.05,1208000.0,2682000.0,2020-05-28
2020-05-08,3693.95,3899.9,3693.95,3764.95,3353250.0,2719250.0,2020-05-28
