date,open,high,low,close,volume,oi,expiry
2020-01-01,22590.05,22675.0,22145.0,22198.1,84210.0,280110.0,2020-01-30
2020-01-02,22220.05,22420.25,21550.6,21701.6,273660.0,305850.0,2020-01-30
2020-01-03,21695.45,21733.5,21217.0,21313.8,132360.0,305310.0,2020-01-30
2020-01-06,21200.0,21210.8,20855.0,20949.35,115620.0,297570.0,2020-01-30
2020-01-07,21114.95,21433.35,20820.1,20922.85,118410.0,308220.0,2020-01-30
2020-01-08,20721.55,20764.05,19925.0,20010.25,262980.0,341580.0,2020-01-30
2020-01-09,20355.45,20628.35,19969.65,20434.5,269610.0,345060.0,2020-01-30
2020-01-10,20398.0,20844.45,20350.05,20537.05,170130.0,344580.0,2020-01-30
2020-01-13,20610.15,20635.8,20156.0,20364.55,119130.0,349950.0,2020-01-30
2020-01-14,20385.35,20669.9,20324.35,20567.4,90600.0,351420.0,2020-01-30
2020-01-15,20522.2,20745.1,20400.0,20717.9,104250.0,355410.0,2020-01-30
2020-01-16,20771.85,21640.0,20745.35,21563.9,268650.0,330240.0,2020-01-30
2020-01-17,21562.0,21790.0,21172.15,21334.45,176160.0,334020.0,2020-01-30
2020-01-20,21403.1,21548.75,21040.9,21395.4,96660.0,325200.0,2020-01-30
2020-01-21,21381.8,21484.5,21002.1,21103.6,78990.0,326880.0,2020-01-30
2020-01-22,21195.25,21293.9,20980.85,21126.4,60300.0,323730.0,2020-01-30
2020-01-23,21080.25,21170.05,20800.0,20972.6,102360.0,313080.0,2020-01-30
2020-01-24,20992.35,21192.65,20853.8,20957.5,76020.0,309420.0,2020-01-30
2020-01-27,20848.0,21191.65,20779.75,21079.75,112920.0,276900.0,2020-01-30
2020-01-28,21235.0,21235.0,20897.0,21099.4,130680.0,256950.0,2020-01-30
2020-01-29,21169.65,21235.25,20122.2,20230.1,234060.0,189420.0,2020-01-30
2020-01-30,20230.1,20570.0,20178.7,20334.65,151530.0,211260.0,2020-02-27
2020-01-31,20420.1,20647.25,20149.35,20222.5,74160.0,216240.0,2020-02-27
2020-02-03,19559.2,20270.0,19479.1,19704.3,145080.0,218370.0,2020-02-27
2020-02-04,19898.65,19970.1,19433.55,19490.6,112980.0,225510.0,2020-02-27
2020-02-05,19620.1,19770.1,19324.55,19461.1,92910.0,225690.0,2020-02-27
2020-02-06,19570.1,20610.4,19232.7,20414.75,473550.0,241230.0,2020-02-27
2020-02-07,20520.1,20520.1,19571.2,19674.65,181260.0,242970.0,2020-02-27
2020-02-10,19798.85,19798.85,18781.95,19055.05,183690.0,251370.0,2020-02-27
2020-02-11,19195.1,19310.1,18949.65,18999.8,98190.0,249750.0,2020-02-27
2020-02-12,18970.1,19294.1,18920.55,19239.7,95670.0,244590.0,2020-02-27
2020-02-13,19270.1,19430.85,19130.25,19276.25,67800.0,243630.0,2020-02-27
2020-02-14,19231.85,19295.1,18532.35,18691.85,185190.0,243330.0,2020-02-27
2020-02-17,18818.6,18876.2,18450.2,18515.65,88770.0,245730.0,2020-02-27
2020-02-18,18352.3,18775.95,17770.899999999998,18739.6,116730.0,248130.0,2020-02-27
2020-02-19,18900.0,18976.5,18666.35,18817.85,74880.0,239490.0,2020-02-27
2020-02-20,18800.1,18960.1,18471.1,18754.6,71460.0,232800.0,2020-02-27
2020-02-24,18625.45,18625.45,17800.25,17870.6,165720.0,222450.0,2020-02-27
2020-02-25,18050.0,18149.55,17280.149999999998,17506.85,273600.0,154560.0,2020-02-27
2020-02-26,17506.85,17745.35,17270.399999999998,17409.05,125190.0,164370.0,2020-03-26
2020-02-27,17400.3,17451.25,17165.35,17322.0,222060.0,249690.0,2020-03-26
2020-02-28,16977.449999999997,17106.149999999998,16558.399999999998,16788.899999999998,242970.0,277530.0,2020-03-26
2020-03-02,16945.3,18013.35,16914.0,17152.85,331620.0,253080.0,2020-03-26
2020-03-03,17503.149999999998,18120.35,17503.149999999998,17989.25,233130.0,213270.0,2020-03-26
2020-03-04,18069.2,18327.2,17056.399999999998,17456.25,267270.0,215430.0,2020-03-26
2020-03-05,17655.35,17998.0,17352.35,17880.0,128550.0,205620.0,2020-03-26
2020-03-06,17201.449999999997,17950.35,16942.649999999998,17874.5,121020.0,203040.0,2020-03-26
2020-03-09,17278.149999999998,18093.45,17158.649999999998,18001.199999999997,151350.0,203730.0,2020-03-26
2020-03-11,17999.75,18337.75,17610.35,17882.8,145710.0,214020.0,2020-03-26
2020-03-12,17160.149999999998,17400.35,16817.85,16996.55,213900.0,274020.0,2020-03-26
2020-03-13,15909.85,18676.2,14700.35,17785.5,209700.0,285510.0,2020-03-26
2020-03-16,17025.449999999997,17350.35,16424.05,16559.35,159660.0,288300.0,2020-03-26
2020-03-17,16880.35,17530.949999999997,16580.75,17090.85,134460.0,281550.0,2020-03-26
2020-03-18,17350.3,17400.35,15909.149999999998,16077.05,98730.0,274740.0,2020-03-26
2020-03-19,15384.999999999998,16279.1,15011.8,15219.7,147570.0,271650.0,2020-03-26
2020-03-20,15440.35,16150.399999999998,14640.749999999998,15946.7,166920.0,255570.0,2020-03-26
2020-03-23,15200.3,15200.3,13584.749999999998,13917.649999999998,132630.0,238740.0,2020-03-26
2020-03-24,14120.649999999998,14828.899999999998,14050.35,14396.749999999998,159660.0,211830.0,2020-03-26
2020-03-25,14396.749999999998,15046.35,14112.249999999998,14752.299999999996,84060.0,169590.0,2020-04-30
2020-03-26,14936.999999999998,15430.999999999998,14697.1,15012.499999999998,80550.0,186780.0,2020-04-30
2020-03-27,15401.449999999995,15586.249999999998,14208.749999999998,14515.299999999996,69060.0,182340.0,2020-04-30
2020-03-30,14161.899999999998,14254.149999999998,13305.899999999998,13507.399999999998,112080.0,215370.0,2020-04-30
2020-03-31,13710.899999999998,13801.399999999998,13068.049999999996,13221.549999999996,101010.0,220080.0,2020-04-30
2020-04-01,13221.649999999998,13493.399999999998,12855.899999999998,13154.199999999995,79950.0,220320.0,2020-04-30
2020-04-03,13118.299999999996,13201.899999999998,12690.899999999998,12763.499999999998,90810.0,218310.0,2020-04-30
2020-04-07,13105.999999999998,13405.799999999996,12544.049999999996,13266.799999999996,157320.0,228450.0,2020-04-30
2020-04-08,13105.999999999998,13855.899999999998,12965.1,13313.85,155790.0,227040.0,2020-04-30
2020-04-09,13442.35,14226.899999999998,13305.949999999995,13906.6,217620.0,264420.0,2020-04-30
2020-04-13,13850.749999999998,13855.35,13420.749999999998,13584.399999999998,61980.0,268080.0,2020-04-30
