date,open,high,low,close,volume,oi,expiry
2025-04-09,215.5,216.31,209.06,211.87,22610000.0,200666000.0,2025-04-24
2025-04-11,215.4,218.5,213.67,217.68,30620000.0,203354000.0,2025-04-24
2025-04-15,222.0,222.56,219.6,221.4,24014000.0,201952000.0,2025-04-24
2025-04-16,220.69,222.76,218.06,222.48,36168000.0,201798000.0,2025-04-24
2025-04-17,221.56,236.28,220.56,232.29,58212000.0,189854000.0,2025-04-24
2025-04-21,229.25,235.31,226.97,233.51,117880000.0,134748000.0,2025-04-24
2025-04-22,233.51,239.61,231.09,234.03,79408000.0,148214000.0,2025-05-29
2025-04-23,234.91,237.17,229.92,236.56,56126000.0,172304000.0,2025-05-29
2025-04-24,235.71,240.82,233.86,236.18,48314000.0,186828000.0,2025-05-29
2025-04-25,236.06,239.06,227.08,228.3,33216000.0,185814000.0,2025-05-29
2025-04-28,225.26,230.86,223.4,227.33,28600000.0,182550000.0,2025-05-29
2025-04-29,228.04,234.26,226.44,230.69,28570000.0,181460000.0,2025-05-29
2025-04-30,231.16,234.85,225.21,232.55,45480000.0,179516000.0,2025-05-29
2025-05-02,221.26,240.06,220.31,234.53,94114000.0,194056000.0,2025-05-29
2025-05-05,235.01,241.44,232.86,240.18,27892000.0,196860000.0,2025-05-29
2025-05-06,240.38,241.43,231.81,232.75,30894000.0,198470000.0,2025-05-29
2025-05-07,230.06,237.06,229.27,236.4,27902000.0,198952000.0,2025-05-29
2025-05-08,235.74,236.04,225.57,228.54,48172000.0,200468000.0,2025-05-29
2025-05-09,222.66,228.7,222.22,226.88,30906000.0,194938000.0,2025-05-29
2025-05-12,232.55,240.57,231.32,239.96,33538000.0,200588000.0,2025-05-29
2025-05-13,236.22,239.65,230.46,230.97,39184000.0,204350000.0,2025-05-29
2025-05-14,230.16,237.31,230.16,236.18,22468000.0,203796000.0,2025-05-29
2025-05-15,235.76,245.26,233.75,241.92,35238000.0,202704000.0,2025-05-29
2025-05-16,242.16,246.28,241.63,244.66,26168000.0,204448000.0,2025-05-29
2025-05-19,245.18,245.23,236.21,236.99,25502000.0,204858000.0,2025-05-29
2025-05-20,237.68,239.14,227.75,228.22,39574000.0,206650000.0,2025-05-29
2025-05-21,226.26,230.16,224.13,229.68,29200000.0,205746000.0,2025-05-29
2025-05-22,228.6,230.76,226.67,229.1,27032000.0,206314000.0,2025-05-29
2025-05-23,227.08,240.73,227.08,237.28,57566000.0,202314000.0,2025-05-29
2025-05-26,232.16,232.16,224.35,225.36,118078000.0,162570000.0,2025-05-29
2025-05-27,225.36,227.58,221.59,225.17,101958000.0,182404000.0,2025-06-26
2025-05-28,224.66,226.56,222.51,223.63,92052000.0,245392000.0,2025-06-26
2025-05-29,223.71,230.16,223.71,228.74,72676000.0,264418000.0,2025-06-26
2025-05-30,227.66,243.96,226.27,239.57,219762000.0,232368000.0,2025-06-26
2025-06-02,237.46,243.76,237.25,242.41,48244000.0,208724000.0,2025-06-26
2025-06-03,244.12,246.61,237.86,238.85,72858000.0,210202000.0,2025-06-26
2025-06-04,238.86,248.65,238.51,246.43,66532000.0,197810000.0,2025-06-26
2025-06-05,248.31,261.26,248.31,257.66,91252000.0,191202000.0,2025-06-26
2025-06-06,257.97,264.76,256.76,262.4,45054000.0,182894000.0,2025-06-26
2025-06-09,263.05999999999995,263.29999999999995,255.91,257.70000000000005,40020000.0,182350000.0,2025-06-26
2025-06-10,257.17,257.18999999999994,253.06,255.95,28442000.0,179864000.0,2025-06-26
