date,open,high,low,close,volume,oi,expiry
2020-02-28,551.0,566.8,542.0,544.65,2437200.0,1141200.0,2020-03-26
2020-03-02,554.0,566.45,550.85,554.95,1116900.0,1233000.0,2020-03-26
2020-03-03,560.7,574.7,560.7,565.4,1361700.0,1437300.0,2020-03-26
2020-03-04,569.0,571.25,561.0,569.8,839700.0,1487700.0,2020-03-26
2020-03-05,572.0,572.0,558.0,567.05,1733400.0,1584900.0,2020-03-26
2020-03-06,540.15,557.8,536.7,549.75,1191600.0,1736100.0,2020-03-26
2020-03-09,541.0,545.0,508.65,519.15,2003400.0,2272500.0,2020-03-26
2020-03-11,517.55,527.3,510.0,515.2,1332900.0,2514600.0,2020-03-26
2020-03-12,490.0,500.0,455.0,475.45,2083500.0,2725200.0,2020-03-26
2020-03-13,436.75,526.0,434.2,509.15,3428100.0,4096800.0,2020-03-26
2020-03-16,491.8,501.0,464.0,474.5,3140100.0,4947300.0,2020-03-26
2020-03-17,479.2,485.35,459.3,464.7,2317500.0,5667300.0,2020-03-26
2020-03-18,468.0,470.0,409.55,418.85,2531700.0,5718600.0,2020-03-26
2020-03-19,387.55,432.5,385.3,418.55,3700800.0,5830200.0,2020-03-26
2020-03-20,426.0,444.0,412.85,419.15,3026700.0,6155100.0,2020-03-26
2020-03-23,378.0,394.0,340.0,342.6,2324700.0,4695300.0,2020-03-26
2020-03-24,342.6,387.75,321.75,369.5,3371400.0,4545900.0,2020-04-30
2020-03-25,366.55,422.35,365.7000000000001,414.15,2830500.0,6053400.0,2020-04-30
2020-03-26,425.6,463.8,410.65,458.15,3779100.0,6810300.0,2020-04-30
2020-03-27,433.3,461.6,411.55,414.2000000000001,9145800.0,8588700.0,2020-04-30
2020-03-30,405.8,419.9500000000001,384.75,390.25,3740400.0,9244800.0,2020-04-30
2020-03-31,404.6,422.85,391.75,417.2000000000001,2690100.0,9687600.0,2020-04-30
2020-04-01,413.2000000000001,424.35,402.55,406.6,3812400.0,10244700.0,2020-04-30
2020-04-03,404.6,419.75,394.15,399.9,3769200.0,10548000.0,2020-04-30
2020-04-07,416.7000000000001,453.3,410.25,448.15,3042900.0,10494000.0,2020-04-30
2020-04-08,441.15,478.25,436.0,453.9500000000001,3042900.0,10470600.0,2020-04-30
2020-04-09,464.6,472.0,441.75,450.35,1791000.0,10339200.0,2020-04-30
2020-04-13,449.55,460.1,431.2000000000001,455.6,2093400.0,10272600.0,2020-04-30
2020-04-15,458.6,467.6,445.6,448.4,2388600.0,10116900.0,2020-04-30
2020-04-16,444.15,470.35,439.05,466.15,2538000.0,10240200.0,2020-04-30
2020-04-17,479.6,495.6,469.75,473.5,3585600.0,10163700.0,2020-04-30
2020-04-20,477.2000000000001,493.05000000000007,472.4,485.05,2151000.0,10179900.0,2020-04-30
2020-04-21,473.55,479.9500000000001,465.65,472.9500000000001,1750500.0,9885600.0,2020-04-30
2020-04-22,475.6,485.6,467.0,480.75,1534500.0,9881100.0,2020-04-30
2020-04-23,484.4500000000001,487.6,462.6,464.65,1866600.0,9770400.0,2020-04-30
2020-04-24,453.5,454.85,427.1,429.15,3057300.0,9588600.0,2020-04-30
2020-04-27,436.6,466.4,436.6,460.3,5010300.0,8443800.0,2020-04-30
2020-04-28,470.25,470.6,446.55,461.5,6197400.0,6710400.0,2020-04-30
2020-04-29,461.5,480.1,459.45,467.65,4456800.0,8856900.0,2020-05-28
2020-04-30,474.8,485.65,464.8,473.55,4163400.0,11169900.0,2020-05-28
2020-05-04,460.75,462.75,444.8,453.6,3044700.0,11360700.0,2020-05-28
2020-05-05,459.6,462.6,447.85,451.2,1869300.0,11439000.0,2020-05-28
2020-05-06,452.05,473.85,444.15,465.8,5418900.0,12787200.0,2020-05-28
2020-05-07,464.0,476.25,464.0,467.4,2506500.0,12764700.0,2020-05-28
2020-05-08,472.8,500.50000000000006,472.3,493.75000000000006,8681400.0,13182300.0,2020-05-28
2020-05-11,499.3,511.75000000000006,495.75000000000006,498.8,5185800.0,13721400.0,2020-05-28
2020-05-12,493.1,510.4,490.9,501.45,4723200.0,13820400.0,2020-05-28
2020-05-13,510.65,511.00000000000006,487.2,489.6,3716100.0,13019400.0,2020-05-28
2020-05-14,483.85,494.8,463.55,467.6,4473900.0,13264200.0,2020-05-28
2020-05-15,472.0,472.5,458.45,461.4,3459600.0,13350600.0,2020-05-28
2020-05-18,457.15,462.8,436.4,440.3,2881800.0,13203000.0,2020-05-28
2020-05-19,447.7,460.05,437.8,446.8,3334500.0,13187700.0,2020-05-28
2020-05-20,447.5,456.15,445.6,452.8,2497500.0,12889800.0,2020-05-28
2020-05-21,455.5,466.8,454.55,464.75,3739500.0,12527100.0,2020-05-28
2020-05-22,466.7,476.8,460.8,465.3,4531500.0,11694600.0,2020-05-28
2020-05-26,470.85,487.65,467.8,479.85,6744600.0,9936900.0,2020-05-28
2020-05-27,479.85,483.9,469.4500000000001,475.6,5927400.0,9379800.0,2020-06-25
2020-05-28,472.9,496.55000000000007,472.75000000000006,489.35,5595300.0,11663100.0,2020-06-25
