date,open,high,low,close,volume,oi,expiry
2020-01-01,2471.0,2476.2,2441.35,2444.0,431000.0,3771600.0,2020-01-30
2020-01-02,2445.05,2459.5,2428.0,2438.3,1078200.0,3639200.0,2020-01-30
2020-01-03,2430.8,2461.35,2425.25,2438.15,982600.0,3674000.0,2020-01-30
2020-01-06,2428.55,2434.0,2372.4,2380.95,894400.0,3733000.0,2020-01-30
2020-01-07,2390.0,2406.0,2350.45,2361.65,772400.0,3839000.0,2020-01-30
2020-01-08,2310.3,2355.65,2310.3,2329.4,812400.0,3885000.0,2020-01-30
2020-01-09,2341.0,2374.65,2338.4,2366.05,999200.0,3949400.0,2020-01-30
2020-01-10,2368.2,2397.05,2362.1,2375.1,752800.0,3930800.0,2020-01-30
2020-01-13,2381.4,2391.95,2364.5,2377.25,471800.0,3925200.0,2020-01-30
2020-01-14,2368.3,2425.0,2368.3,2420.25,895600.0,3900600.0,2020-01-30
2020-01-15,2411.1,2484.45,2411.1,2480.35,1308600.0,3670800.0,2020-01-30
2020-01-16,2480.35,2483.0,2438.0,2442.9,799800.0,3651200.0,2020-01-30
2020-01-17,2447.8,2482.65,2426.85,2461.2,674600.0,3613200.0,2020-01-30
2020-01-20,2448.2,2467.4,2417.5,2423.9,543400.0,3609400.0,2020-01-30
2020-01-21,2410.4,2412.95,2382.4,2405.15,593800.0,3610200.0,2020-01-30
2020-01-22,2411.0,2413.8,2387.45,2404.8,457200.0,3567200.0,2020-01-30
2020-01-23,2398.3,2439.5,2384.8,2433.95,614600.0,3500800.0,2020-01-30
2020-01-24,2435.35,2475.0,2432.05,2467.85,861400.0,3344000.0,2020-01-30
2020-01-27,2448.6,2497.0,2424.7,2455.0,1836600.0,3206400.0,2020-01-30
2020-01-28,2459.3,2507.35,2431.55,2472.0,1826200.0,2710000.0,2020-01-30
2020-01-29,2480.0,2511.0,2465.15,2484.45,1112600.0,2462000.0,2020-01-30
2020-01-30,2484.45,2518.6,2460.0,2480.25,1127400.0,2113600.0,2020-02-27
2020-01-31,2488.35,2514.0,2481.5,2492.45,640000.0,1997000.0,2020-02-27
2020-02-03,2405.45,2474.35,2371.35,2390.5,1849000.0,2266600.0,2020-02-27
2020-02-04,2407.15,2472.4,2397.55,2446.15,1266200.0,2293600.0,2020-02-27
2020-02-05,2449.35,2466.15,2335.35,2365.2,2790200.0,3011600.0,2020-02-27
2020-02-06,2390.8,2414.35,2363.4,2400.65,2560800.0,3501200.0,2020-02-27
2020-02-07,2466.5,2466.5,2397.35,2419.4,3705000.0,3367600.0,2020-02-27
2020-02-10,2422.8,2429.8,2357.4,2364.75,1039600.0,3359000.0,2020-02-27
2020-02-11,2386.8,2418.35,2368.25,2372.6,834600.0,3354600.0,2020-02-27
2020-02-12,2382.55,2403.15,2372.9,2395.7,583600.0,3294200.0,2020-02-27
2020-02-13,2391.85,2413.35,2379.65,2388.05,512400.0,3271200.0,2020-02-27
2020-02-14,2391.35,2409.45,2325.6,2329.3,1282600.0,3423000.0,2020-02-27
2020-02-17,2354.95,2365.25,2304.2,2325.0,931000.0,3348800.0,2020-02-27
2020-02-18,2317.1,2319.8,2264.9,2293.9,1059400.0,3386200.0,2020-02-27
2020-02-19,2300.95,2312.35,2266.7,2292.7,931400.0,3419000.0,2020-02-27
2020-02-20,2304.1,2312.3,2270.75,2275.85,1196000.0,3572600.0,2020-02-27
2020-02-24,2256.35,2261.35,2211.35,2218.05,1599200.0,3382000.0,2020-02-27
