date,open,high,low,close,volume,oi,expiry
2020-01-01,266.5,267.05,264.1,266.5,1782900.0,17327100.0,2020-01-30
2020-01-02,266.3,271.35,265.8,270.5,5451600.0,17976000.0,2020-01-30
2020-01-03,266.1,266.85,261.45,263.5,8708700.0,18272100.0,2020-01-30
2020-01-06,260.0,260.5,244.55,245.3,17950800.0,16827300.0,2020-01-30
2020-01-07,248.1,254.5,240.2,242.95,18047400.0,17526600.0,2020-01-30
2020-01-08,238.0,244.2,235.5,242.95,12003600.0,17448900.0,2020-01-30
2020-01-09,251.0,254.25,247.5,253.2,11818800.0,16426200.0,2020-01-30
2020-01-10,253.75,256.65,251.2,253.6,8225700.0,16048200.0,2020-01-30
2020-01-13,254.5,257.55,253.0,253.4,4082400.0,16304400.0,2020-01-30
2020-01-14,256.3,258.75,254.25,255.4,4628400.0,16239300.0,2020-01-30
2020-01-15,254.5,258.4,253.0,257.2,4668300.0,15737400.0,2020-01-30
2020-01-16,257.9,258.1,250.35,251.3,6079500.0,16130100.0,2020-01-30
2020-01-17,248.95,253.55,247.85,250.7,6056400.0,16436700.0,2020-01-30
2020-01-20,251.25,255.55,247.85,249.55,7854000.0,16514400.0,2020-01-30
2020-01-21,249.3,252.7,248.5,249.85,3834600.0,16417800.0,2020-01-30
2020-01-22,251.4,252.65,244.7,245.7,5919900.0,16386300.0,2020-01-30
2020-01-23,248.3,252.1,244.45,247.65,9941400.0,16384200.0,2020-01-30
2020-01-24,248.75,250.25,244.65,245.45,6858600.0,15981000.0,2020-01-30
2020-01-27,246.25,247.2,240.7,241.4,8158500.0,15269100.0,2020-01-30
2020-01-28,242.65,245.55,241.6,242.75,10224900.0,11621400.0,2020-01-30
2020-01-29,242.75,246.6,240.25,243.85,9725100.0,14193900.0,2020-02-27
2020-01-30,245.5,245.5,237.0,238.0,7394100.0,17545500.0,2020-02-27
2020-01-31,238.6,239.5,228.55,230.7,7087500.0,18309900.0,2020-02-27
2020-02-03,225.65,227.9,219.4,221.5,7186200.0,18005400.0,2020-02-27
2020-02-04,225.8,231.9,223.8,230.05,7501200.0,17910900.0,2020-02-27
