date,open,high,low,close,volume,oi,expiry
2020-10-30,1235.0,1245.05,1220.1,1240.8,89250.0,55675.0,2020-11-26
2020-11-02,1230.7,1252.85,1222.1,1230.1,94350.0,105825.0,2020-11-26
2020-11-03,1267.95,1267.95,1228.5,1231.0,97325.0,125375.0,2020-11-26
2020-11-04,1233.4,1243.0,1221.05,1233.95,89250.0,121550.0,2020-11-26
2020-11-05,1237.15,1270.0,1235.55,1247.0,110925.0,120700.0,2020-11-26
2020-11-06,1245.9,1278.0,1245.85,1264.6,71825.0,133450.0,2020-11-26
2020-11-09,1273.9,1289.95,1257.75,1277.0,96475.0,143225.0,2020-11-26
2020-11-10,1265.0,1291.95,1263.0,1272.35,69700.0,150025.0,2020-11-26
2020-11-11,1280.95,1283.75,1246.8,1271.7,136000.0,175100.0,2020-11-26
2020-11-12,1271.95,1271.95,1251.25,1264.15,118575.0,209950.0,2020-11-26
2020-11-13,1262.35,1310.0,1257.35,1302.8,515525.0,433075.0,2020-11-26
2020-11-17,1305.0,1342.45,1289.35,1332.15,660025.0,408425.0,2020-11-26
2020-11-18,1335.0,1335.0,1281.35,1313.9,252450.0,404175.0,2020-11-26
2020-11-19,1296.6,1350.05,1286.05,1294.65,303025.0,393975.0,2020-11-26
2020-11-20,1297.75,1389.55,1297.75,1360.1,499800.0,428400.0,2020-11-26
2020-11-23,1364.2,1380.85,1347.25,1353.0,252875.0,379100.0,2020-11-26
2020-11-24,1359.85,1386.55,1350.0,1374.5,434775.0,436900.0,2020-11-26
2020-11-25,1374.5,1401.65,1374.5,1386.15,514675.0,478125.0,2020-12-31
2020-11-26,1391.05,1466.6999999999998,1391.0,1458.1999999999998,869975.0,652800.0,2020-12-31
2020-11-27,1478.6,1478.6,1424.25,1450.1,632825.0,694875.0,2020-12-31
2020-12-01,1472.3,1504.75,1455.9499999999998,1474.5,475150.0,731000.0,2020-12-31
2020-12-02,1483.1999999999998,1530.65,1478.1999999999998,1520.55,433925.0,725900.0,2020-12-31
2020-12-03,1515.75,1525.1,1483.05,1487.4,551650.0,673625.0,2020-12-31
2020-12-04,1487.4,1498.4499999999998,1437.15,1453.85,437750.0,698275.0,2020-12-31
2020-12-07,1438.85,1452.85,1435.85,1445.55,195925.0,692750.0,2020-12-31
2020-12-08,1453.75,1476.9,1442.85,1467.4499999999998,331075.0,671925.0,2020-12-31
2020-12-09,1472.3,1510.8,1445.25,1454.15,532100.0,705925.0,2020-12-31
2020-12-10,1451.3,1461.5,1420.85,1453.4,327675.0,731425.0,2020-12-31
2020-12-11,1454.1,1473.8,1442.35,1466.55,328100.0,678725.0,2020-12-31
2020-12-14,1474.85,1490.75,1467.0,1486.55,337875.0,576725.0,2020-12-31
2020-12-15,1485.85,1503.9,1451.85,1457.5,298775.0,614125.0,2020-12-31
2020-12-16,1457.9,1485.8,1456.05,1478.8,262650.0,567375.0,2020-12-31
2020-12-17,1492.0,1492.15,1463.4,1473.1999999999998,269450.0,603925.0,2020-12-31
2020-12-18,1476.65,1481.65,1448.3,1460.05,174675.0,623050.0,2020-12-31
2020-12-21,1450.9,1476.55,1398.15,1427.65,342975.0,584800.0,2020-12-31
2020-12-22,1435.9499999999998,1468.15,1406.25,1461.4499999999998,235875.0,571625.0,2020-12-31
2020-12-23,1454.05,1475.1999999999998,1444.6999999999998,1458.85,269450.0,641325.0,2020-12-31
2020-12-24,1458.35,1495.75,1458.35,1484.6,415225.0,635800.0,2020-12-31
2020-12-28,1494.8,1514.4,1490.75,1497.85,401200.0,575450.0,2020-12-31
2020-12-29,1488.4499999999998,1514.35,1480.85,1504.05,369325.0,462825.0,2020-12-31
2020-12-30,1504.05,1532.9,1490.9,1504.0,399925.0,342125.0,2021-01-28
2020-12-31,1504.2,1517.2,1484.65,1509.95,558025.0,551650.0,2021-01-28
2021-01-01,1509.1,1517.95,1492.65,1514.35,123675.0,567800.0,2021-01-28
2021-01-04,1514.05,1544.0,1513.75,1541.4,269450.0,563975.0,2021-01-28
2021-01-05,1527.1,1583.45,1526.1,1574.5,281350.0,552925.0,2021-01-28
2021-01-06,1583.6,1614.05,1562.65,1602.5,498950.0,529125.0,2021-01-28
2021-01-07,1606.05,1606.65,1557.25,1564.3,395250.0,554625.0,2021-01-28
2021-01-08,1568.05,1606.05,1548.65,1597.3,348925.0,578425.0,2021-01-28
2021-01-11,1591.1,1613.05,1580.0,1601.25,257975.0,578425.0,2021-01-28
2021-01-12,1592.6,1608.2,1551.2,1559.55,300475.0,646000.0,2021-01-28
2021-01-13,1556.2,1577.85,1527.1,1542.85,266050.0,685525.0,2021-01-28
2021-01-14,1553.4,1557.3,1526.05,1547.4,158100.0,684250.0,2021-01-28
2021-01-15,1554.9,1567.9,1521.6,1542.0,211225.0,666400.0,2021-01-28
2021-01-18,1538.05,1544.9,1496.05,1516.1,239700.0,671500.0,2021-01-28
2021-01-19,1522.5,1547.95,1501.2,1503.6,388025.0,781575.0,2021-01-28
2021-01-20,1484.5,1493.65,1441.05,1484.4,1198500.0,773925.0,2021-01-28
2021-01-21,1502.35,1508.0,1446.65,1454.45,413525.0,806225.0,2021-01-28
2021-01-22,1460.95,1467.25,1409.05,1426.05,354450.0,778175.0,2021-01-28
2021-01-25,1414.7,1440.75,1380.1,1428.0,391425.0,699550.0,2021-01-28
2021-01-27,1428.0,1428.0,1373.55,1383.5,915025.0,956250.0,2021-02-25
2021-01-28,1389.85,1395.95,1370.05,1376.05,575025.0,1213800.0,2021-02-25
2021-01-29,1386.85,1394.0,1306.0,1321.0,476425.0,1312825.0,2021-02-25
2021-02-01,1333.6,1384.0,1296.4,1372.2,1085025.0,1296675.0,2021-02-25
2021-02-02,1395.3,1421.85,1378.0,1391.6,776900.0,1323450.0,2021-02-25
2021-02-03,1392.0,1467.75,1392.0,1437.9,752675.0,1345125.0,2021-02-25
2021-02-04,1455.95,1480.45,1410.1,1469.75,526150.0,1428000.0,2021-02-25
2021-02-05,1485.7,1488.0,1449.05,1466.9,492150.0,1331525.0,2021-02-25
2021-02-08,1477.75,1485.0,1461.2,1475.85,211650.0,1274150.0,2021-02-25
2021-02-09,1482.95,1541.9,1455.3,1522.05,1098200.0,1303050.0,2021-02-25
2021-02-10,1536.95,1536.95,1471.5,1500.9,916300.0,1122850.0,2021-02-25
2021-02-11,1498.0,1510.9,1488.0,1499.1,322150.0,1098200.0,2021-02-25
2021-02-12,1506.4,1509.15,1486.1,1495.45,228225.0,1013200.0,2021-02-25
2021-02-15,1496.6,1503.4,1476.0,1497.15,393125.0,948175.0,2021-02-25
2021-02-16,1503.8,1518.95,1486.2,1505.3,291125.0,941375.0,2021-02-25
2021-02-17,1503.95,1542.0,1493.05,1497.5,526150.0,945200.0,2021-02-25
2021-02-18,1507.85,1516.5,1486.0,1494.55,297925.0,887400.0,2021-02-25
2021-02-19,1498.6,1516.0,1483.95,1493.25,262225.0,834700.0,2021-02-25
2021-02-22,1486.75,1488.95,1449.0,1462.95,331500.0,762875.0,2021-02-25
2021-02-23,1464.45,1511.0,1464.45,1494.85,696150.0,789650.0,2021-02-25
2021-02-24,1494.85,1501.65,1471.7499999999998,1490.4999999999998,164900.0,626025.0,2021-03-25
2021-02-25,1498.6999999999998,1517.1999999999998,1477.1999999999998,1486.7499999999998,405875.0,797725.0,2021-03-25
2021-02-26,1484.6,1484.6,1386.9499999999998,1426.9,708900.0,1000025.0,2021-03-25
2021-03-01,1436.5499999999995,1456.6999999999998,1409.1999999999998,1430.4499999999998,217600.0,903550.0,2021-03-25
2021-03-02,1438.7499999999998,1466.6999999999998,1427.2499999999998,1437.1999999999998,198900.0,935850.0,2021-03-25
2021-03-03,1439.0499999999995,1506.4499999999998,1439.0499999999995,1497.4999999999998,337025.0,923525.0,2021-03-25
2021-03-04,1496.6999999999998,1499.6999999999998,1462.4499999999998,1473.6,211650.0,906950.0,2021-03-25
2021-03-05,1475.65,1500.15,1452.7499999999998,1492.1,354450.0,874650.0,2021-03-25
2021-03-08,1496.9499999999998,1532.7499999999998,1476.4999999999998,1481.4999999999998,566100.0,928625.0,2021-03-25
2021-03-09,1483.2499999999998,1489.6999999999998,1438.6999999999998,1467.9,362525.0,957525.0,2021-03-25
2021-03-10,1467.85,1482.15,1448.35,1469.9999999999998,263925.0,948175.0,2021-03-25
2021-03-12,1481.5499999999995,1508.6999999999998,1459.6999999999998,1467.6,519350.0,949875.0,2021-03-25
2021-03-15,1474.0499999999995,1476.6999999999998,1454.5499999999995,1463.0499999999995,285175.0,937550.0,2021-03-25
2021-03-16,1469.6999999999998,1510.6999999999998,1468.6999999999998,1487.9499999999998,422450.0,898875.0,2021-03-25
2021-03-17,1491.6999999999998,1503.1999999999998,1448.6999999999998,1468.9,375275.0,889100.0,2021-03-25
2021-03-18,1484.4499999999998,1484.6999999999998,1436.9499999999998,1440.7499999999998,400775.0,903975.0,2021-03-25
2021-03-19,1417.7499999999998,1445.6,1400.6999999999998,1438.9499999999998,266475.0,912900.0,2021-03-25
2021-03-22,1437.2499999999998,1459.7999999999995,1431.7999999999995,1436.1999999999998,275825.0,946050.0,2021-03-25
2021-03-23,1455.7999999999995,1458.6999999999998,1432.7999999999995,1439.1,490450.0,694025.0,2021-03-25
2021-03-24,1439.1,1453.15,1413.15,1415.4,593300.0,872950.0,2021-04-29
2021-03-25,1418.9,1423.5,1390.05,1398.05,345950.0,984725.0,2021-04-29
2021-03-26,1418.1,1425.5,1401.7,1412.7,231200.0,982600.0,2021-04-29
2021-03-30,1421.75,1447.05,1408.05,1440.0,232050.0,1014900.0,2021-04-29
2021-03-31,1439.05,1454.85,1430.45,1442.65,185300.0,1000025.0,2021-04-29
2021-04-01,1448.05,1456.05,1418.65,1444.65,235025.0,973250.0,2021-04-29
2021-04-05,1444.05,1457.55,1405.1,1416.95,198900.0,980050.0,2021-04-29
2021-04-06,1430.2,1446.2,1418.9,1432.55,128350.0,955400.0,2021-04-29
2021-04-07,1444.8,1464.6,1432.05,1454.0,218025.0,926075.0,2021-04-29
2021-04-08,1454.0,1471.05,1436.05,1440.2,248200.0,983450.0,2021-04-29
2021-04-09,1435.05,1449.95,1416.65,1430.55,249050.0,1034450.0,2021-04-29
2021-04-12,1420.3,1420.3,1332.45,1356.8,391425.0,1062500.0,2021-04-29
2021-04-13,1383.65,1385.65,1352.15,1372.0,244375.0,1116900.0,2021-04-29
2021-04-15,1371.05,1400.0,1341.1,1392.1,401200.0,1146650.0,2021-04-29
2021-04-16,1382.05,1428.75,1382.05,1420.05,490025.0,1109675.0,2021-04-29
2021-04-19,1390.1,1390.1,1338.25,1363.2,620500.0,1053150.0,2021-04-29
2021-04-20,1390.2,1418.55,1368.3,1402.65,409275.0,1056975.0,2021-04-29
2021-04-22,1389.3,1403.7,1374.1,1379.9,228225.0,1087575.0,2021-04-29
2021-04-23,1376.0,1405.0,1374.0,1385.65,301325.0,1067600.0,2021-04-29
2021-04-26,1397.55,1460.05,1392.35,1452.5,1091825.0,1074400.0,2021-04-29
2021-04-27,1463.3,1465.95,1423.05,1444.9,568650.0,804100.0,2021-04-29
2021-04-28,1444.9,1449.0,1422.35,1425.45,516375.0,926925.0,2021-05-27
2021-04-29,1430.55,1443.55,1414.15,1419.2,342975.0,1091400.0,2021-05-27
2021-04-30,1404.4,1424.9,1400.15,1414.95,244800.0,1116475.0,2021-05-27
2021-05-03,1399.15,1443.4,1388.4,1435.45,417350.0,1122850.0,2021-05-27
2021-05-04,1439.3,1472.65,1426.35,1443.25,437750.0,1135600.0,2021-05-27
2021-05-05,1453.55,1473.55,1439.15,1452.5,338725.0,1136025.0,2021-05-27
2021-05-06,1453.5,1480.55,1452.55,1455.9,253300.0,1147925.0,2021-05-27
2021-05-07,1463.5,1466.4,1444.6,1452.35,217175.0,1168325.0,2021-05-27
2021-05-10,1452.35,1501.45,1452.35,1498.9,516800.0,1209550.0,2021-05-27
2021-05-11,1484.85,1513.6,1468.55,1484.15,352325.0,1216350.0,2021-05-27
2021-05-12,1466.9,1492.4,1462.1,1479.4,263925.0,1204450.0,2021-05-27
2021-05-14,1481.55,1513.35,1458.45,1468.6,386325.0,1191275.0,2021-05-27
2021-05-17,1466.55,1492.95,1432.4,1471.8,320875.0,1162800.0,2021-05-27
2021-05-18,1473.5,1507.45,1467.55,1489.1,227800.0,1167050.0,2021-05-27
2021-05-19,1494.4,1506.85,1474.75,1500.4,316200.0,1139000.0,2021-05-27
2021-05-20,1512.1,1545.55,1500.1,1524.25,736100.0,1139425.0,2021-05-27
2021-05-21,1539.45,1545.55,1499.8,1521.6,401200.0,1082475.0,2021-05-27
2021-05-24,1532.25,1550.45,1483.15,1488.5,595425.0,935000.0,2021-05-27
2021-05-25,1498.65,1498.65,1456.75,1471.7,753950.0,864450.0,2021-05-27
2021-05-26,1471.7,1489.85,1456.3,1467.0,471325.0,890375.0,2021-06-24
2021-05-27,1458.8,1461.3,1421.85,1442.5,529125.0,1150475.0,2021-06-24
2021-05-28,1455.75,1565.65,1455.75,1482.15,1643475.0,1063775.0,2021-06-24
2021-05-31,1492.7,1492.7,1446.4,1466.1,535500.0,1064625.0,2021-06-24
2021-06-01,1477.7,1486.75,1455.95,1461.05,267325.0,1059525.0,2021-06-24
2021-06-02,1458.95,1474.1,1453.05,1462.95,606050.0,1031900.0,2021-06-24
2021-06-03,1472.7,1477.7,1463.2,1468.45,239275.0,1078225.0,2021-06-24
2021-06-04,1465.05,1465.05,1434.25,1442.9,737375.0,1231650.0,2021-06-24
2021-06-07,1442.85,1448.3,1430.25,1441.15,374000.0,1295400.0,2021-06-24
2021-06-08,1444.85,1464.75,1430.75,1462.3,546550.0,1345550.0,2021-06-24
2021-06-09,1466.3,1482.45,1453.25,1463.2,524450.0,1291575.0,2021-06-24
2021-06-10,1467.75,1498.7,1461.1,1491.05,554200.0,1260975.0,2021-06-24
2021-06-11,1497.75,1511.65,1483.55,1502.9,460700.0,1224425.0,2021-06-24
2021-06-14,1504.4,1518.95,1477.8,1496.25,581825.0,1175550.0,2021-06-24
2021-06-15,1499.75,1509.0,1490.3,1496.75,252450.0,1195100.0,2021-06-24
2021-06-16,1497.95,1574.75,1497.25,1507.9,1444575.0,1199775.0,2021-06-24
2021-06-17,1503.75,1518.9,1477.5,1495.6,546975.0,1198500.0,2021-06-24
2021-06-18,1507.5,1526.45,1472.85,1520.5,502775.0,1076525.0,2021-06-24
2021-06-21,1517.6,1553.3,1511.15,1516.3,550800.0,957525.0,2021-06-24
2021-06-22,1523.95,1540.25,1511.9,1515.9,681275.0,643450.0,2021-06-24
2021-06-23,1515.9,1537.5000000000002,1508.3000000000002,1524.2,659600.0,918850.0,2021-07-29
2021-06-24,1525.1,1529.1,1507.9,1511.3000000000002,382925.0,1035725.0,2021-07-29
2021-06-25,1514.9,1544.8000000000002,1508.95,1534.2500000000002,358700.0,1068450.0,2021-07-29
2021-06-28,1543.5000000000002,1597.0500000000002,1542.1,1582.2,942225.0,1093950.0,2021-07-29
2021-06-29,1566.7500000000002,1593.1,1557.0000000000002,1562.85,532525.0,1025950.0,2021-07-29
2021-06-30,1556.4,1579.1,1544.45,1552.2500000000002,294100.0,980050.0,2021-07-29
2021-07-01,1563.1,1575.9,1543.1,1547.0500000000002,432650.0,1016175.0,2021-07-29
2021-07-02,1555.85,1560.2500000000002,1534.5500000000002,1541.1,255425.0,1049750.0,2021-07-29
2021-07-05,1554.7,1591.0500000000002,1539.1,1548.35,559300.0,1048475.0,2021-07-29
2021-07-06,1561.0500000000002,1568.0500000000002,1544.8000000000002,1549.5000000000002,263075.0,985575.0,2021-07-29
2021-07-07,1546.0000000000002,1576.1,1536.8000000000002,1570.2500000000002,345525.0,961775.0,2021-07-29
2021-07-08,1577.0500000000002,1586.1,1546.3000000000002,1554.15,313225.0,966450.0,2021-07-29
2021-07-09,1542.3000000000002,1556.7,1537.0500000000002,1549.85,154275.0,932450.0,2021-07-29
2021-07-12,1556.0500000000002,1579.0000000000002,1556.0500000000002,1565.8000000000002,274550.0,943500.0,2021-07-29
2021-07-13,1576.0500000000002,1576.0500000000002,1525.9,1528.15,324275.0,988125.0,2021-07-29
2021-07-14,1529.7500000000002,1531.1,1503.5000000000002,1517.2500000000002,677875.0,1047200.0,2021-07-29
2021-07-15,1523.65,1535.5000000000002,1519.7,1531.45,300475.0,1013625.0,2021-07-29
2021-07-16,1535.6,1540.5500000000002,1506.1,1509.3000000000002,450925.0,1113500.0,2021-07-29
2021-07-19,1510.3000000000002,1518.0000000000002,1469.1,1475.2500000000002,542300.0,1124550.0,2021-07-29
2021-07-20,1468.1,1472.4,1451.9,1461.8000000000002,362525.0,1089275.0,2021-07-29
2021-07-22,1472.0500000000002,1538.1,1468.1,1528.15,1016600.0,1121575.0,2021-07-29
2021-07-23,1491.1,1494.8000000000002,1453.1,1466.15,1668550.0,1102450.0,2021-07-29
2021-07-26,1467.35,1467.35,1436.35,1439.2500000000002,527850.0,962200.0,2021-07-29
2021-07-27,1439.2500000000002,1449.3000000000002,1425.7,1445.5500000000002,753950.0,862325.0,2021-08-26
2021-07-28,1445.5000000000002,1476.2500000000002,1439.2,1470.6,817275.0,1188725.0,2021-08-26
2021-07-29,1474.5500000000002,1478.35,1456.5000000000002,1469.2,657050.0,1323875.0,2021-08-26
2021-07-30,1470.35,1484.45,1445.35,1448.8000000000002,585650.0,1319200.0,2021-08-26
2021-08-02,1457.45,1462.85,1423.2,1432.95,507025.0,1518100.0,2021-08-26
2021-08-03,1429.8000000000002,1439.3000000000002,1421.7500000000002,1427.3000000000002,385475.0,1626050.0,2021-08-26
2021-08-04,1427.15,1448.35,1418.4,1421.3000000000002,505750.0,1658775.0,2021-08-26
2021-08-05,1425.0000000000002,1437.8000000000002,1413.5500000000002,1423.0000000000002,689350.0,1781600.0,2021-08-26
2021-08-06,1430.7500000000002,1432.0500000000002,1415.7500000000002,1419.6,311950.0,1861925.0,2021-08-26
2021-08-09,1422.7500000000002,1432.0500000000002,1402.45,1411.85,396950.0,1873400.0,2021-08-26
2021-08-10,1412.35,1424.85,1393.15,1409.3000000000002,396525.0,1846200.0,2021-08-26
2021-08-11,1411.45,1419.35,1381.5500000000002,1415.7,521900.0,1882325.0,2021-08-26
2021-08-12,1411.1,1433.2500000000002,1401.7,1425.2500000000002,476425.0,1894650.0,2021-08-26
2021-08-13,1428.2,1438.35,1417.15,1422.8000000000002,398650.0,1861500.0,2021-08-26
2021-08-16,1422.3000000000002,1432.95,1403.0500000000002,1413.2500000000002,410125.0,1871700.0,2021-08-26
2021-08-17,1420.2,1429.9,1406.95,1423.5000000000002,369325.0,1848750.0,2021-08-26
2021-08-18,1435.2500000000002,1459.35,1422.95,1452.85,762875.0,1862775.0,2021-08-26
2021-08-20,1421.9,1465.3000000000002,1421.9,1441.6,663850.0,1737400.0,2021-08-26
2021-08-23,1447.15,1460.35,1430.4,1457.5500000000002,840225.0,1380400.0,2021-08-26
2021-08-24,1457.5500000000002,1458.0000000000002,1371.0500000000002,1384.8000000000002,897600.0,1267775.0,2021-09-30
2021-08-25,1385.0500000000002,1397.5500000000002,1375.5000000000002,1382.5000000000002,701675.0,1570375.0,2021-09-30
2021-08-26,1371.5500000000002,1406.85,1368.0500000000002,1389.6,1232075.0,1925675.0,2021-09-30
2021-08-27,1403.0500000000002,1482.35,1395.0500000000002,1474.5500000000002,2433550.0,1926525.0,2021-09-30
2021-08-30,1484.5000000000002,1518.0500000000002,1480.0500000000002,1504.8000000000002,1243975.0,1867875.0,2021-09-30
2021-08-31,1500.8000000000002,1516.0500000000002,1487.1,1509.8000000000002,543150.0,1919725.0,2021-09-30
2021-09-01,1520.6,1571.0500000000002,1519.85,1549.65,950725.0,1991125.0,2021-09-30
2021-09-02,1544.7500000000002,1575.15,1513.0500000000002,1548.35,864875.0,1995375.0,2021-09-30
2021-09-03,1545.2000000000005,1561.0500000000002,1533.0500000000002,1548.2500000000002,335325.0,1952025.0,2021-09-30
2021-09-06,1556.35,1556.4500000000005,1480.6,1482.8000000000002,1218900.0,2206600.0,2021-09-30
2021-09-07,1492.7000000000005,1512.5500000000002,1479.15,1505.65,779025.0,2175150.0,2021-09-30
2021-09-08,1512.85,1536.4500000000005,1493.8000000000002,1532.2500000000002,675325.0,2162825.0,2021-09-30
2021-09-09,1532.0500000000002,1541.4500000000005,1518.0000000000002,1536.7500000000002,360825.0,2149225.0,2021-09-30
2021-09-13,1533.0500000000002,1567.0500000000002,1525.15,1549.65,609450.0,2162400.0,2021-09-30
2021-09-14,1534.5000000000002,1541.2500000000002,1491.0500000000002,1528.4,1102875.0,2176850.0,2021-09-30
2021-09-15,1522.0000000000002,1542.35,1506.5500000000002,1526.7500000000002,878900.0,2282250.0,2021-09-30
2021-09-16,1536.0500000000002,1542.9500000000005,1519.2000000000005,1528.0500000000002,673625.0,2260150.0,2021-09-30
2021-09-17,1526.5000000000002,1531.5500000000002,1513.15,1519.5500000000002,643875.0,2287775.0,2021-09-30
2021-09-20,1506.9,1568.0500000000002,1496.0500000000002,1538.15,1028075.0,2225300.0,2021-09-30
2021-09-21,1526.5000000000002,1554.0500000000002,1516.5000000000002,1549.5500000000002,449650.0,2159850.0,2021-09-30
2021-09-22,1553.4500000000005,1585.9,1534.0500000000002,1542.4500000000005,1038275.0,2223600.0,2021-09-30
2021-09-23,1544.8000000000002,1550.9500000000005,1477.0500000000002,1483.5000000000002,2548300.0,2477325.0,2021-09-30
2021-09-24,1500.0500000000002,1519.4,1485.15,1496.15,1905275.0,2320075.0,2021-09-30
2021-09-27,1509.3000000000002,1512.5500000000002,1465.0500000000002,1475.2000000000005,1507475.0,2335800.0,2021-09-30
2021-09-28,1474.5500000000002,1484.9500000000005,1460.35,1475.4500000000005,1400800.0,1588225.0,2021-09-30
2021-09-29,1475.4500000000005,1521.1,1466.3000000000002,1516.9000000000003,1672375.0,1930350.0,2021-10-28
2021-09-30,1516.2000000000005,1543.2000000000005,1505.8000000000002,1514.35,1163650.0,2196825.0,2021-10-28
2021-10-01,1511.8000000000002,1543.2500000000002,1483.3000000000002,1508.4000000000003,818550.0,2259300.0,2021-10-28
2021-10-04,1505.2500000000002,1527.2500000000002,1485.1,1498.0000000000002,1250775.0,2466275.0,2021-10-28
2021-10-05,1466.9500000000005,1511.6500000000003,1464.5000000000002,1476.1500000000003,3966950.0,3265275.0,2021-10-28
2021-10-06,1479.5500000000002,1485.5000000000002,1464.3000000000002,1471.3000000000002,1078650.0,3355800.0,2021-10-28
2021-10-07,1481.2000000000005,1484.5500000000002,1454.35,1470.5500000000002,974525.0,3406800.0,2021-10-28
2021-10-08,1472.3000000000002,1472.3000000000002,1445.6,1454.85,906525.0,3582750.0,2021-10-28
2021-10-11,1456.4000000000003,1467.2500000000002,1443.1,1462.0000000000002,735250.0,3500300.0,2021-10-28
2021-10-12,1462.1,1469.35,1444.85,1458.35,409275.0,3493925.0,2021-10-28
2021-10-13,1459.9500000000005,1465.2500000000002,1439.6,1445.85,694025.0,3604425.0,2021-10-28
2021-10-14,1441.0000000000002,1454.5500000000002,1436.2500000000002,1442.8000000000002,436900.0,3620150.0,2021-10-28
2021-10-18,1453.2000000000005,1463.6500000000003,1441.5500000000002,1443.6,473875.0,3596775.0,2021-10-28
2021-10-19,1446.3000000000002,1465.2500000000002,1436.7500000000002,1449.7500000000002,737375.0,3525800.0,2021-10-28
2021-10-20,1450.4000000000003,1457.5000000000002,1419.8000000000002,1429.4500000000005,1192550.0,3388100.0,2021-10-28
2021-10-21,1433.6500000000003,1447.9500000000005,1404.8000000000002,1424.9000000000003,565675.0,3342200.0,2021-10-28
2021-10-22,1439.1,1450.9500000000005,1411.0000000000002,1422.1,1094375.0,3074450.0,2021-10-28
2021-10-25,1421.4000000000003,1423.4500000000005,1394.8000000000002,1416.4500000000005,803250.0,2818600.0,2021-10-28
2021-10-26,1413.9500000000005,1435.9500000000005,1412.8000000000002,1425.4000000000003,962200.0,2159000.0,2021-10-28
2021-10-27,1425.4000000000003,1433.8000000000004,1407.4000000000003,1410.1000000000004,1479000.0,2280975.0,2021-11-25
