date,open,high,low,close,volume,oi,expiry
2020-01-01,738.7,745.0,735.0,741.15,5738400.0,27747600.0,2020-01-30
2020-01-02,741.55,744.3,735.7,739.15,8008800.0,29109600.0,2020-01-30
2020-01-03,738.6,748.4,737.9,746.6,13465200.0,28036800.0,2020-01-30
2020-01-06,747.0,754.0,738.05,742.55,10910400.0,28635600.0,2020-01-30
2020-01-07,739.8,745.95,726.5,729.35,17293200.0,29047200.0,2020-01-30
2020-01-08,725.6,731.5,710.75,720.95,17812800.0,28196400.0,2020-01-30
2020-01-09,725.6,734.9,717.05,730.9,21812400.0,31172400.0,2020-01-30
2020-01-10,741.25,745.35,733.4,740.95,21284400.0,31638000.0,2020-01-30
2020-01-13,760.0,778.3,755.9,775.05,48889200.0,31320000.0,2020-01-30
2020-01-14,769.0,778.0,768.8,776.9,15339600.0,30538800.0,2020-01-30
2020-01-15,774.0,774.7,764.0,769.05,9704400.0,30295200.0,2020-01-30
2020-01-16,772.3,773.6,763.1,769.0,7760400.0,30159600.0,2020-01-30
2020-01-17,770.8,775.1,763.7,768.95,7088400.0,29497200.0,2020-01-30
2020-01-20,772.9,775.5,765.0,770.85,6538800.0,28639200.0,2020-01-30
2020-01-21,768.85,772.2,763.2,763.95,5584800.0,27315600.0,2020-01-30
2020-01-22,770.7,780.35,768.15,772.85,15139200.0,26245200.0,2020-01-30
2020-01-23,779.1,787.65,778.8,786.3,16568400.0,26617200.0,2020-01-30
2020-01-24,778.4,788.7,775.45,784.65,13242000.0,24813600.0,2020-01-30
2020-01-27,780.65,786.0,775.7,779.5,7591200.0,22962000.0,2020-01-30
2020-01-28,782.2,782.3,773.25,779.3,13543200.0,16713600.0,2020-01-30
2020-01-29,779.3,786.55,778.4,783.05,10647600.0,18126000.0,2020-02-27
2020-01-30,780.9499999999999,781.15,771.75,773.85,11961600.0,24451200.0,2020-02-27
2020-01-31,775.75,778.6,765.25,769.1999999999999,6640800.0,25752000.0,2020-02-27
2020-02-03,775.8,783.65,756.5,759.8,10214400.0,28308000.0,2020-02-27
2020-02-04,764.4499999999999,779.1,763.15,778.1,9297600.0,29563200.0,2020-02-27
2020-02-05,773.15,778.15,766.25,776.75,7254000.0,30274800.0,2020-02-27
2020-02-06,775.9499999999999,779.1,762.4,763.6999999999999,8034000.0,31743600.0,2020-02-27
2020-02-07,766.25,770.6,763.15,769.4499999999999,5072400.0,32004000.0,2020-02-27
2020-02-10,765.55,768.8,760.8,764.15,3940800.0,32288400.0,2020-02-27
2020-02-11,768.85,769.75,761.55,765.4499999999999,4008000.0,31750800.0,2020-02-27
2020-02-12,768.05,775.6999999999999,766.65,773.1999999999999,5616000.0,31347600.0,2020-02-27
2020-02-13,776.6999999999999,784.9499999999999,774.15,783.75,10064400.0,32416800.0,2020-02-27
2020-02-14,784.65,790.9,776.75,778.3,8703600.0,31700400.0,2020-02-27
2020-02-17,782.1,783.75,774.6999999999999,781.25,4910400.0,31239600.0,2020-02-27
2020-02-18,774.6,788.9499999999999,774.6,787.85,7327200.0,31190400.0,2020-02-27
2020-02-19,800.9,800.9,787.1999999999999,791.0,5346000.0,30205200.0,2020-02-27
2020-02-20,795.15,796.3,783.65,786.1999999999999,6868800.0,29538000.0,2020-02-27
2020-02-24,790.75,800.4499999999999,783.35,786.65,12861600.0,27205200.0,2020-02-27
2020-02-25,789.9499999999999,795.4499999999999,785.15,788.85,9439200.0,24019200.0,2020-02-27
2020-02-26,781.85,789.55,770.25,772.1,15268800.0,20395200.0,2020-02-27
2020-02-27,772.1,775.3000000000001,766.2,770.95,20658000.0,24625200.0,2020-03-26
2020-02-28,747.1,750.3000000000001,715.95,722.2,15399600.0,24999600.0,2020-03-26
2020-03-02,727.1,756.75,726.7,734.5,11713200.0,24412800.0,2020-03-26
2020-03-03,747.5500000000001,751.45,733.8000000000001,741.95,8774400.0,24708000.0,2020-03-26
2020-03-04,747.45,754.35,739.1,751.35,9631200.0,25598400.0,2020-03-26
2020-03-05,758.9,767.1,747.1,749.5,8860800.0,27004800.0,2020-03-26
2020-03-06,735.75,738.1,720.5500000000001,728.0500000000001,11355600.0,27151200.0,2020-03-26
2020-03-09,711.7,715.8000000000001,691.4,699.2,13755600.0,25640400.0,2020-03-26
2020-03-11,680.9,686.45,661.35,677.8000000000001,17772000.0,25940400.0,2020-03-26
2020-03-12,658.65,662.1,620.15,623.65,15043200.0,26384400.0,2020-03-26
2020-03-13,592.45,658.95,551.1,634.75,16351200.0,26564400.0,2020-03-26
2020-03-16,612.4,615.95,567.75,572.45,21002400.0,28130400.0,2020-03-26
2020-03-17,579.95,580.65,540.95,546.2,19398000.0,27872400.0,2020-03-26
2020-03-18,562.4,568.7,520.95,527.3000000000001,17024400.0,29712000.0,2020-03-26
2020-03-19,504.7000000000001,551.0,504.65,537.65,18375600.0,29193600.0,2020-03-26
2020-03-20,537.35,606.85,537.3000000000001,578.45,24050400.0,25665600.0,2020-03-26
2020-03-23,532.0,547.0,504.1,517.75,22526400.0,25335600.0,2020-03-26
2020-03-24,517.75,596.6,517.75,583.35,28621200.0,21582000.0,2020-03-26
2020-03-25,583.35,620.35,552.6,596.45,16591200.0,25105200.0,2020-04-30
2020-03-26,606.5500000000001,638.2,603.0,631.95,16070400.0,27876000.0,2020-04-30
2020-03-27,648.4,661.75,629.8000000000001,639.8000000000001,13880400.0,29940000.0,2020-04-30
2020-03-30,617.15,651.9,607.95,612.65,17420400.0,33841200.0,2020-04-30
2020-03-31,628.9,647.6,618.75,626.1,15843600.0,36794400.0,2020-04-30
2020-04-01,615.75,616.75,576.5,586.15,13846800.0,36019200.0,2020-04-30
2020-04-03,587.45,587.9,565.0,569.45,10086000.0,36015600.0,2020-04-30
2020-04-07,596.5,628.2,596.5,624.35,14281200.0,37438800.0,2020-04-30
2020-04-08,615.8000000000001,639.4,609.6,616.4,10489200.0,37246800.0,2020-04-30
2020-04-09,629.5,637.0500000000001,615.95,619.9,12210000.0,37612800.0,2020-04-30
2020-04-13,613.35,636.0,610.3000000000001,622.5500000000001,10386000.0,38377200.0,2020-04-30
2020-04-15,634.4,638.35,620.4,623.65,12284400.0,38468400.0,2020-04-30
2020-04-16,606.8000000000001,619.6,588.65,610.0,15559200.0,39969600.0,2020-04-30
2020-04-17,624.35,631.35,610.85,614.15,10704000.0,39807600.0,2020-04-30
2020-04-20,622.75,645.35,622.75,635.85,24576000.0,40705200.0,2020-04-30
2020-04-21,610.35,630.25,608.9,616.1,17266800.0,38426400.0,2020-04-30
2020-04-22,614.4,628.65,610.85,625.2,9358800.0,37486800.0,2020-04-30
2020-04-23,629.45,664.85,620.75,660.6,16972800.0,38080800.0,2020-04-30
2020-04-24,645.75,657.25,638.25,640.6,15624000.0,34196400.0,2020-04-30
2020-04-27,645.0,663.1,639.8000000000001,647.5500000000001,15145200.0,27039600.0,2020-04-30
2020-04-28,647.5500000000001,647.5500000000001,626.5000000000001,634.0500000000001,15537600.0,32149200.0,2020-05-28
2020-04-29,638.0000000000001,654.7500000000001,630.6000000000001,649.8500000000001,12784800.0,39757200.0,2020-05-28
2020-04-30,673.5000000000001,691.1500000000001,673.5000000000001,687.8500000000001,22816800.0,49364400.0,2020-05-28
2020-05-04,663.1500000000001,670.7000000000002,642.6000000000001,645.5000000000001,10634400.0,48328800.0,2020-05-28
2020-05-05,650.9000000000001,656.4500000000002,641.5500000000001,645.8000000000001,7485600.0,48792000.0,2020-05-28
2020-05-06,647.5000000000001,653.5000000000001,636.6000000000001,638.4500000000002,7753200.0,49814400.0,2020-05-28
2020-05-07,636.4500000000002,645.3000000000001,634.0000000000001,635.9500000000002,5930400.0,49503600.0,2020-05-28
2020-05-08,645.2500000000001,652.8000000000001,640.2000000000002,645.7000000000002,8290800.0,50654400.0,2020-05-28
2020-05-11,653.3500000000001,669.8000000000001,649.3000000000001,653.8000000000001,8611200.0,51672000.0,2020-05-28
2020-05-12,648.9000000000001,661.4000000000001,645.3500000000001,659.3500000000001,7724400.0,51645600.0,2020-05-28
2020-05-13,659.3000000000001,669.5000000000001,652.6500000000001,663.8500000000001,10234800.0,52351200.0,2020-05-28
2020-05-14,630.0000000000001,640.8000000000001,622.4500000000002,627.4000000000001,21594000.0,49440000.0,2020-05-28
2020-05-15,630.0500000000001,632.9000000000001,616.3500000000001,621.4000000000001,11886000.0,47979600.0,2020-05-28
2020-05-18,624.7500000000001,639.5000000000001,622.9500000000002,632.8000000000001,13657200.0,47709600.0,2020-05-28
2020-05-19,635.0000000000001,644.4500000000002,624.4500000000002,638.7000000000002,7156800.0,48033600.0,2020-05-28
2020-05-20,635.0000000000001,641.4000000000001,629.6000000000001,638.7500000000001,9704400.0,48178800.0,2020-05-28
2020-05-21,638.1000000000001,649.1500000000001,635.2000000000002,640.1000000000001,14140800.0,43984800.0,2020-05-28
2020-05-22,646.6000000000001,662.1500000000001,641.4000000000001,659.3500000000001,23685600.0,38367600.0,2020-05-28
2020-05-26,659.3500000000001,664.9000000000002,643.3500000000001,645.9500000000002,21806400.0,34294800.0,2020-06-25
2020-05-27,650.9500000000002,669.0500000000002,638.1000000000001,667.0500000000002,19756800.0,48120000.0,2020-06-25
2020-05-28,673.4000000000002,673.4000000000002,651.2000000000002,667.1500000000002,17727600.0,53814000.0,2020-06-25
2020-05-29,663.0000000000002,668.7500000000002,652.0500000000002,658.2500000000002,17275200.0,51582000.0,2020-06-25
2020-06-01,666.4000000000002,679.8000000000002,660.3000000000002,672.0500000000002,14991600.0,48199200.0,2020-06-25
2020-06-02,670.6000000000001,684.0500000000002,668.1500000000002,680.5500000000002,7544400.0,47641200.0,2020-06-25
2020-06-03,682.2000000000002,683.9000000000002,671.2000000000002,677.0500000000002,11344800.0,46504800.0,2020-06-25
2020-06-04,674.4500000000002,682.9500000000002,672.1500000000002,681.7500000000002,12061200.0,47137200.0,2020-06-25
2020-06-05,678.9000000000002,684.8500000000001,674.8000000000002,677.8500000000001,11032800.0,46548000.0,2020-06-25
2020-06-08,676.0000000000002,697.9000000000002,675.9500000000002,692.7500000000002,13994400.0,46081200.0,2020-06-25
2020-06-09,695.0500000000002,701.4500000000002,686.8500000000001,689.0500000000002,14001600.0,46452000.0,2020-06-25
2020-06-10,687.9000000000002,691.9500000000002,681.1500000000002,687.9000000000002,9633600.0,47188800.0,2020-06-25
2020-06-11,682.9500000000002,685.9500000000002,672.1500000000002,675.4000000000002,12466800.0,47976000.0,2020-06-25
2020-06-12,649.7000000000002,666.7500000000002,649.6500000000002,663.6000000000001,15921600.0,49826400.0,2020-06-25
2020-06-15,663.5000000000002,675.5500000000002,656.6000000000001,660.8500000000001,11356800.0,49348800.0,2020-06-25
2020-06-16,674.1500000000002,683.7500000000002,671.0500000000002,674.6500000000002,12363600.0,48795600.0,2020-06-25
2020-06-17,671.3500000000001,681.5000000000002,670.1500000000002,674.9500000000002,6739200.0,49249200.0,2020-06-25
2020-06-18,680.2000000000002,688.9500000000002,678.2000000000002,685.7500000000002,8964000.0,48639600.0,2020-06-25
2020-06-19,680.0500000000002,683.0000000000002,673.0500000000002,679.2000000000002,16196400.0,46711200.0,2020-06-25
2020-06-22,680.7000000000002,681.9500000000002,671.3000000000002,675.6500000000002,18200400.0,39363600.0,2020-06-25
2020-06-23,668.2000000000002,697.2500000000002,665.0500000000002,693.5500000000002,26380800.0,33830400.0,2020-06-25
2020-06-24,693.5500000000002,702.6000000000003,686.6500000000002,690.9500000000002,23164800.0,43119600.0,2020-07-30
2020-06-25,678.6000000000003,678.6500000000002,668.4000000000002,673.2000000000002,24056400.0,53014800.0,2020-07-30
2020-06-26,682.0000000000002,721.9500000000002,681.0500000000002,719.3500000000003,29379600.0,52568400.0,2020-07-30
2020-06-29,709.1000000000003,716.6500000000002,701.8500000000003,703.3000000000002,13782000.0,52437600.0,2020-07-30
2020-06-30,705.5500000000002,709.1500000000002,696.1500000000002,706.2500000000002,12392400.0,52846800.0,2020-07-30
2020-07-01,709.0500000000002,715.0500000000002,705.4000000000002,707.5500000000002,7695600.0,51717600.0,2020-07-30
2020-07-02,708.3500000000003,738.9500000000002,708.3500000000003,730.1000000000003,20642400.0,51342000.0,2020-07-30
2020-07-03,729.2500000000002,737.4500000000002,725.7500000000002,736.0000000000002,8715600.0,51135600.0,2020-07-30
2020-07-06,739.0500000000002,747.4500000000002,734.3000000000002,736.6500000000002,11850000.0,49203600.0,2020-07-30
2020-07-07,747.0500000000002,766.5500000000002,738.3500000000003,763.8000000000002,20698800.0,49992000.0,2020-07-30
2020-07-08,754.9000000000002,755.2500000000002,743.7500000000002,745.5500000000002,11996400.0,50434800.0,2020-07-30
2020-07-09,751.5000000000002,760.9000000000002,747.5500000000002,756.2000000000002,10356000.0,49700400.0,2020-07-30
2020-07-10,749.2000000000002,764.7500000000002,749.2000000000002,756.3000000000002,11410800.0,49881600.0,2020-07-30
2020-07-13,759.0500000000002,776.9500000000002,759.0500000000002,772.5500000000002,15468000.0,50708400.0,2020-07-30
