date,open,high,low,close,volume,oi,expiry
2020-01-01,239.1,239.7,238.4,239.3,6004800.0,124910400.0,2020-01-30
2020-01-02,239.4,241.7,239.4,240.95,9532800.0,124171200.0,2020-01-30
2020-01-03,241.2,241.85,238.6,239.15,11469600.0,124732800.0,2020-01-30
2020-01-06,238.6,238.8,235.75,236.0,9844800.0,124476000.0,2020-01-30
2020-01-07,237.7,238.7,235.9,236.7,11292000.0,125016000.0,2020-01-30
2020-01-08,233.55,236.5,233.55,235.0,10123200.0,125457600.0,2020-01-30
2020-01-09,236.25,237.6,236.25,237.0,10742400.0,126408000.0,2020-01-30
2020-01-10,238.1,239.5,237.5,238.5,11848800.0,126218400.0,2020-01-30
2020-01-13,239.0,240.9,238.8,240.2,12722400.0,125083200.0,2020-01-30
2020-01-14,240.1,244.2,238.9,243.75,19984800.0,123628800.0,2020-01-30
2020-01-15,243.0,243.35,241.55,242.8,8205600.0,123964800.0,2020-01-30
2020-01-16,243.0,244.6,241.1,241.45,11056800.0,124965600.0,2020-01-30
2020-01-17,241.35,242.4,240.05,240.4,9823200.0,125911200.0,2020-01-30
2020-01-20,241.0,243.35,240.3,242.3,15398400.0,123976800.0,2020-01-30
2020-01-21,241.7,241.85,238.65,239.1,11512800.0,123338400.0,2020-01-30
2020-01-22,239.55,240.05,237.7,238.85,10848000.0,120578400.0,2020-01-30
2020-01-23,238.85,239.25,237.15,238.15,12249600.0,117840000.0,2020-01-30
2020-01-24,238.15,239.55,237.25,238.65,13809600.0,113318400.0,2020-01-30
2020-01-27,237.15,237.7,234.7,234.95,21264000.0,106840800.0,2020-01-30
2020-01-28,235.55,236.2,230.65,231.2,43130400.0,82869600.0,2020-01-30
2020-01-29,231.2,236.95,230.7,236.15,53224800.0,100274400.0,2020-02-27
2020-01-30,235.65,235.9,232.5,233.45,36199200.0,124675200.0,2020-02-27
2020-01-31,234.0,237.2,233.05,234.7,25881600.0,125738400.0,2020-02-27
2020-02-03,214.45,215.35,203.7,206.55,76819200.0,136754400.0,2020-02-27
