date,open,high,low,close,volume,oi,expiry
2024-11-29,1401.0,1427.9,1350.5,1372.6,592000.0,310400.0,2024-12-26
2024-12-02,1361.35,1378.6,1348.6,1350.6,420400.0,560400.0,2024-12-26
2024-12-03,1383.8,1449.0,1370.15,1437.2,1785200.0,947600.0,2024-12-26
2024-12-04,1449.65,1467.7,1432.5,1463.75,869200.0,912400.0,2024-12-26
2024-12-05,1468.7,1505.0,1467.05,1498.0,994800.0,986000.0,2024-12-26
2024-12-06,1501.3,1510.5,1480.0,1488.6,793600.0,1180800.0,2024-12-26
2024-12-09,1489.0,1556.8,1489.0,1541.3,1238400.0,1203600.0,2024-12-26
2024-12-10,1550.0,1550.0,1524.0,1545.1,778000.0,1279600.0,2024-12-26
2024-12-11,1544.5,1561.5,1530.25,1555.35,630400.0,1322000.0,2024-12-26
2024-12-12,1560.05,1569.75,1538.05,1546.25,833200.0,1497600.0,2024-12-26
2024-12-13,1532.9,1550.95,1513.05,1538.5,722400.0,1426000.0,2024-12-26
2024-12-16,1550.0,1558.9,1517.9,1539.5,560400.0,1543600.0,2024-12-26
2024-12-17,1540.15,1554.0,1512.65,1517.1,576800.0,1607200.0,2024-12-26
2024-12-18,1523.6,1542.25,1516.05,1525.4,550800.0,1695200.0,2024-12-26
2024-12-19,1486.3,1528.4,1468.4,1516.1,594400.0,1739600.0,2024-12-26
2024-12-20,1528.65,1539.0,1448.5,1452.5,758000.0,1736000.0,2024-12-26
2024-12-23,1469.9,1469.9,1408.5,1417.75,841200.0,1547200.0,2024-12-26
2024-12-24,1417.75,1441.4,1411.75,1428.55,882400.0,1264800.0,2025-01-30
2024-12-26,1435.6,1449.45,1423.05,1445.4,852000.0,1502400.0,2025-01-30
2024-12-27,1447.7,1463.6,1442.4,1456.5,302400.0,1464000.0,2025-01-30
2024-12-30,1460.05,1466.55,1432.3,1459.8,627200.0,1517200.0,2025-01-30
2024-12-31,1451.05,1458.05,1420.85,1455.5,516000.0,1465200.0,2025-01-30
2025-01-01,1456.85,1493.7,1456.05,1483.8,793200.0,1457200.0,2025-01-30
2025-01-02,1476.55,1487.8,1461.5,1476.25,551200.0,1496000.0,2025-01-30
2025-01-03,1467.65,1480.4,1430.85,1438.0,832800.0,1614400.0,2025-01-30
2025-01-06,1446.45,1457.35,1423.75,1432.6,692000.0,1642400.0,2025-01-30
2025-01-07,1432.6,1474.7,1427.85,1467.55,607200.0,1444000.0,2025-01-30
2025-01-08,1453.85,1454.95,1402.3,1421.7,844800.0,1656400.0,2025-01-30
2025-01-09,1428.75,1445.55,1401.35,1413.55,722000.0,1531600.0,2025-01-30
2025-01-10,1385.75,1385.75,1342.4,1351.45,1921600.0,1742000.0,2025-01-30
2025-01-13,1330.85,1373.1,1292.95,1299.4,1051600.0,1752400.0,2025-01-30
2025-01-14,1315.85,1324.45,1295.45,1316.55,556000.0,1776000.0,2025-01-30
2025-01-15,1316.65,1357.75,1302.05,1327.8,776400.0,1650000.0,2025-01-30
2025-01-16,1331.25,1353.05,1302.95,1310.9,607200.0,1716800.0,2025-01-30
2025-01-17,1318.55,1318.55,1284.75,1301.85,846400.0,1892800.0,2025-01-30
2025-01-20,1318.65,1334.75,1291.75,1322.75,737200.0,1984000.0,2025-01-30
2025-01-21,1321.2,1328.6,1288.25,1297.5,737600.0,1818800.0,2025-01-30
2025-01-22,1310.55,1310.7,1255.75,1285.3,877200.0,1934800.0,2025-01-30
2025-01-23,1291.55,1353.35,1286.25,1333.8,1472000.0,2032000.0,2025-01-30
2025-01-24,1324.25,1360.15,1305.9,1311.75,1736800.0,2443200.0,2025-01-30
2025-01-27,1283.85,1310.0,1263.1,1288.1,1513200.0,2274800.0,2025-01-30
2025-01-28,1281.0,1308.1,1238.65,1248.7,1577600.0,1691600.0,2025-01-30
2025-01-29,1248.7,1378.65,1205.55,1355.75,6232400.0,2185600.0,2025-02-27
2025-01-30,1410.0,1463.3,1404.5,1419.3,3665200.0,2510800.0,2025-02-27
2025-01-31,1419.85,1419.85,1376.55,1393.6,1157200.0,2599200.0,2025-02-27
2025-02-03,1399.9,1418.95,1376.3,1398.6,688000.0,2678000.0,2025-02-27
2025-02-04,1417.95,1461.0,1403.2,1407.1,1356000.0,2967200.0,2025-02-27
2025-02-05,1412.25,1429.75,1393.05,1417.75,1330800.0,3236800.0,2025-02-27
2025-02-06,1417.85,1434.85,1405.15,1417.1,463200.0,3229200.0,2025-02-27
2025-02-07,1418.5,1436.9,1405.75,1429.15,530800.0,3262000.0,2025-02-27
2025-02-10,1438.5,1438.5,1399.4,1418.75,490400.0,3226800.0,2025-02-27
2025-02-11,1432.9,1432.9,1341.0,1359.35,1442800.0,3208000.0,2025-02-27
2025-02-12,1358.0,1368.9,1300.9,1334.25,1439600.0,3110400.0,2025-02-27
2025-02-13,1334.55,1341.05,1316.95,1320.25,695200.0,2986400.0,2025-02-27
2025-02-14,1315.6,1335.0,1288.3,1321.3,699200.0,2982400.0,2025-02-27
2025-02-17,1307.7,1331.3,1283.45,1293.2,881200.0,3049200.0,2025-02-27
2025-02-18,1293.2,1313.0,1275.4,1308.2,496400.0,2894400.0,2025-02-27
2025-02-19,1286.3,1336.15,1286.3,1317.95,514000.0,2872400.0,2025-02-27
2025-02-20,1304.45,1328.35,1304.45,1322.1,311600.0,2730400.0,2025-02-27
2025-02-21,1308.1,1319.6,1270.85,1287.3,2068800.0,2612400.0,2025-02-27
2025-02-24,1291.25,1291.25,1228.0,1257.95,1809200.0,1686800.0,2025-02-27
2025-02-25,1257.95,1258.45,1234.75,1248.65,978400.0,1385600.0,2025-03-27
2025-02-27,1258.1,1258.1,1213.4,1224.85,1146800.0,1542800.0,2025-03-27
2025-02-28,1201.6,1209.8,1161.55,1167.65,967600.0,1501200.0,2025-03-27
2025-03-03,1170.85,1186.4,1116.5,1180.0,982400.0,1580400.0,2025-03-27
2025-03-04,1144.1,1191.45,1141.0,1183.75,664000.0,1571200.0,2025-03-27
2025-03-05,1177.85,1259.95,1177.85,1238.2,1379600.0,1802800.0,2025-03-27
2025-03-06,1260.25,1274.95,1244.05,1269.5,1502800.0,2075600.0,2025-03-27
2025-03-07,1265.95,1277.45,1253.5,1264.75,820800.0,2194400.0,2025-03-27
2025-03-10,1261.25,1271.25,1210.2,1213.75,822000.0,2289200.0,2025-03-27
