date,open,high,low,close,volume,oi,expiry
2024-04-23,167.2,169.9,164.2,169.25,22644650.0,34286008.0,2024-05-30
2024-04-24,170.25,170.5,167.0,168.05,16750348.0,42705802.0,2024-05-30
2024-04-25,168.95,170.0,166.3,169.5,19454320.0,50898034.0,2024-05-30
2024-04-26,168.95,171.15,162.1,164.95,23389804.0,53695708.0,2024-05-30
2024-04-29,160.5,173.5,160.0,170.15,33005414.0,51130058.0,2024-05-30
2024-04-30,170.65,172.0,167.45,168.1,10624022.0,50054716.0,2024-05-30
2024-05-02,168.5,171.5,167.5,170.95,9200644.0,49233708.0,2024-05-30
2024-05-03,171.8,172.5,166.7,168.9,11427182.0,47265966.0,2024-05-30
2024-05-06,169.6,169.6,163.0,163.65,11967084.0,45980910.0,2024-05-30
2024-05-07,163.95,164.9,160.65,161.9,7487236.0,45316072.0,2024-05-30
2024-05-08,161.25,164.2,161.0,162.45,4430766.0,44918954.0,2024-05-30
2024-05-09,162.85,163.1,157.2,157.75,8888304.0,45128668.0,2024-05-30
2024-05-10,159.05,160.5,153.7,155.75,10427694.0,40653282.0,2024-05-30
2024-05-13,155.2,158.5,151.05,157.85,14439032.0,43928390.0,2024-05-30
2024-05-14,157.35,158.7,156.15,158.05,4145198.0,40001830.0,2024-05-30
2024-05-15,158.0,163.5,157.55,158.8,9570990.0,41179798.0,2024-05-30
2024-05-16,159.8,160.3,157.0,159.6,5403482.0,41817864.0,2024-05-30
2024-05-17,158.7,161.3,158.1,160.75,5961232.0,41791092.0,2024-05-30
2024-05-21,161.1,161.1,158.4,158.95,5434716.0,40849610.0,2024-05-30
2024-05-22,158.0,159.35,155.65,156.5,7576476.0,40845148.0,2024-05-30
2024-05-23,157.65,160.15,155.85,159.4,10325068.0,40666668.0,2024-05-30
2024-05-24,158.5,159.9,157.35,157.95,4885890.0,38591838.0,2024-05-30
2024-05-27,159.55,159.85,156.5,158.7,15099408.0,32992028.0,2024-05-30
2024-05-28,158.7,160.0,155.35,157.65,14648746.0,32420892.0,2024-06-27
2024-05-29,156.04999999999998,158.35,155.4,156.54999999999998,16902056.0,37819912.0,2024-06-27
2024-05-30,156.7,156.7,151.5,152.1,19075050.0,43566968.0,2024-06-27
2024-05-31,154.85,155.65,151.65,152.25,9771780.0,46320022.0,2024-06-27
2024-06-03,156.54999999999998,160.35,156.54999999999998,158.4,10994368.0,47252580.0,2024-06-27
2024-06-04,157.75,157.75,142.6,147.65,21395290.0,46552046.0,2024-06-27
2024-06-05,149.9,156.35,146.25,155.15,14470266.0,43607126.0,2024-06-27
2024-06-06,155.95,160.7,155.1,157.95,12020628.0,45418698.0,2024-06-27
2024-06-07,159.0,167.75,156.35,167.0,34825910.0,53097800.0,2024-06-27
2024-06-10,168.29999999999998,168.35,162.6,163.7,21051716.0,53280742.0,2024-06-27
2024-06-11,166.5,167.54999999999998,163.1,163.45,15344818.0,52977326.0,2024-06-27
2024-06-12,165.15,170.15,163.54999999999998,168.79999999999998,25598494.0,55850854.0,2024-06-27
2024-06-13,174.35,176.75,172.9,174.25,55070004.0,56051644.0,2024-06-27
2024-06-14,176.25,182.0,174.54999999999998,180.3,41300272.0,52482044.0,2024-06-27
2024-06-18,181.7,183.45,179.65,180.55,16339844.0,51585182.0,2024-06-27
2024-06-19,180.9,181.5,174.7,177.1,13698340.0,49474656.0,2024-06-27
2024-06-20,179.35,184.95,176.1,184.55,23706606.0,50697244.0,2024-06-27
2024-06-21,185.95,187.35,182.5,183.8,26401654.0,47167802.0,2024-06-27
2024-06-24,183.75,183.75,177.95,181.2,27999050.0,39832274.0,2024-06-27
2024-06-25,181.2,187.25,179.8,186.55,35388122.0,41661694.0,2024-07-25
2024-06-26,186.55,188.35,182.25,182.8,31586498.0,54909372.0,2024-07-25
2024-06-27,182.8,185.1,179.7,180.2,30314828.0,67340504.0,2024-07-25
2024-06-28,181.7,183.65,180.6,181.7,15782094.0,68447080.0,2024-07-25
2024-07-01,183.55,192.2,183.55,190.65,32295956.0,68549706.0,2024-07-25
2024-07-02,192.45,193.75,186.5,187.95,24880112.0,69558118.0,2024-07-25
2024-07-03,188.45,191.15,186.75,189.3,12373126.0,70093558.0,2024-07-25
2024-07-04,194.2,194.35,187.85,188.3,19672958.0,72534272.0,2024-07-25
2024-07-05,188.7,190.25,184.65,189.9,15688392.0,71552632.0,2024-07-25
2024-07-08,190.33,190.47,185.35,186.33,9486212.0,70539758.0,2024-07-25
2024-07-09,186.52,187.05,183.24,184.12,7353376.0,69714288.0,2024-07-25
2024-07-10,183.07,183.69,177.6,180.68,16594178.0,68389074.0,2024-07-25
2024-07-11,181.2,182.4,179.29,179.57,9611148.0,69120842.0,2024-07-25
2024-07-12,179.6,185.3,179.36,182.09,23733378.0,71133204.0,2024-07-25
2024-07-15,183.01,186.3,180.1,186.05,19039354.0,72967086.0,2024-07-25
2024-07-16,186.0,186.35,182.15,184.51,27816108.0,79463758.0,2024-07-25
2024-07-18,188.01,189.75,182.27,184.16,84639678.0,80771124.0,2024-07-25
2024-07-19,183.94,184.89,174.1,175.2,27784874.0,56328288.0,2024-07-25
2024-07-22,173.5,175.4,169.58,173.41,25750202.0,47685394.0,2024-07-25
2024-07-23,173.41,174.96,164.52,174.11,27949968.0,48011120.0,2024-08-29
2024-07-24,174.94,176.98,173.12,174.09,25491406.0,58764540.0,2024-08-29
2024-07-25,171.96,174.35,168.33,173.29,29882014.0,69932926.0,2024-08-29
2024-07-26,174.7,180.55,174.12,180.15,23006072.0,71329532.0,2024-08-29
2024-07-29,180.91,181.16,178.41,179.07,10191208.0,71293836.0,2024-08-29
2024-07-30,179.06,181.93,178.26,179.56,11752908.0,72119306.0,2024-08-29
2024-07-31,179.81,181.01,178.61,179.48,6576988.0,71864972.0,2024-08-29
2024-08-01,180.47,181.23,174.96,175.54,14474728.0,69683054.0,2024-08-29
2024-08-02,173.67000000000002,177.91,171.05,175.91,21480068.0,70405898.0,2024-08-29
2024-08-05,172.68,172.68,165.98,167.54,18374516.0,66345478.0,2024-08-29
2024-08-06,167.66,173.42000000000002,165.79,166.35,15010168.0,64837322.0,2024-08-29
2024-08-07,169.76,170.31,165.41,168.45,20926780.0,68094582.0,2024-08-29
2024-08-08,168.08,168.16,163.86,164.29,12190184.0,68572016.0,2024-08-29
2024-08-09,167.81,167.81,164.46,165.18,9611148.0,69687516.0,2024-08-29
2024-08-12,163.94,167.57,162.96,166.52,12092020.0,69517960.0,2024-08-29
2024-08-13,166.04,166.21,160.61,160.86,9695926.0,69924002.0,2024-08-29
2024-08-14,161.19,161.59,158.6,158.96,9530832.0,70285424.0,2024-08-29
2024-08-16,159.04,163.65,159.03,163.15,12774706.0,71280450.0,2024-08-29
2024-08-19,163.41,164.52,162.31,163.75,12493600.0,71418772.0,2024-08-29
2024-08-20,164.08,166.91,162.69,165.93,15036940.0,68621098.0,2024-08-29
2024-08-21,165.75,166.91,164.91,166.59,8125302.0,67179872.0,2024-08-29
2024-08-22,166.35,170.66,166.05,167.46,20110234.0,64850708.0,2024-08-29
2024-08-23,167.31,167.41,165.44,165.75,11061298.0,65939436.0,2024-08-29
2024-08-26,166.57,168.06,165.16,167.71,21337284.0,55034308.0,2024-08-29
2024-08-27,167.71,170.96,167.28,169.79,26544438.0,53695708.0,2024-09-26
2024-08-28,171.55,171.56,168.56,168.83,29056544.0,69348404.0,2024-09-26
2024-08-29,168.91,170.37,166.81,169.06,37476338.0,86076442.0,2024-09-26
2024-08-30,169.77,170.31,167.83,168.11,8584888.0,87468586.0,2024-09-26
2024-09-02,168.28,169.83,167.21,169.11,14581816.0,87459662.0,2024-09-26
2024-09-03,170.09,172.05,169.05,170.88,16701266.0,85407142.0,2024-09-26
2024-09-04,168.81,170.4,166.57,166.98,12002780.0,85768564.0,2024-09-26
2024-09-05,170.56,170.56,167.21,168.6,13676030.0,85697172.0,2024-09-26
2024-09-06,167.97,168.76,162.72,163.09,18963500.0,86482484.0,2024-09-26
2024-09-09,163.06,164.56,161.19,164.15,8790140.0,85639166.0,2024-09-26
2024-09-10,165.28,171.21,164.38,169.67000000000002,30805648.0,87174094.0,2024-09-26
2024-09-11,170.56,170.56,163.34,163.92000000000002,21252506.0,87879090.0,2024-09-26
2024-09-12,165.41,172.46,165.41,172.03,31965768.0,84001612.0,2024-09-26
2024-09-13,172.87,177.0,172.29,175.47,25977764.0,81159318.0,2024-09-26
2024-09-16,176.23,176.42000000000002,172.13,173.3,13484164.0,79356670.0,2024-09-26
2024-09-17,173.47,174.96,172.11,173.37,11266550.0,76625926.0,2024-09-26
2024-09-18,173.26,176.36,172.66,174.18,22961452.0,72596740.0,2024-09-26
2024-09-19,175.96,179.36,169.81,175.74,40006292.0,68389074.0,2024-09-26
2024-09-20,177.22,179.31,175.06,178.33,19271378.0,65462002.0,2024-09-26
2024-09-23,180.05,183.0,175.94,181.99,31947920.0,52995174.0,2024-09-26
2024-09-24,181.99,183.54,179.84,180.16,24255432.0,46266478.0,2024-10-31
2024-09-25,178.81,185.09,178.81,183.54,40015216.0,63168534.0,2024-10-31
2024-09-26,183.99,183.99,178.94,183.12,28489870.0,69928464.0,2024-10-31
2024-09-27,182.26,185.64,182.26,184.26,15429596.0,70816402.0,2024-10-31
2024-09-30,184.14,184.42,182.13,182.56,10503548.0,68741572.0,2024-10-31
2024-10-01,183.93,186.19,181.45,184.85,12248190.0,69143152.0,2024-10-31
2024-10-03,181.5,183.23,176.21,177.20000000000002,21203424.0,71771270.0,2024-10-31
2024-10-04,177.41,177.71,170.29000000000002,171.29000000000002,19869286.0,71414310.0,2024-10-31
2024-10-07,172.08,173.38,163.49,164.84,23572746.0,72070224.0,2024-10-31
2024-10-08,165.24,168.66,164.11,167.92000000000002,16955600.0,71949750.0,2024-10-31
2024-10-09,169.64,172.84,164.74,165.53,37985006.0,73993346.0,2024-10-31
2024-10-10,167.39,167.61,162.86,163.18,14617512.0,75804918.0,2024-10-31
2024-10-11,163.24,164.11,158.84,159.89,20328872.0,77540636.0,2024-10-31
2024-10-14,161.21,162.97,159.76000000000002,161.37,20253018.0,75800456.0,2024-10-31
2024-10-15,162.24,164.54000000000002,160.99,163.72,44985884.0,75180238.0,2024-10-31
2024-10-16,163.04000000000002,163.36,161.56,162.71,2587960.0,68277524.0,2024-10-31
2024-10-17,161.84,162.24,158.88,161.87,3565138.0,65234440.0,2024-10-31
2024-10-18,159.94,163.89,157.07000000000002,162.09,4238900.0,61174020.0,2024-10-31
2024-10-21,161.46,163.24,151.21,153.27,4604784.0,57626730.0,2024-10-31
2024-10-22,152.01000000000002,153.84,140.65,141.98000000000002,5305318.0,52606980.0,2024-10-31
2024-10-23,142.24,147.07000000000002,141.65,146.29000000000002,5724746.0,50139494.0,2024-10-31
2024-10-24,147.24,147.24,139.79000000000002,140.39,37556654.0,50844490.0,2024-10-31
2024-10-25,140.24,141.11,133.3,135.81,30444226.0,50157342.0,2024-10-31
2024-10-28,136.57000000000002,141.34,136.15,137.99,3582986.0,41438594.0,2024-10-31
2024-10-29,139.36,140.23000000000002,133.44,139.12,5082218.0,37280010.0,2024-10-31
2024-10-30,139.12,143.4,139.12,141.13,981640.0,34870530.0,2024-11-28
2024-10-31,141.13,143.75,139.26,141.67,61816548.0,59996052.0,2024-11-28
2024-11-01,142.33,143.52,141.89,143.02,1650940.0,59215202.0,2024-11-28
2024-11-04,142.9,143.34,137.29,138.09,13586790.0,61611296.0,2024-11-28
2024-11-05,137.38,141.82,136.23,140.7,16964524.0,63953846.0,2024-11-28
2024-11-06,141.83,144.08,140.96,142.79,13689416.0,65064884.0,2024-11-28
2024-11-07,143.63,143.63,138.83,139.15,9173872.0,66996930.0,2024-11-28
2024-11-08,139.42,139.43,134.58,134.89,12877332.0,68933438.0,2024-11-28
2024-11-11,134.53,137.17,132.55,134.96,13176286.0,69678592.0,2024-11-28
2024-11-12,135.55,136.36,132.75,133.28,8932924.0,68786192.0,2024-11-28
2024-11-13,133.28,133.34,128.73,130.74,20699218.0,68134740.0,2024-11-28
2024-11-14,131.28,133.27,130.02,132.34,12591764.0,63445178.0,2024-11-28
2024-11-18,131.45,135.21,130.04,133.14,13796504.0,61075856.0,2024-11-28
2024-11-19,135.03,137.53,133.08,134.01,16156902.0,59915736.0,2024-11-28
2024-11-21,131.93,132.97,129.81,132.01,10722186.0,60357474.0,2024-11-28
2024-11-22,131.05,135.23,131.05,133.98,11922464.0,57296542.0,2024-11-28
2024-11-25,136.99,139.0,135.08,135.66,34857144.0,42112356.0,2024-11-28
2024-11-26,135.66,137.41,134.51,135.88,31702510.0,49358644.0,2024-12-26
2024-11-27,137.41,137.41,134.47,136.03,27329750.0,60830446.0,2024-12-26
2024-11-28,136.81,140.16,135.1,139.35,45057276.0,73475754.0,2024-12-26
2024-11-29,139.87,139.87,136.17,137.54,12002780.0,75135618.0,2024-12-26
2024-12-02,138.31,139.06,136.51,138.67,6782240.0,75157928.0,2024-12-26
2024-12-03,139.03,141.26,138.93,140.6,9852096.0,74979448.0,2024-12-26
2024-12-04,140.98,143.31,140.12,142.67,14028528.0,74046890.0,2024-12-26
2024-12-05,142.93,143.81,141.54999999999998,142.98,12051862.0,73676544.0,2024-12-26
2024-12-06,142.23,143.82,141.16,143.18,15728550.0,75577356.0,2024-12-26
2024-12-09,141.74,144.64,141.74,142.85,5849682.0,74046890.0,2024-12-26
2024-12-10,143.37,146.51,142.81,143.91,14532734.0,73502526.0,2024-12-26
2024-12-11,144.41,145.4,142.96,144.7,8446566.0,73100946.0,2024-12-26
2024-12-12,145.29999999999998,145.29999999999998,141.64,142.0,7906664.0,72748448.0,2024-12-26
2024-12-13,140.46,141.69,136.64,141.53,19418624.0,75648748.0,2024-12-26
2024-12-16,142.16,143.59,140.32999999999998,142.19,6108478.0,75894158.0,2024-12-26
2024-12-17,141.42,141.94,135.0,135.64,26589058.0,71235830.0,2024-12-26
2024-12-18,135.61,136.68,133.09,134.6,15148490.0,71200134.0,2024-12-26
2024-12-19,133.41,135.5,129.74,134.18,18231732.0,65439692.0,2024-12-26
2024-12-20,133.82999999999998,134.75,129.34,130.34,36673178.0,47190112.0,2024-12-26
2024-12-23,130.34,132.29,128.72,128.86,33621170.0,62450152.0,2025-01-30
2024-12-24,129.29,131.23,128.37,129.27,35066858.0,76152954.0,2025-01-30
2024-12-26,130.21,132.69,129.9,132.28,31350012.0,82493456.0,2025-01-30
2024-12-27,131.85,134.19,131.85,132.22,9892254.0,81962478.0,2025-01-30
2024-12-30,131.12,133.38,130.71,131.66,7041036.0,81538588.0,2025-01-30
2024-12-31,131.18,131.18,129.04,129.82999999999998,9584376.0,82984276.0,2025-01-30
2025-01-01,130.06,131.66,129.71,131.28,7768342.0,84019460.0,2025-01-30
2025-01-02,131.96,136.15,131.38,135.34,22492942.0,83662500.0,2025-01-30
2025-01-03,135.04,137.34,133.92,134.43,16005194.0,84974328.0,2025-01-30
2025-01-06,135.13,135.74,127.64,128.29,19668496.0,85340212.0,2025-01-30
2025-01-07,129.91,133.12,128.81,130.65,17526736.0,85076954.0,2025-01-30
2025-01-08,130.94,136.88,128.99,134.75,42054350.0,89686200.0,2025-01-30
2025-01-09,133.65,133.65,129.19,132.4,2244386.0,87450738.0,2025-01-30
2025-01-10,132.59,132.69,124.5,127.59,1918660.0,85541002.0,2025-01-30
2025-01-13,124.54,126.82999999999998,121.4,123.28,2614732.0,83207376.0,2025-01-30
2025-01-14,124.18,127.53,122.3,126.84,325726.0,82814720.0,2025-01-30
2025-01-15,125.7,129.69,125.69,129.0,464048.0,82399754.0,2025-01-30
2025-01-16,131.42,132.96,130.51,132.72,472972.0,81949092.0,2025-01-30
2025-01-17,132.06,133.3,130.74,132.44,316802.0,81659062.0,2025-01-30
2025-01-20,132.19,135.19,131.04,134.36,785312.0,80909446.0,2025-01-30
2025-01-21,134.03,139.21,129.95,137.88,7183820.0,74421698.0,2025-01-30
2025-01-22,136.18,136.18,131.67,133.35,383732.0,73975498.0,2025-01-30
2025-01-23,131.98,135.87,131.77,135.38,963792.0,73087560.0,2025-01-30
2025-01-24,134.39,136.84,132.47,134.41,1298442.0,71931902.0,2025-01-30
2025-01-27,134.69,136.99,128.77,136.21,6130788.0,67246802.0,2025-01-30
2025-01-28,136.21,137.68,131.32,135.34,66550730.0,44990346.0,2025-02-27
2025-01-29,135.54999999999998,142.19,135.54999999999998,140.32999999999998,38096556.0,53258432.0,2025-02-27
2025-01-30,140.86,142.86,139.92,140.78,20195012.0,55440350.0,2025-02-27
2025-01-31,141.11,143.4,139.63,141.76999999999998,11235316.0,54837980.0,2025-02-27
2025-02-03,142.65,147.21,138.89,146.56,18981348.0,56587084.0,2025-02-27
2025-02-04,147.32999999999998,150.12,145.61,149.29,16870822.0,57591034.0,2025-02-27
2025-02-05,150.07999999999998,152.0,148.1,149.76999999999998,13310146.0,57256384.0,2025-02-27
2025-02-06,149.5,150.9,146.5,147.04999999999998,9142638.0,57573186.0,2025-02-27
2025-02-07,148.75,149.0,143.97,145.07999999999998,15612538.0,58434352.0,2025-02-27
2025-02-10,147.2,147.51999999999998,143.42,144.26999999999998,10191208.0,59183968.0,2025-02-27
2025-02-11,143.65,144.21,135.81,138.22,17357180.0,57095752.0,2025-02-27
2025-02-12,137.6,139.51999999999998,132.79,138.0,17343794.0,54686272.0,2025-02-27
2025-02-13,136.69,140.28,136.23,137.0,12654232.0,56738792.0,2025-02-27
2025-02-14,137.43,138.28,131.37,133.25,13586790.0,58675300.0,2025-02-27
2025-02-17,130.86,134.4,129.41,132.88,9294346.0,60174532.0,2025-02-27
2025-02-18,132.61,133.21,127.31,129.26999999999998,16201522.0,64284034.0,2025-02-27
2025-02-19,129.94,132.09,128.46,131.79999999999998,8897228.0,63248850.0,2025-02-27
2025-02-20,132.04999999999998,135.35,129.95,134.9,9249726.0,61571138.0,2025-02-27
2025-02-21,132.1,136.39,131.17,132.34,28106138.0,46694830.0,2025-02-27
2025-02-24,132.34,134.63000000000002,130.19,133.04000000000002,31805136.0,47680932.0,2025-03-27
