date,open,high,low,close,volume,oi,expiry
2024-11-29,985.0,989.4,975.5,985.6,235725.0,121800.0,2024-12-26
2024-12-02,979.75,1028.9,979.75,1025.3,307650.0,254625.0,2024-12-26
2024-12-03,1025.0,1054.25,1024.95,1038.9,437325.0,400575.0,2024-12-26
2024-12-04,1028.3,1070.0,1028.3,1067.75,1016925.0,921375.0,2024-12-26
2024-12-05,1066.45,1109.3,1066.1,1102.3,1918350.0,1512000.0,2024-12-26
2024-12-06,1105.05,1105.65,1086.5,1098.8,526050.0,1526175.0,2024-12-26
2024-12-09,1066.15,1124.0,1066.15,1119.1,967050.0,1731450.0,2024-12-26
2024-12-10,1121.45,1130.85,1112.95,1117.7,838425.0,1914150.0,2024-12-26
2024-12-11,1103.4,1137.05,1101.6,1134.4,863100.0,2128350.0,2024-12-26
2024-12-12,1130.15,1171.1,1127.5,1167.95,1674750.0,2733150.0,2024-12-26
2024-12-13,1166.6,1193.45,1161.0,1180.45,1466325.0,3040275.0,2024-12-26
2024-12-16,1189.15,1189.15,1173.0,1184.65,409500.0,3068625.0,2024-12-26
2024-12-17,1174.15,1216.95,1174.15,1213.4,829500.0,3197250.0,2024-12-26
2024-12-18,1200.1,1207.6,1185.6,1196.25,763875.0,3266025.0,2024-12-26
2024-12-19,1194.0,1200.8,1156.15,1185.15,1109325.0,3194100.0,2024-12-26
2024-12-20,1176.4,1203.9,1163.65,1168.0,1538250.0,2405550.0,2024-12-26
2024-12-23,1168.0,1184.3,1139.8,1144.5,2025450.0,2291625.0,2025-01-30
2024-12-24,1145.15,1154.95,1135.0,1142.35,1685250.0,3184650.0,2025-01-30
2024-12-26,1134.75,1166.75,1133.85,1158.6,1382850.0,3733800.0,2025-01-30
2024-12-27,1151.15,1151.9,1123.35,1129.15,661500.0,3695475.0,2025-01-30
2024-12-30,1100.75,1200.5,1100.75,1159.0,1351350.0,4067700.0,2025-01-30
2024-12-31,1170.5,1170.5,1128.6,1130.35,866775.0,4104975.0,2025-01-30
2025-01-01,1129.05,1144.6,1129.05,1137.5,307125.0,4088700.0,2025-01-30
2025-01-02,1155.3,1162.25,1132.65,1156.9,641025.0,4098675.0,2025-01-30
2025-01-03,1150.55,1185.4,1150.55,1173.6,1060500.0,4452525.0,2025-01-30
2025-01-06,1177.45,1190.95,1140.8,1149.6,966000.0,4603725.0,2025-01-30
2025-01-07,1149.6,1199.5,1149.6,1194.4,1233225.0,5008500.0,2025-01-30
2025-01-08,1211.55,1222.95,1186.35,1199.5,1675275.0,5283075.0,2025-01-30
2025-01-09,1189.3,1218.55,1180.3,1204.4,1100925.0,5560275.0,2025-01-30
2025-01-10,1199.6,1207.85,1141.9,1145.7,1148700.0,5622225.0,2025-01-30
2025-01-13,1110.6,1125.3,1067.35,1080.05,2415000.0,5540850.0,2025-01-30
2025-01-14,1093.25,1105.0,1065.6,1083.8,1105650.0,5506200.0,2025-01-30
2025-01-15,1071.95,1081.55,1033.55,1037.4,3186225.0,6129900.0,2025-01-30
2025-01-16,1052.55,1058.15,1035.85,1044.95,560700.0,6094725.0,2025-01-30
2025-01-17,1050.1,1050.1,1005.55,1023.0,1546650.0,6379800.0,2025-01-30
2025-01-20,1013.9,1060.9,1013.9,1059.2,954975.0,6350400.0,2025-01-30
2025-01-21,1059.15,1081.45,1056.35,1072.6,1289400.0,6470100.0,2025-01-30
2025-01-22,1072.6,1074.3,1041.8,1063.75,1041600.0,6097350.0,2025-01-30
2025-01-23,1051.85,1084.55,1051.85,1079.4,1062600.0,6069000.0,2025-01-30
2025-01-24,1067.55,1080.1,1045.4,1049.35,818475.0,5959800.0,2025-01-30
2025-01-27,1026.95,1031.85,1010.25,1025.3,1720950.0,5130825.0,2025-01-30
2025-01-28,1027.2,1038.45,978.25,1012.8,2460150.0,4849425.0,2025-01-30
2025-01-29,1012.8,1025.4,993.55,1016.05,3779475.0,5171775.0,2025-02-27
2025-01-30,1033.7,1050.2,985.85,1035.15,5513550.0,6538350.0,2025-02-27
2025-01-31,1046.8,1054.8,1017.5,1049.85,1944075.0,6324675.0,2025-02-27
2025-02-03,1107.75,1135.75,1077.95,1132.5,1741425.0,6351450.0,2025-02-27
2025-02-04,1134.1,1171.25,1133.4,1163.25,1228500.0,6085275.0,2025-02-27
2025-02-05,1178.25,1187.8,1152.2,1158.2,782250.0,5810175.0,2025-02-27
2025-02-06,1179.8,1179.8,1111.7,1115.6,859950.0,5685225.0,2025-02-27
2025-02-07,1132.6,1133.4,1100.75,1129.55,1158150.0,6148800.0,2025-02-27
2025-02-10,1143.7,1143.7,1054.5,1061.5,1798650.0,6295800.0,2025-02-27
2025-02-11,1062.35,1063.5,1004.45,1007.1,2458575.0,6893775.0,2025-02-27
2025-02-12,999.35,1007.9,978.8,992.9,2464350.0,7273350.0,2025-02-27
2025-02-13,1009.25,1009.25,984.7,989.95,926625.0,7404075.0,2025-02-27
2025-02-14,991.75,994.4,967.2,989.2,2303700.0,7805700.0,2025-02-27
2025-02-17,971.35,1009.9,965.5,1003.6,2098425.0,7633500.0,2025-02-27
2025-02-18,1029.8,1029.8,990.5,1023.3,2411325.0,7220325.0,2025-02-27
2025-02-19,1022.8,1028.8,1000.45,1007.35,1432200.0,7137900.0,2025-02-27
2025-02-20,1006.0,1024.7,996.75,1019.35,1088325.0,6952050.0,2025-02-27
2025-02-21,1005.4,1022.8,992.1,996.1,2671725.0,5974500.0,2025-02-27
2025-02-24,996.1,999.5,978.0,986.65,3551100.0,5680500.0,2025-03-27
2025-02-25,987.6,1022.95,982.75,1020.5499999999998,2342550.0,7054425.0,2025-03-27
2025-02-27,1030.85,1033.5,1005.6,1014.0499999999998,1986075.0,7827750.0,2025-03-27
2025-02-28,1014.0,1014.0,962.65,974.35,2436525.0,8375850.0,2025-03-27
2025-03-03,961.0499999999998,985.5499999999998,942.2999999999998,971.25,2085825.0,9010575.0,2025-03-27
