date,open,high,low,close,volume,oi,expiry
2020-01-01,799.2,811.75,799.2,808.0,1255200.0,1043200.0,2020-01-30
2020-01-02,813.8,813.8,793.15,806.3,1449600.0,1154400.0,2020-01-30
2020-01-03,802.2,816.85,799.35,811.8,1517600.0,1300800.0,2020-01-30
2020-01-06,810.85,827.5,807.15,823.45,1762400.0,1291200.0,2020-01-30
2020-01-07,823.15,841.65,820.2,839.4,2005600.0,1340800.0,2020-01-30
2020-01-08,836.6,844.8,831.65,840.25,1805600.0,1410400.0,2020-01-30
2020-01-09,840.0,843.0,823.55,826.8,1493600.0,1300000.0,2020-01-30
2020-01-10,830.0,834.5,818.7,830.05,884800.0,1203200.0,2020-01-30
2020-01-13,833.35,842.8,825.65,838.15,832000.0,1280000.0,2020-01-30
2020-01-14,835.5,874.0,835.5,864.05,3535200.0,1663200.0,2020-01-30
2020-01-15,868.25,889.0,840.7,877.8,9986400.0,1652000.0,2020-01-30
2020-01-16,875.0,899.0,873.35,896.25,2493600.0,1600800.0,2020-01-30
2020-01-17,901.0,901.0,882.8,884.65,1387200.0,1521600.0,2020-01-30
2020-01-20,880.25,896.0,863.85,893.95,1198400.0,1447200.0,2020-01-30
2020-01-21,889.3,907.7,887.8,899.8,1168800.0,1417600.0,2020-01-30
2020-01-22,900.0,916.35,900.0,907.3,1497600.0,1452000.0,2020-01-30
2020-01-23,912.1,917.0,895.05,903.4,834400.0,1392000.0,2020-01-30
2020-01-24,900.0,902.0,891.65,895.35,856800.0,1326400.0,2020-01-30
2020-01-27,894.8,908.0,882.75,886.6,1172800.0,1072800.0,2020-01-30
2020-01-28,886.6,886.6,867.7,870.65,713600.0,608000.0,2020-02-27
2020-01-29,874.0500000000001,883.95,874.0500000000001,882.45,494400.0,720000.0,2020-02-27
2020-01-30,879.65,892.5,879.65,884.65,773600.0,874400.0,2020-02-27
2020-01-31,890.4,897.6,871.3000000000001,880.25,914400.0,855200.0,2020-02-27
2020-02-03,858.0500000000001,907.05,857.65,896.95,1032800.0,846400.0,2020-02-27
2020-02-04,902.6,912.15,892.85,903.35,500000.0,826400.0,2020-02-27
2020-02-05,905.35,917.5,899.1,908.05,676800.0,852000.0,2020-02-27
2020-02-06,913.95,948.6,897.9,901.5,2820800.0,910400.0,2020-02-27
2020-02-07,901.15,925.5,891.1,922.25,1224800.0,895200.0,2020-02-27
2020-02-10,925.7,930.55,900.7,918.75,748800.0,860800.0,2020-02-27
2020-02-11,918.4,929.55,914.5,925.05,521600.0,862400.0,2020-02-27
2020-02-12,927.55,934.45,919.05,922.5,541600.0,820000.0,2020-02-27
2020-02-13,919.6,938.9,914.1,935.35,656000.0,848000.0,2020-02-27
2020-02-14,926.75,971.7,926.75,955.7,2905600.0,824800.0,2020-02-27
2020-02-17,958.65,990.1,953.35,980.2,1995200.0,924800.0,2020-02-27
2020-02-18,980.6,996.1,979.45,993.3,1825600.0,887200.0,2020-02-27
2020-02-19,997.6,1013.6,992.3,1008.4,1757600.0,974400.0,2020-02-27
2020-02-20,1004.6,1032.6999999999998,1000.3,1029.9,2456800.0,1120800.0,2020-02-27
2020-02-24,1026.1,1035.5500000000002,1009.0,1014.45,1290400.0,908800.0,2020-02-27
2020-02-25,1013.2,1055.4,1009.65,1042.85,2865600.0,709600.0,2020-02-27
2020-02-26,1042.85,1053.75,1009.6,1021.5,1206400.0,939200.0,2020-03-26
2020-02-27,1008.9,1016.55,982.95,994.2,3060000.0,972000.0,2020-03-26
2020-02-28,966.55,967.55,920.55,927.0,2343200.0,981600.0,2020-03-26
2020-03-02,921.6,977.05,921.6,946.1,2260800.0,1190400.0,2020-03-26
2020-03-03,964.6,1004.25,940.95,1001.05,1989600.0,1143200.0,2020-03-26
2020-03-04,995.6,1012.6,980.65,1004.3,1468800.0,1150400.0,2020-03-26
2020-03-05,1003.6,1018.8,974.65,978.25,1229600.0,1200000.0,2020-03-26
2020-03-06,967.5,997.05,932.8,990.5,1872000.0,1151200.0,2020-03-26
2020-03-09,942.2,964.45,885.15,902.2,2494400.0,1413600.0,2020-03-26
2020-03-11,888.6,900.5,852.6,866.5500000000001,2521600.0,1658400.0,2020-03-26
2020-03-12,855.75,856.0,797.75,808.3000000000001,2156800.0,1868800.0,2020-03-26
2020-03-13,747.9,864.6,719.4,849.85,1419200.0,1718400.0,2020-03-26
2020-03-16,791.7,835.85,767.7,789.9,1366400.0,1622400.0,2020-03-26
2020-03-17,803.1,815.4,777.2,783.7,1386400.0,1705600.0,2020-03-26
2020-03-18,797.6,800.5500000000001,750.5,763.3000000000001,760800.0,1636800.0,2020-03-26
2020-03-19,750.95,762.45,688.8000000000001,723.85,1253600.0,1547200.0,2020-03-26
2020-03-20,722.4,851.0500000000001,722.4,828.5,1518400.0,1506400.0,2020-03-26
2020-03-23,749.65,821.95,731.15,745.5,746400.0,1318400.0,2020-03-26
2020-03-24,816.5500000000001,832.2,771.95,786.35,995200.0,1013600.0,2020-03-26
2020-03-25,786.35,786.35,723.6999999999999,745.65,610400.0,607200.0,2020-04-30
2020-03-26,743.4,786.4,732.4,777.3,592000.0,744000.0,2020-04-30
2020-03-27,792.4,823.8,763.9499999999999,795.4499999999999,418400.0,685600.0,2020-04-30
2020-03-30,783.9499999999999,833.8,746.5,804.75,707200.0,698400.0,2020-04-30
2020-03-31,849.1999999999999,849.1999999999999,797.9,801.25,456000.0,754400.0,2020-04-30
