date,open,high,low,close,volume,oi,expiry
2020-01-01,768.05,769.45,762.15,765.55,1123500.0,3754500.0,2020-01-30
2020-01-02,767.0,776.0,766.0,772.85,1867500.0,3801000.0,2020-01-30
2020-01-03,771.85,774.6,766.35,772.4,1854000.0,3655500.0,2020-01-30
2020-01-06,775.0,780.45,758.7,760.8,4453500.0,3690000.0,2020-01-30
2020-01-07,766.55,768.8,749.0,754.35,3514500.0,3778500.0,2020-01-30
2020-01-08,747.65,758.3,744.85,750.45,2248500.0,3931500.0,2020-01-30
2020-01-09,752.1,758.95,743.65,746.1,2029500.0,4077000.0,2020-01-30
2020-01-10,746.0,755.05,743.5,749.7,1825500.0,4075500.0,2020-01-30
2020-01-13,751.0,762.8,751.0,753.9,1929000.0,4225500.0,2020-01-30
2020-01-14,758.25,768.9,752.1,766.0,2034000.0,4102500.0,2020-01-30
2020-01-15,768.0,773.0,759.5,763.9,1791000.0,4024500.0,2020-01-30
2020-01-16,763.85,797.6,763.85,791.5,4866000.0,4249500.0,2020-01-30
2020-01-17,792.5,793.9,778.95,783.2,2152500.0,4239000.0,2020-01-30
2020-01-20,784.1,787.15,772.5,777.0,1161000.0,4183500.0,2020-01-30
2020-01-21,779.3,779.3,765.2,772.0,1543500.0,4291500.0,2020-01-30
2020-01-22,773.7,775.45,758.9,760.9,1459500.0,4218000.0,2020-01-30
2020-01-23,760.5,766.7,756.85,763.5,1774500.0,4555500.0,2020-01-30
2020-01-24,770.65,770.65,753.2,754.9,2347500.0,4722000.0,2020-01-30
2020-01-27,752.6,766.6,748.3,751.95,3099000.0,4494000.0,2020-01-30
2020-01-28,752.9,762.8,748.7,758.95,2811000.0,3199500.0,2020-01-30
2020-01-29,758.95,763.2,752.25,755.1,2293500.0,4218000.0,2020-02-27
2020-01-30,752.2,775.95,752.2,766.0500000000001,3739500.0,5082000.0,2020-02-27
2020-01-31,770.45,772.5,752.5,754.35,1813500.0,5041500.0,2020-02-27
2020-02-03,736.0500000000001,744.4000000000001,725.1500000000001,740.25,1389000.0,4927500.0,2020-02-27
2020-02-04,743.25,769.5500000000001,743.25,763.75,2536500.0,5133000.0,2020-02-27
2020-02-05,765.2,774.1,747.7,751.35,2499000.0,5029500.0,2020-02-27
2020-02-06,755.2,762.45,739.45,754.8000000000001,2364000.0,4975500.0,2020-02-27
2020-02-07,753.3000000000001,757.6500000000001,746.1,751.45,1155000.0,5014500.0,2020-02-27
2020-02-10,751.2,753.1,741.25,749.6500000000001,1143000.0,4999500.0,2020-02-27
2020-02-11,751.35,755.95,734.95,737.75,1776000.0,5026500.0,2020-02-27
2020-02-12,732.35,744.2,730.75,733.35,1740000.0,4971000.0,2020-02-27
2020-02-13,732.75,738.9000000000001,727.75,731.2,1575000.0,5001000.0,2020-02-27
2020-02-14,733.6,739.8000000000001,730.4000000000001,736.9000000000001,2208000.0,4921500.0,2020-02-27
2020-02-17,768.2,872.0,756.45,864.4000000000001,36537000.0,6307500.0,2020-02-27
2020-02-18,862.0,887.2,837.75,861.35,33514500.0,5298000.0,2020-02-27
2020-02-19,860.7,880.0500000000001,850.4000000000001,867.6500000000001,8773500.0,5164500.0,2020-02-27
2020-02-20,870.25,925.15,859.25,904.75,19093500.0,5323500.0,2020-02-27
2020-02-24,891.2,934.2,886.5500000000001,922.7,15052500.0,4659000.0,2020-02-27
2020-02-25,924.15,943.2,917.65,934.85,10156500.0,3810000.0,2020-02-27
2020-02-26,934.85,947.65,932.65,939.25,4126500.0,4141500.0,2020-03-26
2020-02-27,936.15,943.6,903.45,925.65,7861500.0,4575000.0,2020-03-26
2020-02-28,901.75,913.1,867.65,874.6999999999999,7197000.0,4203000.0,2020-03-26
2020-03-02,882.75,899.35,846.9,853.4499999999999,7047000.0,4486500.0,2020-03-26
2020-03-03,855.5,869.9,841.65,862.05,6459000.0,4605000.0,2020-03-26
2020-03-04,864.65,874.75,845.85,865.55,6912000.0,4588500.0,2020-03-26
2020-03-05,869.6,886.1,863.25,870.6999999999999,4780500.0,4743000.0,2020-03-26
2020-03-06,847.3,868.65,832.4499999999999,863.0,4158000.0,4395000.0,2020-03-26
2020-03-09,854.6999999999999,854.6999999999999,811.1,823.25,5139000.0,4179000.0,2020-03-26
2020-03-11,821.65,845.6,810.65,819.4,5736000.0,4413000.0,2020-03-26
2020-03-12,798.65,800.6999999999999,737.25,743.05,6607500.0,3945000.0,2020-03-26
2020-03-13,696.65,800.65,640.75,787.4499999999999,4422000.0,3519000.0,2020-03-26
2020-03-16,758.65,761.9,697.05,700.4499999999999,3697500.0,3429000.0,2020-03-26
2020-03-17,714.65,714.65,609.1,623.85,8134500.0,3384000.0,2020-03-26
2020-03-18,638.65,649.65,571.65,582.15,7111500.0,3151500.0,2020-03-26
2020-03-19,527.65,583.05,466.65,565.4499999999999,5824500.0,2940000.0,2020-03-26
2020-03-20,581.6999999999999,620.35,564.6999999999999,608.5,6061500.0,3121500.0,2020-03-26
2020-03-23,547.8,588.05,492.7,505.5,2823000.0,2722500.0,2020-03-26
2020-03-24,536.65,538.65,476.85,513.1999999999999,3033000.0,2410500.0,2020-03-26
2020-03-25,513.1999999999999,619.1999999999999,513.1999999999999,610.4999999999999,3118500.0,1921500.0,2020-04-30
2020-03-26,622.1999999999999,639.4,595.65,617.55,2740500.0,2100000.0,2020-04-30
2020-03-27,631.1999999999999,699.0999999999999,619.7499999999999,628.05,3612000.0,1911000.0,2020-04-30
2020-03-30,604.1999999999999,628.5999999999999,595.7499999999999,617.7499999999999,2521500.0,1888500.0,2020-04-30
2020-03-31,633.05,636.8,613.1999999999999,618.3,1915500.0,1945500.0,2020-04-30
2020-04-01,615.9,619.05,599.8499999999999,609.2499999999999,1851000.0,1827000.0,2020-04-30
2020-04-03,607.6999999999999,627.5999999999999,599.8,610.5999999999999,2197500.0,1849500.0,2020-04-30
2020-04-07,637.9999999999999,687.1999999999999,626.8,684.4499999999999,2382000.0,1873500.0,2020-04-30
2020-04-08,666.1999999999999,751.9999999999999,662.2499999999999,695.4,3358500.0,1795500.0,2020-04-30
