date,open,high,low,close,volume,oi,expiry
2021-02-26,2520.05,2650.0,2516.6,2560.9,68625.0,20475.0,2021-03-25
2021-03-01,2590.0,2742.5,2549.15,2680.7,176850.0,82350.0,2021-03-25
2021-03-02,2708.85,2891.9,2708.85,2824.25,427950.0,153450.0,2021-03-25
2021-03-03,2844.95,2845.35,2775.0,2806.15,111600.0,144675.0,2021-03-25
2021-03-04,2763.1,2947.65,2682.4,2846.25,264600.0,171675.0,2021-03-25
2021-03-05,2838.65,2899.0,2742.0,2765.1,216000.0,189900.0,2021-03-25
2021-03-08,2764.15,2845.65,2724.05,2735.15,154800.0,194175.0,2021-03-25
2021-03-09,2777.05,2777.1,2584.05,2650.7,121050.0,206775.0,2021-03-25
2021-03-10,2667.7,2738.0,2660.0,2702.9,108675.0,214875.0,2021-03-25
2021-03-12,2767.7,2767.7,2638.0,2674.0,122400.0,198000.0,2021-03-25
2021-03-15,2666.25,2668.0,2612.25,2633.9,58275.0,192600.0,2021-03-25
2021-03-16,2642.0,2682.6,2632.2,2670.5,74250.0,186300.0,2021-03-25
2021-03-17,2664.3,2727.95,2573.0,2596.8,110025.0,167175.0,2021-03-25
2021-03-18,2634.95,2651.4,2456.95,2493.9,92700.0,163125.0,2021-03-25
2021-03-19,2479.95,2559.35,2400.1,2537.15,90900.0,152775.0,2021-03-25
2021-03-22,2527.7,2581.0,2493.4,2545.95,120375.0,148725.0,2021-03-25
2021-03-23,2557.8,2582.35,2545.25,2549.85,102825.0,110925.0,2021-03-25
2021-03-24,2549.85,2572.85,2518.05,2521.95,108225.0,118350.0,2021-04-29
2021-03-25,2535.0,2535.0,2458.5,2477.1,94275.0,153225.0,2021-04-29
2021-03-26,2532.55,2532.55,2445.0,2471.0,128250.0,159300.0,2021-04-29
2021-03-30,2480.45,2764.2,2480.45,2743.75,340875.0,195750.0,2021-04-29
2021-03-31,2715.25,2825.0,2675.6,2778.8,321075.0,190350.0,2021-04-29
2021-04-01,2820.85,2843.75,2783.0,2812.9,217125.0,206550.0,2021-04-29
2021-04-05,2785.3,2805.0,2735.15,2770.1,122400.0,198450.0,2021-04-29
2021-04-06,2752.65,3010.0,2752.65,2961.2,556650.0,277425.0,2021-04-29
2021-04-07,2988.65,3040.0,2942.0,3030.5,240975.0,286425.0,2021-04-29
2021-04-08,3052.7,3180.95,3037.75,3073.85,305100.0,280350.0,2021-04-29
2021-04-09,3073.0,3122.0,3060.25,3089.65,144450.0,285750.0,2021-04-29
2021-04-12,3039.65,3039.65,2830.3,2955.65,205875.0,265950.0,2021-04-29
2021-04-13,2951.15,3062.75,2951.15,2985.85,184275.0,261225.0,2021-04-29
2021-04-15,2970.2,3010.0,2921.1,2988.5,126450.0,256950.0,2021-04-29
2021-04-16,2995.6,3198.0,2995.6,3160.15,574425.0,312750.0,2021-04-29
2021-04-19,3070.25,3145.0,3037.05,3100.0,149400.0,297675.0,2021-04-29
2021-04-20,3130.7,3160.0,3012.0,3028.95,127125.0,283050.0,2021-04-29
2021-04-22,3004.65,3244.0,3004.65,3224.95,434700.0,332100.0,2021-04-29
2021-04-23,3251.05,3274.9,3145.0,3185.6,317475.0,297450.0,2021-04-29
2021-04-26,3206.15,3293.9,3193.0,3218.45,292275.0,243000.0,2021-04-29
2021-04-27,3221.25,3501.75,3221.25,3480.35,691875.0,276750.0,2021-04-29
2021-04-28,3480.35,3562.05,3337.05,3357.9999999999995,486450.0,276975.0,2021-05-27
2021-04-29,3405.05,3456.4,3344.9999999999995,3398.15,227475.0,311175.0,2021-05-27
2021-04-30,3367.1,3541.7499999999995,3344.7,3433.95,346725.0,371025.0,2021-05-27
2021-05-03,3429.4,3541.05,3412.05,3506.4,275400.0,396225.0,2021-05-27
