date,open,high,low,close,volume,oi,expiry
2020-01-01,23400.0,23838.95,23349.95,23624.6,19350.0,121400.0,2020-01-30
2020-01-02,23752.75,23891.95,23432.05,23636.35,26975.0,127375.0,2020-01-30
2020-01-03,23600.0,23700.05,23300.05,23351.6,20775.0,129450.0,2020-01-30
2020-01-06,23250.0,23296.5,22675.7,22911.9,31175.0,127325.0,2020-01-30
2020-01-07,22882.3,23200.0,22579.45,22844.8,17525.0,128400.0,2020-01-30
2020-01-08,22609.9,23077.85,22406.1,22897.4,19025.0,132450.0,2020-01-30
2020-01-09,23050.0,23739.4,23000.0,23620.85,36200.0,132225.0,2020-01-30
2020-01-10,23600.0,23900.0,23480.0,23731.6,22000.0,131475.0,2020-01-30
2020-01-13,23796.35,23800.0,23118.35,23263.9,25125.0,134525.0,2020-01-30
2020-01-14,23350.0,24364.65,23235.7,23979.6,57425.0,135075.0,2020-01-30
2020-01-15,23875.0,24450.0,23775.5,24344.85,28825.0,135300.0,2020-01-30
2020-01-16,24341.0,25637.9,24341.0,25538.7,71150.0,138850.0,2020-01-30
2020-01-17,25402.05,26081.9,25285.95,25922.75,37050.0,138750.0,2020-01-30
2020-01-20,26123.75,26464.9,25000.0,25492.8,57025.0,137100.0,2020-01-30
2020-01-21,25490.0,25699.35,25253.25,25343.9,29800.0,138650.0,2020-01-30
2020-01-22,25333.75,25830.0,25333.75,25484.0,21700.0,135700.0,2020-01-30
2020-01-23,25536.65,26079.75,25400.0,25947.9,39750.0,130100.0,2020-01-30
2020-01-24,25950.0,26985.0,25849.95,26301.55,73300.0,123800.0,2020-01-30
2020-01-27,26095.55,26765.0,26095.55,26313.3,47525.0,111625.0,2020-01-30
2020-01-28,26313.3,26544.1,24988.55,25077.2,84800.0,84050.0,2020-02-27
2020-01-29,25168.6,25243.6,24692.8,24985.75,87650.0,114475.0,2020-02-27
2020-01-30,24803.6,25093.55,24353.6,24496.55,73675.0,135825.0,2020-02-27
2020-01-31,24493.6,24766.75,24213.6,24409.9,43350.0,134825.0,2020-02-27
2020-02-03,23672.1,24468.55,23672.1,24343.8,30525.0,131225.0,2020-02-27
2020-02-04,24416.9,24869.6,24215.95,24529.35,43325.0,131575.0,2020-02-27
2020-02-05,24705.0,24914.6,24420.5,24652.3,30400.0,134075.0,2020-02-27
2020-02-06,24602.85,24756.4,23713.8,23838.0,62300.0,136300.0,2020-02-27
2020-02-07,23993.55,24055.6,23503.65,23717.5,40550.0,139075.0,2020-02-27
2020-02-10,23694.15,24242.45,23343.6,23832.6,57525.0,143850.0,2020-02-27
2020-02-11,23794.4,24055.1,23691.25,23840.65,25650.0,147950.0,2020-02-27
2020-02-12,23918.65,24077.6,23493.6,23597.1,46325.0,150225.0,2020-02-27
2020-02-13,23593.6,23993.6,23145.8,23404.7,122450.0,156800.0,2020-02-27
2020-02-14,22493.6,22748.0,21593.6,22365.3,303925.0,147300.0,2020-02-27
2020-02-17,22443.6,23173.3,22262.85,22393.0,60075.0,145075.0,2020-02-27
2020-02-18,22204.0,22815.8,22192.55,22702.85,34150.0,148525.0,2020-02-27
2020-02-19,22877.2,23010.8,22712.35,22784.0,33900.0,146750.0,2020-02-27
2020-02-20,22678.6,23693.6,22678.6,23078.9,64625.0,144700.0,2020-02-27
2020-02-24,22993.6,23324.6,22718.8,22843.4,75825.0,117275.0,2020-02-27
2020-02-25,22843.4,23032.3,22334.5,22530.7,70700.0,105350.0,2020-03-26
2020-02-26,22384.6,22384.6,21654.3,21841.55,107225.0,163300.0,2020-03-26
2020-02-27,21972.7,22045.65,21682.3,21873.1,52900.0,183350.0,2020-03-26
2020-02-28,21493.35,22027.3,20857.35,21800.7,75175.0,191925.0,2020-03-26
2020-03-02,22294.45,22394.1,21256.2,21428.35,27150.0,188825.0,2020-03-26
2020-03-03,21343.85,22226.95,21343.85,22036.2,35200.0,186250.0,2020-03-26
2020-03-04,22086.6,22137.3,21487.35,21966.3,28000.0,187000.0,2020-03-26
2020-03-05,22200.3,22466.25,21994.7,22139.9,37875.0,184475.0,2020-03-26
2020-03-06,21493.1,22427.0,21493.1,22109.45,29575.0,182900.0,2020-03-26
2020-03-09,21681.95,21949.2,21130.65,21568.25,40350.0,183775.0,2020-03-26
2020-03-11,21508.25,21751.35,20732.3,21016.75,29750.0,179150.0,2020-03-26
2020-03-12,19839.2,20986.95,18969.3,19377.6,48475.0,171950.0,2020-03-26
2020-03-13,18597.3,21232.3,17382.3,19873.0,41925.0,165650.0,2020-03-26
2020-03-16,18994.2,19333.0,18415.7,18796.2,45900.0,160625.0,2020-03-26
2020-03-17,19330.6,19762.25,18669.9,18959.75,43575.0,153575.0,2020-03-26
2020-03-18,19310.2,19310.2,17506.55,18530.15,54975.0,151375.0,2020-03-26
2020-03-19,17694.3,19484.85,17316.55,18214.85,72300.0,151925.0,2020-03-26
2020-03-20,18215.1,19040.85,17932.3,18173.3,87025.0,154475.0,2020-03-26
2020-03-23,16537.35,18460.25,16385.2,16697.7,82325.0,114500.0,2020-03-26
2020-03-24,16697.7,17309.9,15997.7,16634.15,72975.0,100725.0,2020-04-30
2020-03-25,16602.75,16784.8,16247.55,16620.600000000002,39975.0,113200.0,2020-04-30
2020-03-26,16622.7,17917.4,15717.15,17091.4,39900.0,117625.0,2020-04-30
2020-03-27,17317.4,17926.5,16862.7,17418.3,36650.0,117475.0,2020-04-30
2020-03-30,17107.7,17585.65,16328.8,16691.8,21300.0,118150.0,2020-04-30
2020-03-31,17147.7,17215.05,16655.2,16744.75,11450.0,118600.0,2020-04-30
2020-04-01,16897.7,16897.7,16531.7,16696.850000000002,20225.0,124875.0,2020-04-30
2020-04-03,16597.7,16860.65,16447.7,16620.600000000002,17425.0,130625.0,2020-04-30
2020-04-07,16906.45,17257.7,16793.2,16914.3,34550.0,130650.0,2020-04-30
2020-04-08,16797.9,17847.7,16797.9,16940.100000000002,21925.0,129975.0,2020-04-30
