date,open,high,low,close,volume,oi,expiry
2025-06-27,761.0,780.55,756.9,764.6,1430800.0,932400.0,2025-07-31
2025-06-30,768.1,771.0,750.15,759.9,1447600.0,1720600.0,2025-07-31
2025-07-01,758.75,760.0,723.8,727.8,1732500.0,2515800.0,2025-07-31
2025-07-02,730.25,753.9,726.5,750.7,2181900.0,2905700.0,2025-07-31
2025-07-03,749.2,774.0,741.05,767.25,2426200.0,3140900.0,2025-07-31
2025-07-04,770.0,775.95,747.35,758.45,825300.0,3113600.0,2025-07-31
2025-07-07,753.6,769.0,751.0,762.65,974400.0,3296300.0,2025-07-31
2025-07-08,758.35,764.95,742.75,744.55,868700.0,3574200.0,2025-07-31
2025-07-09,746.9,793.85,743.6,790.55,3686200.0,3735200.0,2025-07-31
2025-07-10,793.0,795.7,774.75,777.0,1563800.0,3670100.0,2025-07-31
2025-07-11,776.85,778.25,759.5,770.5,757400.0,3745700.0,2025-07-31
2025-07-14,767.85,795.8,761.75,787.3,1538600.0,4134200.0,2025-07-31
2025-07-15,789.9,817.75,786.5,812.4,3454500.0,4655700.0,2025-07-31
2025-07-16,815.0,836.65,805.55,831.95,3195500.0,5362000.0,2025-07-31
2025-07-17,832.15,840.0,824.55,829.25,1195600.0,5380200.0,2025-07-31
2025-07-18,834.85,834.85,803.6,809.55,1728300.0,5208700.0,2025-07-31
2025-07-21,806.3,821.05,803.05,810.15,1128400.0,5490100.0,2025-07-31
2025-07-22,810.15,816.3,783.85,789.5,1004500.0,5618200.0,2025-07-31
2025-07-23,789.4,797.8,778.45,792.95,1112300.0,5706400.0,2025-07-31
2025-07-24,801.85,819.0,793.15,803.0,1722700.0,5647600.0,2025-07-31
2025-07-25,800.75,818.65,791.7,802.2,1995000.0,5418700.0,2025-07-31
2025-07-28,795.0,818.0,784.6,790.1,2209900.0,4886000.0,2025-07-31
2025-07-29,790.1,812.6,783.55,807.4499999999999,2879100.0,4274200.0,2025-08-28
2025-07-30,807.4499999999999,821.85,804.4,806.4,2506700.0,5475400.0,2025-08-28
2025-07-31,788.9,825.1999999999999,787.25,813.5,4080300.0,6862800.0,2025-08-28
2025-08-01,814.9499999999999,814.9499999999999,773.8,776.5,2647400.0,7082600.0,2025-08-28
2025-08-04,773.9,797.65,769.25,790.4,2494100.0,7291900.0,2025-08-28
2025-08-05,793.1,795.6999999999999,781.9,788.5,877100.0,7339500.0,2025-08-28
2025-08-06,777.9,786.55,747.15,749.1999999999999,3603600.0,7174300.0,2025-08-28
2025-08-07,735.9,750.9,708.9,735.75,2692900.0,6583500.0,2025-08-28
