date,open,high,low,close,volume,oi,expiry
2025-03-28,878.0,908.4,875.8,886.6,1138150.0,544700.0,2025-04-24
2025-04-01,881.7,884.8,859.5,878.5,553150.0,841750.0,2025-04-24
2025-04-02,880.1,929.05,873.4,922.2,1170000.0,1328600.0,2025-04-24
2025-04-03,924.05,960.45,906.05,941.3,1397500.0,1551550.0,2025-04-24
2025-04-04,940.85,966.0,932.15,952.45,1698450.0,1721850.0,2025-04-24
2025-04-07,859.75,929.2,858.0,927.15,1210950.0,1969500.0,2025-04-24
2025-04-08,955.15,981.95,953.0,965.05,2185300.0,2155400.0,2025-04-24
2025-04-09,965.0,969.05,922.0,926.6,1174550.0,2466750.0,2025-04-24
2025-04-11,942.45,984.4,924.3,980.1,1622400.0,2488850.0,2025-04-24
2025-04-15,992.0,992.0,970.25,973.85,1069250.0,2463500.0,2025-04-24
2025-04-16,976.95,1006.1,973.9,1002.05,1248000.0,2438150.0,2025-04-24
2025-04-17,1002.65,1013.0,990.15,993.2,1151800.0,2505100.0,2025-04-24
2025-04-21,997.35,1010.0,992.5,1006.1,1298050.0,2267850.0,2025-04-24
2025-04-22,1008.8,1012.05,991.15,995.7,932750.0,1848600.0,2025-04-24
2025-04-23,995.7,1007.75,986.25,1001.3,1447550.0,2625350.0,2025-05-29
2025-04-24,999.4,1019.55,994.6,1010.4,1469000.0,3023800.0,2025-05-29
2025-04-25,1010.8,1014.25,959.15,968.2,975000.0,3025100.0,2025-05-29
2025-04-28,979.3,997.9,978.95,985.35,858650.0,3056300.0,2025-05-29
2025-04-29,1051.85,1084.45,1020.15,1031.0,6919900.0,4146350.0,2025-05-29
2025-04-30,1024.75,1028.5,1003.0,1009.45,2453100.0,4460300.0,2025-05-29
2025-05-02,1066.75,1084.75,1047.85,1050.35,7228650.0,5331300.0,2025-05-29
2025-05-05,1064.75,1069.45,1041.75,1058.05,2996500.0,5880550.0,2025-05-29
2025-05-06,1064.75,1067.75,1032.85,1038.45,1827150.0,5945550.0,2025-05-29
2025-05-07,1032.05,1059.75,1027.75,1057.45,2694900.0,5977400.0,2025-05-29
2025-05-08,1058.05,1068.75,1014.65,1020.65,1779050.0,5465200.0,2025-05-29
2025-05-09,1000.25,1033.25,1000.25,1029.15,1035450.0,5578950.0,2025-05-29
2025-05-12,1042.75,1080.45,1042.75,1071.95,1998750.0,5641350.0,2025-05-29
2025-05-13,1071.85,1098.35,1059.35,1086.75,2029950.0,5715450.0,2025-05-29
2025-05-14,1088.45,1093.65,1073.35,1081.65,975000.0,5567250.0,2025-05-29
2025-05-15,1077.45,1084.15,1065.55,1072.85,1102400.0,5632900.0,2025-05-29
2025-05-16,1076.25,1088.55,1065.95,1071.45,785850.0,5812950.0,2025-05-29
2025-05-19,1072.05,1077.85,1046.25,1053.05,860600.0,6023550.0,2025-05-29
2025-05-20,1058.75,1060.35,1036.45,1038.95,660400.0,6072300.0,2025-05-29
2025-05-21,1050.65,1059.25,1038.65,1049.25,686400.0,6006650.0,2025-05-29
2025-05-22,1044.45,1054.15,1025.35,1042.15,920400.0,6046950.0,2025-05-29
2025-05-23,1040.35,1048.55,1032.65,1041.15,624650.0,5866250.0,2025-05-29
2025-05-26,1041.05,1053.35,1032.75,1042.75,2097550.0,5596500.0,2025-05-29
2025-05-27,1036.55,1043.75,1020.85,1036.65,2328300.0,4104750.0,2025-05-29
2025-05-28,1036.65,1052.95,1032.0500000000002,1035.25,2705950.0,5419700.0,2025-06-26
2025-05-29,1036.85,1041.45,1017.65,1032.65,1968850.0,6192550.0,2025-06-26
2025-05-30,1029.95,1038.65,1020.35,1033.75,531050.0,6169150.0,2025-06-26
2025-06-02,1032.15,1066.15,1028.95,1062.95,1819350.0,6469450.0,2025-06-26
2025-06-03,1062.0500000000002,1066.95,1030.75,1038.0500000000002,1877200.0,6575400.0,2025-06-26
2025-06-04,1043.15,1052.0500000000002,1037.95,1044.35,968500.0,6535100.0,2025-06-26
2025-06-05,1044.15,1055.0500000000002,1038.45,1051.85,624650.0,6490900.0,2025-06-26
2025-06-06,1057.15,1106.15,1043.15,1093.95,5149300.0,7749950.0,2025-06-26
2025-06-09,1105.15,1127.0500000000002,1098.5500000000002,1112.0500000000002,2663700.0,7654400.0,2025-06-26
2025-06-10,1111.95,1122.65,1101.85,1110.65,809900.0,7678450.0,2025-06-26
2025-06-11,1109.25,1118.15,1094.5500000000002,1106.75,1009450.0,7390500.0,2025-06-26
2025-06-12,1097.65,1105.0500000000002,1068.25,1072.75,1315600.0,7352800.0,2025-06-26
2025-06-13,1061.85,1061.85,1031.15,1042.35,1506050.0,7404150.0,2025-06-26
2025-06-16,1048.85,1057.45,1034.25,1049.75,1082250.0,7513350.0,2025-06-26
2025-06-17,1049.65,1066.65,1044.45,1047.45,783250.0,7506200.0,2025-06-26
2025-06-18,1047.75,1056.95,1042.75,1044.35,852150.0,7694700.0,2025-06-26
2025-06-19,1030.95,1047.35,1012.65,1024.5500000000002,833950.0,7777250.0,2025-06-26
2025-06-20,1024.0500000000002,1036.0500000000002,1016.65,1033.5500000000002,1096550.0,7800650.0,2025-06-26
2025-06-23,1028.15,1046.75,1017.25,1042.65,3107650.0,7413250.0,2025-06-26
2025-06-24,1049.35,1062.45,1045.35,1050.75,2562300.0,5737550.0,2025-06-26
2025-06-25,1050.75,1087.85,1045.85,1075.75,4903600.0,7848100.0,2025-07-31
2025-06-26,1082.75,1109.55,1071.55,1101.95,5153200.0,9713600.0,2025-07-31
2025-06-27,1119.75,1119.75,1088.35,1092.15,4354350.0,9642750.0,2025-07-31
2025-06-30,1093.75,1102.25,1085.25,1099.25,1266200.0,9545250.0,2025-07-31
2025-07-01,1088.75,1103.75,1088.75,1092.75,908700.0,9664850.0,2025-07-31
2025-07-02,1090.75,1091.55,1061.25,1072.45,1204450.0,9719450.0,2025-07-31
2025-07-03,1075.75,1077.95,1061.05,1070.75,786500.0,9714250.0,2025-07-31
2025-07-04,1067.85,1075.95,1062.15,1068.95,421850.0,9690850.0,2025-07-31
2025-07-07,1064.75,1079.85,1060.85,1076.35,487500.0,9752600.0,2025-07-31
2025-07-08,1071.35,1081.75,1060.95,1074.75,647400.0,9709050.0,2025-07-31
2025-07-09,1071.95,1094.65,1067.95,1083.65,937950.0,9543950.0,2025-07-31
2025-07-10,1083.95,1093.75,1058.15,1071.55,1028950.0,9606350.0,2025-07-31
2025-07-11,1072.75,1072.75,1050.05,1061.45,820300.0,9666800.0,2025-07-31
2025-07-14,1071.05,1075.45,1058.75,1072.55,519350.0,9621950.0,2025-07-31
2025-07-15,1075.45,1094.05,1064.75,1086.85,1729000.0,9738300.0,2025-07-31
2025-07-16,1093.55,1104.25,1077.75,1092.25,2013700.0,9757150.0,2025-07-31
2025-07-17,1092.85,1098.45,1072.15,1080.25,999700.0,9896900.0,2025-07-31
2025-07-18,1070.45,1087.05,1064.75,1068.25,1097850.0,9862450.0,2025-07-31
2025-07-21,1063.35,1077.65,1041.75,1072.25,2634450.0,10037950.0,2025-07-31
2025-07-22,1087.75,1100.15,1065.55,1070.55,4521400.0,9747400.0,2025-07-31
2025-07-23,1063.25,1064.35,1017.95,1046.65,3402750.0,9326200.0,2025-07-31
2025-07-24,1045.55,1049.65,1023.15,1033.05,993850.0,8982350.0,2025-07-31
2025-07-25,1026.75,1026.75,978.75,992.55,1681550.0,8611200.0,2025-07-31
2025-07-28,981.45,1015.05,979.05,997.45,3151850.0,7833150.0,2025-07-31
2025-07-29,997.45,1000.35,975.95,992.95,2978300.0,6117150.0,2025-08-28
2025-07-30,989.95,997.85,970.05,972.05,2618850.0,8135400.0,2025-08-28
2025-07-31,963.45,981.25,949.35,971.15,1844050.0,9008350.0,2025-08-28
2025-08-01,872.5500000000001,872.5500000000001,792.3000000000001,797.6,23234900.0,16757650.0,2025-08-28
2025-08-04,799.8000000000001,808.95,758.1500000000001,765.8000000000001,1331850.0,15953600.0,2025-08-28
2025-08-05,770.95,781.45,751.85,754.6,264550.0,15290600.0,2025-08-28
2025-08-06,757.25,774.9000000000001,755.4000000000001,762.1,418600.0,14850550.0,2025-08-28
2025-08-07,758.25,758.25,740.4000000000001,746.8000000000001,198250.0,14658800.0,2025-08-28
2025-08-08,752.95,769.95,751.2,756.6500000000001,194350.0,14522950.0,2025-08-28
2025-08-11,763.0,768.25,757.75,761.3000000000001,115050.0,14343550.0,2025-08-28
2025-08-12,759.6,765.0500000000001,750.95,753.6500000000001,112450.0,14209650.0,2025-08-28
2025-08-13,756.75,761.95,754.2,759.75,135200.0,14069250.0,2025-08-28
2025-08-14,757.95,764.6500000000001,747.2,754.5500000000001,228150.0,13881400.0,2025-08-28
2025-08-18,759.8000000000001,774.6,755.6500000000001,772.0,407550.0,13690950.0,2025-08-28
2025-08-19,773.95,812.35,770.95,805.8000000000001,8854300.0,13640900.0,2025-08-28
2025-08-20,806.75,806.95,790.3000000000001,796.8000000000001,2428400.0,13761800.0,2025-08-28
2025-08-21,798.85,803.3000000000001,789.45,791.2,1225250.0,13582400.0,2025-08-28
2025-08-22,791.95,793.5500000000001,781.35,786.25,3342950.0,12934350.0,2025-08-28
2025-08-25,790.0500000000001,792.85,780.9000000000001,786.0,5865600.0,11799450.0,2025-08-28
2025-08-26,786.0,787.65,765.8,767.8,4187950.0,12067250.0,2025-09-30
2025-08-28,767.8,770.9,751.4,753.05,6221150.0,16023150.0,2025-09-30
2025-08-29,753.8,760.9,734.6999999999999,738.55,1633450.0,16628950.0,2025-09-30
2025-09-01,743.05,747.65,735.1999999999999,745.55,2549950.0,16379350.0,2025-09-30
2025-09-02,751.3,778.4499999999999,743.85,771.6,5010850.0,16484650.0,2025-09-30
2025-09-03,772.4499999999999,780.65,770.4,775.75,1555450.0,16473600.0,2025-09-30
2025-09-04,779.4,780.55,763.8,766.6999999999999,938600.0,16432000.0,2025-09-30
2025-09-05,768.5,779.15,760.55,777.1,1942850.0,16806400.0,2025-09-30
2025-09-08,779.15,795.6999999999999,779.15,785.15,4148950.0,17063800.0,2025-09-30
2025-09-09,791.05,795.55,784.6,786.0,2319200.0,17505150.0,2025-09-30
2025-09-10,790.4,803.55,787.85,792.5,3318900.0,17235400.0,2025-09-30
2025-09-11,797.9499999999999,799.75,789.05,796.4499999999999,1938950.0,17299100.0,2025-09-30
2025-09-12,797.15,820.15,795.15,814.8,4317950.0,17724850.0,2025-09-30
2025-09-15,799.05,828.15,799.05,818.4,2312050.0,17709250.0,2025-09-30
2025-09-16,819.15,821.55,811.25,815.25,1465100.0,17518800.0,2025-09-30
2025-09-17,819.15,826.1,811.65,823.9,2408900.0,17518150.0,2025-09-30
2025-09-18,831.15,852.05,825.6,846.1999999999999,4187950.0,17568850.0,2025-09-30
2025-09-19,844.15,860.9499999999999,836.9,851.5,4496700.0,17376450.0,2025-09-30
2025-09-22,849.9499999999999,858.15,838.5,843.55,1849250.0,16474900.0,2025-09-30
2025-09-23,841.35,879.9499999999999,841.35,873.8,4343950.0,15634450.0,2025-09-30
2025-09-24,869.15,879.8,862.75,870.6,2401100.0,14971450.0,2025-09-30
2025-09-25,862.4499999999999,895.15,853.65,888.05,9246900.0,12372100.0,2025-09-30
2025-09-26,888.05,892.05,845.3499999999999,850.4499999999999,4318600.0,10627500.0,2025-10-28
2025-09-29,850.4499999999999,865.05,847.55,854.15,4706000.0,13614250.0,2025-10-28
2025-09-30,857.8499999999999,861.1999999999999,843.9499999999999,848.05,2870400.0,14907750.0,2025-10-28
2025-10-01,848.9,876.6999999999999,845.0,867.0999999999999,2413450.0,15143700.0,2025-10-28
2025-10-03,869.6999999999999,878.6999999999999,863.05,872.9499999999999,980200.0,15020200.0,2025-10-28
2025-10-06,872.9499999999999,886.75,872.55,879.75,1899950.0,14899300.0,2025-10-28
2025-10-07,884.05,884.05,862.0999999999999,872.5,1367600.0,14831700.0,2025-10-28
2025-10-08,873.05,887.25,853.4499999999999,856.9499999999999,1638650.0,15005900.0,2025-10-28
2025-10-09,859.5999999999999,862.65,851.05,859.8,1298700.0,14688050.0,2025-10-28
2025-10-10,856.8,860.9,835.05,837.4,1847300.0,14764750.0,2025-10-28
2025-10-13,819.05,841.5999999999999,811.3499999999999,836.55,1268800.0,14740700.0,2025-10-28
2025-10-14,831.75,838.55,816.55,825.9,1593800.0,14612000.0,2025-10-28
