date,open,high,low,close,volume,oi,expiry
2024-11-29,1860.0,1929.35,1804.2,1905.1,340925.0,187200.0,2024-12-26
2024-12-02,1891.1,2013.4,1858.95,1979.15,409175.0,364000.0,2024-12-26
2024-12-03,2019.95,2020.0,1885.55,1937.1,1247350.0,779025.0,2024-12-26
2024-12-04,1930.0,2029.65,1925.0,2014.25,1046175.0,1039675.0,2024-12-26
2024-12-05,2008.85,2049.0,1991.15,2031.8,663000.0,1165125.0,2024-12-26
2024-12-06,2040.0,2150.8,2019.0,2144.3,1361100.0,1469000.0,2024-12-26
2024-12-09,2120.15,2198.4,2107.0,2139.65,1201200.0,1683500.0,2024-12-26
2024-12-10,2125.15,2195.1,2058.0,2178.6,1612650.0,1967875.0,2024-12-26
2024-12-11,2190.0,2195.3,2136.85,2166.65,803075.0,1950000.0,2024-12-26
2024-12-12,2153.35,2195.0,2134.45,2146.3,638950.0,1975025.0,2024-12-26
2024-12-13,2123.2,2153.55,2096.25,2109.25,550875.0,2047175.0,2024-12-26
2024-12-16,2096.8,2132.75,2080.45,2121.95,754975.0,2069925.0,2024-12-26
2024-12-17,2119.85,2188.0,2115.7,2139.75,939250.0,2192450.0,2024-12-26
2024-12-18,2132.65,2177.15,2099.3,2149.95,743600.0,2190500.0,2024-12-26
2024-12-19,2105.3,2157.35,2064.95,2145.8,756925.0,2199925.0,2024-12-26
2024-12-20,2156.5,2156.5,2060.65,2094.55,1169675.0,1871350.0,2024-12-26
2024-12-23,2132.6,2141.45,2075.6,2118.7,1348100.0,1655550.0,2024-12-26
2024-12-24,2118.7,2118.7,2059.4,2073.75,1649375.0,2289625.0,2025-01-30
2024-12-26,2077.85,2079.25,2039.95,2051.75,940550.0,2428725.0,2025-01-30
2024-12-27,2073.7,2084.1,2047.35,2065.05,416325.0,2441400.0,2025-01-30
2024-12-30,2054.6,2138.5,2043.3,2107.75,2048150.0,3113500.0,2025-01-30
