date,open,high,low,close,volume,oi,expiry
2020-05-04,707.25,727.0,677.0,689.65,390750.0,174000.0,2020-05-28
2020-05-05,699.0,735.5,699.0,715.85,2418000.0,643500.0,2020-05-28
2020-05-06,712.0,751.45,706.5,733.45,2829000.0,942750.0,2020-05-28
2020-05-07,737.6,744.45,726.0,736.95,783000.0,978000.0,2020-05-28
2020-05-08,742.0,770.95,740.65,759.5,1889250.0,1230000.0,2020-05-28
2020-05-11,767.4,771.85,746.0,751.8,1018500.0,1432500.0,2020-05-28
2020-05-12,746.95,756.0,737.2,746.85,788250.0,1523250.0,2020-05-28
2020-05-13,771.6,785.05,755.55,762.15,2027250.0,1912500.0,2020-05-28
2020-05-14,755.0,770.65,742.85,747.15,838500.0,1993500.0,2020-05-28
2020-05-15,752.1,755.0,741.1,753.1,759000.0,2075250.0,2020-05-28
2020-05-18,750.7,750.75,695.25,700.35,1302750.0,2180250.0,2020-05-28
2020-05-19,704.1,720.75,699.0,704.2,866250.0,2224500.0,2020-05-28
2020-05-20,704.8,719.0,699.85,716.9,530250.0,2212500.0,2020-05-28
2020-05-21,717.95,742.95,717.75,731.35,678000.0,2209500.0,2020-05-28
2020-05-22,732.05,742.65,724.0,730.05,710250.0,2274000.0,2020-05-28
2020-05-26,734.0,756.0,730.0,754.75,1338750.0,1759500.0,2020-05-28
2020-05-27,754.75,754.75,733.55,739.0,2034750.0,2094750.0,2020-06-25
2020-05-28,740.7,752.55,738.9,747.35,893250.0,2349750.0,2020-06-25
2020-05-29,745.45,776.75,745.45,766.1,4244250.0,3909750.0,2020-06-25
2020-06-01,772.7,779.65,763.45,774.35,1032750.0,3972750.0,2020-06-25
2020-06-02,777.7,791.05,772.8,778.4,1365000.0,4079250.0,2020-06-25
2020-06-03,787.7,815.6,780.9,805.85,2268750.0,4198500.0,2020-06-25
2020-06-04,808.75,820.1,791.3,795.85,1143000.0,4228500.0,2020-06-25
2020-06-05,801.85,805.75,784.4,797.55,1056000.0,4340250.0,2020-06-25
2020-06-08,801.7,806.75,777.2,780.1,917250.0,4422000.0,2020-06-25
2020-06-09,780.35,791.4,749.75,755.65,2162250.0,4708500.0,2020-06-25
2020-06-10,757.75,761.7,740.05,743.4,3770250.0,5056500.0,2020-06-25
2020-06-11,739.9,758.7,732.65,737.9,2468250.0,4804500.0,2020-06-25
2020-06-12,729.75,758.7,728.85,750.6,5583000.0,6085500.0,2020-06-25
2020-06-15,747.75,755.75,741.15,746.05,3092250.0,5690250.0,2020-06-25
2020-06-16,751.25,771.2,742.35,764.75,2692500.0,5646750.0,2020-06-25
2020-06-17,768.15,780.6,765.05,772.9,1935000.0,5360250.0,2020-06-25
2020-06-18,770.15,786.2,767.9,772.75,1115250.0,5411250.0,2020-06-25
2020-06-19,773.95,781.25,767.7,776.7,1341000.0,4914000.0,2020-06-25
2020-06-22,784.95,789.35,761.1,777.4,1712250.0,4511250.0,2020-06-25
2020-06-23,780.1,806.7,779.8,797.0,3669750.0,4040250.0,2020-06-25
2020-06-24,797.0,803.2,768.35,774.5500000000001,2377500.0,3792750.0,2020-07-30
2020-06-25,770.1500000000001,785.95,768.75,779.1,1779000.0,4935000.0,2020-07-30
2020-06-26,782.6500000000001,795.45,773.35,775.5500000000001,933750.0,5199750.0,2020-07-30
2020-06-29,774.75,780.1,765.2,777.5500000000001,623250.0,5332500.0,2020-07-30
2020-06-30,779.25,800.3000000000001,779.2,796.85,1739250.0,5727750.0,2020-07-30
2020-07-01,804.3000000000001,810.1,792.3000000000001,797.1500000000001,1242750.0,5771250.0,2020-07-30
2020-07-02,798.1500000000001,813.2,796.2,807.2,1166250.0,5864250.0,2020-07-30
2020-07-03,810.1500000000001,838.2,809.95,836.45,1750500.0,6015750.0,2020-07-30
2020-07-06,842.0500000000001,865.45,841.5,853.6500000000001,1892250.0,5963250.0,2020-07-30
2020-07-07,856.0,865.1500000000001,846.1,858.9000000000001,933750.0,6007500.0,2020-07-30
2020-07-08,860.35,860.35,840.35,844.1,934500.0,5965500.0,2020-07-30
2020-07-09,840.5,845.85,828.2,834.25,699000.0,5966250.0,2020-07-30
2020-07-10,841.9000000000001,863.85,840.6500000000001,852.9000000000001,2012250.0,5992500.0,2020-07-30
2020-07-13,856.25,860.0500000000001,841.35,856.5500000000001,821250.0,6024750.0,2020-07-30
2020-07-14,855.75,879.1,848.4000000000001,853.1500000000001,1968750.0,6154500.0,2020-07-30
2020-07-15,857.0,863.1,846.2,849.25,818250.0,6184500.0,2020-07-30
2020-07-16,852.1500000000001,862.1,845.2,858.6500000000001,792750.0,6189000.0,2020-07-30
2020-07-17,863.45,874.5,856.0,869.0500000000001,1470000.0,6201000.0,2020-07-30
2020-07-20,871.4000000000001,879.2,841.2,844.75,2378250.0,6391500.0,2020-07-30
2020-07-21,853.1,889.7,836.5,882.5,7576500.0,6216000.0,2020-07-30
2020-07-22,886.0,886.0,847.0,852.35,2240250.0,5995500.0,2020-07-30
2020-07-23,851.2,872.6,850.75,869.9000000000001,1080000.0,5824500.0,2020-07-30
2020-07-24,865.0,869.1,853.45,858.5,573750.0,5681250.0,2020-07-30
2020-07-27,864.95,873.0,847.95,859.45,2025750.0,4745250.0,2020-07-30
2020-07-28,859.45,880.0000000000001,858.1500000000001,872.85,2872500.0,3851250.0,2020-08-27
2020-07-29,876.3000000000001,882.1,866.4000000000001,870.45,2163750.0,5240250.0,2020-08-27
2020-07-30,875.9000000000001,905.8,872.1,902.7,3400500.0,6402000.0,2020-08-27
2020-07-31,907.3,909.5,893.1,903.6,1791750.0,6516000.0,2020-08-27
2020-08-03,895.7,899.85,861.4000000000001,864.0000000000001,1688250.0,6540750.0,2020-08-27
2020-08-04,871.7,872.0000000000001,857.3000000000001,866.7500000000001,881250.0,6492000.0,2020-08-27
2020-08-05,866.3000000000001,871.2500000000001,849.1500000000001,851.5000000000001,1529250.0,6471000.0,2020-08-27
2020-08-06,856.4000000000001,869.3000000000001,851.3000000000001,866.9000000000001,1107000.0,6509250.0,2020-08-27
2020-08-07,872.2,872.5000000000001,853.3000000000001,859.4000000000001,890250.0,6507000.0,2020-08-27
2020-08-10,870.95,870.95,853.35,856.45,1005000.0,6460500.0,2020-08-27
2020-08-11,859.2,868.4000000000001,848.0500000000001,851.0500000000001,1009500.0,6575250.0,2020-08-27
2020-08-12,851.0500000000001,858.2500000000001,841.35,847.9000000000001,848250.0,6655500.0,2020-08-27
2020-08-13,847.5000000000001,857.7500000000001,844.35,850.6500000000001,658500.0,6564000.0,2020-08-27
2020-08-14,854.35,854.35,817.95,828.45,2355000.0,6714000.0,2020-08-27
2020-08-17,831.85,836.1,826.3000000000001,832.85,875250.0,6617250.0,2020-08-27
2020-08-18,836.3000000000001,852.7,833.6500000000001,848.5000000000001,1302000.0,6570000.0,2020-08-27
2020-08-19,850.9000000000001,864.7500000000001,850.8000000000001,853.0500000000001,1746000.0,6435000.0,2020-08-27
2020-08-20,838.1,852.3000000000001,836.45,839.45,858750.0,6321750.0,2020-08-27
2020-08-21,866.5500000000001,876.1,845.7,848.3000000000001,4308000.0,5971500.0,2020-08-27
2020-08-24,856.3000000000001,856.5500000000001,837.95,848.7500000000001,2613750.0,4485750.0,2020-08-27
2020-08-25,848.7500000000001,851.8500000000001,825.2,834.95,3517500.0,4849500.0,2020-09-24
2020-08-26,833.6000000000001,839.6500000000001,819.2,824.7,3414750.0,6066000.0,2020-09-24
2020-08-27,825.7,830.7500000000001,819.5500000000001,827.7,2211750.0,6711000.0,2020-09-24
2020-08-28,832.3000000000001,844.5000000000001,827.8000000000001,839.1500000000001,2336250.0,6699750.0,2020-09-24
2020-08-31,841.8000000000001,849.6500000000001,805.0500000000001,812.4000000000001,2220750.0,6578250.0,2020-09-24
2020-09-01,808.0000000000001,827.0500000000001,804.3500000000001,823.1500000000001,1626750.0,6732000.0,2020-09-24
2020-09-02,832.6500000000001,846.1500000000001,826.6500000000001,837.2500000000001,2005500.0,6534750.0,2020-09-24
2020-09-03,839.9000000000001,848.6500000000001,837.7500000000001,839.2500000000001,981000.0,6505500.0,2020-09-24
2020-09-04,824.8000000000001,831.6000000000001,816.1500000000001,818.7,1214250.0,6575250.0,2020-09-24
2020-09-07,818.1000000000001,828.5500000000001,810.0500000000001,824.4000000000001,922500.0,6579750.0,2020-09-24
2020-09-08,825.95,836.8500000000001,816.9000000000001,828.2,1345500.0,6657750.0,2020-09-24
2020-09-09,820.1000000000001,829.6000000000001,808.2,814.5500000000001,1446750.0,6547500.0,2020-09-24
2020-09-10,815.8000000000001,833.3000000000001,815.7500000000001,829.3500000000001,1182000.0,6465750.0,2020-09-24
2020-09-11,830.95,852.6000000000001,830.5500000000001,849.8500000000001,2275500.0,6506250.0,2020-09-24
2020-09-14,855.1500000000001,860.6500000000001,833.0000000000001,840.6500000000001,1607250.0,6411000.0,2020-09-24
2020-09-15,844.5500000000001,852.7500000000001,836.3000000000001,847.7500000000001,1182750.0,6355500.0,2020-09-24
2020-09-16,850.95,856.6500000000001,844.9000000000001,850.7,1246500.0,6219000.0,2020-09-24
2020-09-17,846.8500000000001,849.0000000000001,835.1500000000001,838.6500000000001,1023000.0,6189000.0,2020-09-24
2020-09-18,839.9000000000001,843.6500000000001,827.9000000000001,831.7500000000001,1746750.0,5812500.0,2020-09-24
2020-09-21,832.6500000000001,833.7,818.7,822.1000000000001,1419000.0,5526750.0,2020-09-24
2020-09-22,817.95,819.95,785.1500000000001,813.6500000000001,3613500.0,4919250.0,2020-09-24
2020-09-23,813.6500000000001,818.9000000000001,803.2500000000001,810.5000000000001,2731500.0,4488750.0,2020-10-29
2020-09-24,806.6500000000001,807.4000000000001,760.0000000000001,779.0500000000001,8351250.0,5871000.0,2020-10-29
2020-09-25,740.8000000000001,789.0000000000001,740.8000000000001,772.6000000000001,2862750.0,5862750.0,2020-10-29
2020-09-28,779.4000000000001,792.1000000000001,776.1500000000001,789.2,1309500.0,5839500.0,2020-10-29
2020-09-29,792.3500000000001,807.1500000000001,780.6500000000001,785.5000000000001,1873500.0,5908500.0,2020-10-29
2020-09-30,782.5000000000001,791.6000000000001,778.8000000000001,788.1000000000001,1134750.0,5914500.0,2020-10-29
2020-10-01,790.2,802.45,786.45,797.5000000000001,1383000.0,5817000.0,2020-10-29
2020-10-05,799.5000000000001,812.7500000000001,792.6000000000001,803.7500000000001,1219500.0,5834250.0,2020-10-29
2020-10-06,805.4000000000001,814.4000000000001,799.9000000000001,806.8000000000001,1054500.0,5793000.0,2020-10-29
2020-10-07,810.3500000000001,812.3000000000001,802.6500000000001,806.5000000000001,876000.0,5853000.0,2020-10-29
2020-10-08,811.8500000000001,811.8500000000001,793.7500000000001,796.7500000000001,1599750.0,5727000.0,2020-10-29
2020-10-09,802.8500000000001,802.8500000000001,779.1000000000001,781.4000000000001,1512000.0,5597250.0,2020-10-29
2020-10-12,784.0000000000001,786.6500000000001,762.5500000000001,766.7500000000001,1385250.0,5465250.0,2020-10-29
2020-10-13,767.2,769.1000000000001,758.6000000000001,764.0500000000001,1080750.0,5511750.0,2020-10-29
2020-10-14,764.0500000000001,788.8500000000001,752.9000000000001,786.8500000000001,2286750.0,5376750.0,2020-10-29
2020-10-15,789.6000000000001,796.8500000000001,778.0500000000001,781.5000000000001,2325750.0,5607750.0,2020-10-29
2020-10-16,780.45,787.6500000000001,774.1500000000001,776.3500000000001,920250.0,5199000.0,2020-10-29
2020-10-19,776.45,783.8000000000001,771.1000000000001,776.0000000000001,790500.0,5190750.0,2020-10-29
2020-10-20,781.0000000000001,782.45,766.8000000000001,778.3000000000001,2036250.0,5277750.0,2020-10-29
2020-10-21,775.4000000000001,780.95,756.6000000000001,762.1500000000001,1534500.0,5360250.0,2020-10-29
2020-10-22,763.2,763.2,747.3000000000001,757.0000000000001,1686000.0,5326500.0,2020-10-29
2020-10-23,757.4000000000001,765.2,743.6500000000001,747.3000000000001,2162250.0,5352000.0,2020-10-29
2020-10-26,749.4000000000001,760.3000000000001,740.9000000000001,755.1500000000001,4376250.0,4728000.0,2020-10-29
2020-10-27,765.4000000000001,765.4000000000001,745.95,749.6000000000001,3298500.0,3562500.0,2020-10-29
2020-10-28,749.6000000000001,752.1500000000001,740.3500000000001,744.2,2582250.0,4381500.0,2020-11-26
