date,open,high,low,close,volume,oi,expiry
2020-01-01,434.25,437.8,433.1,435.75,3616250.0,63221250.0,2020-01-30
2020-01-02,435.05,445.25,434.1,437.45,8746250.0,63571250.0,2020-01-30
2020-01-03,435.75,452.0,435.15,446.0,17520000.0,63011250.0,2020-01-30
2020-01-06,443.0,446.4,437.3,441.8,8857500.0,62342500.0,2020-01-30
2020-01-07,444.5,448.8,439.45,447.6,7665000.0,62268750.0,2020-01-30
2020-01-08,444.0,448.25,440.65,441.65,6675000.0,62442500.0,2020-01-30
2020-01-09,444.5,446.75,441.45,442.25,5027500.0,63036250.0,2020-01-30
2020-01-10,443.0,450.9,441.5,445.0,8246250.0,62762500.0,2020-01-30
2020-01-13,448.25,454.7,444.5,446.75,8710000.0,62966250.0,2020-01-30
2020-01-14,448.0,451.2,446.25,447.8,5533750.0,63053750.0,2020-01-30
2020-01-15,448.35,452.75,446.0,451.15,6012500.0,63623750.0,2020-01-30
2020-01-16,452.9,458.25,449.3,450.8,8078750.0,63970000.0,2020-01-30
2020-01-17,446.4,458.2,446.4,456.05,7293750.0,63810000.0,2020-01-30
2020-01-20,455.1,457.1,447.3,450.6,6666250.0,63300000.0,2020-01-30
2020-01-21,449.05,452.95,447.4,448.7,5160000.0,63281250.0,2020-01-30
2020-01-22,450.25,454.9,446.85,447.7,5860000.0,63056250.0,2020-01-30
2020-01-23,448.8,452.75,445.9,450.55,4146250.0,61478750.0,2020-01-30
2020-01-24,449.9,453.3,447.5,448.35,8262500.0,57062500.0,2020-01-30
2020-01-27,446.95,451.95,443.05,448.9,19786250.0,49960000.0,2020-01-30
2020-01-28,448.9,463.15,448.75,453.6,28466250.0,41805000.0,2020-02-27
2020-01-29,455.85,456.65,449.45,450.2,13808750.0,51603750.0,2020-02-27
2020-01-30,451.35,451.35,439.2,441.3,17297500.0,63482500.0,2020-02-27
2020-01-31,441.15,444.35,432.45,433.4,5425000.0,64112500.0,2020-02-27
2020-02-03,423.1,427.5,410.55,413.0,9205000.0,63665000.0,2020-02-27
2020-02-04,414.25,423.4,409.55,421.15,9866250.0,64038750.0,2020-02-27
2020-02-05,425.1,428.35,419.15,424.05,8336250.0,65607500.0,2020-02-27
2020-02-06,426.85,435.0,421.4,427.75,18341250.0,67600000.0,2020-02-27
2020-02-07,428.85,436.7,419.25,427.0,15050000.0,67163750.0,2020-02-27
2020-02-10,427.85,428.6,414.65,416.85,5901250.0,67708750.0,2020-02-27
2020-02-11,418.45,421.15,413.35,415.1,7941250.0,68393750.0,2020-02-27
2020-02-12,414.85,417.8,410.45,411.1,6861250.0,69913750.0,2020-02-27
2020-02-13,411.2,416.45,407.95,415.35,7148750.0,70625000.0,2020-02-27
2020-02-14,416.8,420.85,412.85,414.25,6288750.0,70001250.0,2020-02-27
2020-02-17,415.35,417.0,406.0,406.85,6201250.0,69341250.0,2020-02-27
2020-02-18,404.95,408.65,397.5,406.45,7526250.0,68998750.0,2020-02-27
2020-02-19,408.0,412.2,399.35,402.5,10412500.0,68506250.0,2020-02-27
2020-02-20,401.85,410.35,401.85,403.55,22797500.0,56452500.0,2020-02-27
2020-02-24,406.35,413.35,394.15,395.8,37968750.0,49821250.0,2020-02-27
2020-02-25,395.8,397.19999999999993,379.9,385.05,20777500.0,51678750.0,2020-03-26
2020-02-26,381.65,382.85,368.25,370.3,17980000.0,59983750.0,2020-03-26
2020-02-27,370.75,384.69999999999993,365.1,382.65,28387500.0,73673750.0,2020-03-26
2020-02-28,378.8,379.75,364.05,365.85,12193750.0,73361250.0,2020-03-26
2020-03-02,373.8,376.8,357.6,363.6,11036250.0,72776250.0,2020-03-26
2020-03-03,370.3,390.5,368.4,387.6,19910000.0,70445000.0,2020-03-26
2020-03-04,392.69999999999993,406.85,381.15,400.8,32235000.0,69863750.0,2020-03-26
2020-03-05,403.69999999999993,408.4,396.9,400.25,12625000.0,69072500.0,2020-03-26
2020-03-06,385.8,398.15,384.35,395.25,9805000.0,68656250.0,2020-03-26
2020-03-09,389.8,397.8,380.8,389.25,15807500.0,67506250.0,2020-03-26
2020-03-11,389.4,390.19999999999993,374.3,380.25,14965000.0,66197500.0,2020-03-26
2020-03-12,358.85,365.8,339.85,347.65,18306250.0,64607500.0,2020-03-26
2020-03-13,338.29999999999995,397.8,314.1,378.69999999999993,21507500.0,63191250.0,2020-03-26
2020-03-16,373.8,390.1,356.35,362.44999999999993,19897500.0,63411250.0,2020-03-26
2020-03-17,368.6,387.3,357.44999999999993,362.05,21507500.0,60445000.0,2020-03-26
2020-03-18,372.8,377.69999999999993,348.54999999999995,356.44999999999993,17246250.0,57395000.0,2020-03-26
2020-03-19,345.49999999999994,368.3,341.44999999999993,354.1,20421250.0,49522500.0,2020-03-26
2020-03-20,359.29999999999995,372.8,355.79999999999995,360.19999999999993,18918750.0,45221250.0,2020-03-26
2020-03-23,333.24999999999994,345.99999999999994,307.9,315.99999999999994,22157500.0,40261250.0,2020-03-26
2020-03-24,315.99999999999994,329.8999999999999,310.1499999999999,317.79999999999995,12340000.0,36587500.0,2020-04-30
2020-03-25,315.69999999999993,334.94999999999993,311.49999999999994,331.79999999999995,15143750.0,45436250.0,2020-04-30
2020-03-26,345.3999999999999,345.3999999999999,320.49999999999994,322.3999999999999,21785000.0,54808750.0,2020-04-30
2020-03-27,327.04999999999995,336.49999999999994,316.49999999999994,321.19999999999993,10335000.0,55766250.0,2020-04-30
