date,open,high,low,close,volume,oi,expiry
2020-01-01,44.15,44.7,43.15,43.4,65938400.0,247227200.0,2020-01-30
2020-01-02,43.7,46.25,43.2,44.95,31310400.0,240248800.0,2020-01-30
2020-01-03,44.3,45.65,44.05,44.85,18770400.0,238128000.0,2020-01-30
2020-01-06,44.2,44.7,43.1,43.55,23601600.0,233860000.0,2020-01-30
2020-01-07,44.25,44.6,41.6,43.05,21894400.0,233349600.0,2020-01-30
2020-01-08,43.8,45.05,42.45,43.55,35543200.0,231360800.0,2020-01-30
2020-01-09,44.5,46.9,43.4,44.35,45856800.0,233217600.0,2020-01-30
2020-01-10,44.8,45.6,39.65,40.5,82420800.0,230146400.0,2020-01-30
2020-01-13,39.35,39.95,36.8,37.65,42222400.0,231308000.0,2020-01-30
2020-01-14,37.65,38.1,31.75,35.25,64900000.0,224796000.0,2020-01-30
2020-01-15,35.5,39.7,34.0,37.15,234440800.0,258561600.0,2020-01-30
2020-01-16,37.5,37.75,36.1,37.25,21146400.0,255921600.0,2020-01-30
2020-01-17,35.0,38.15,34.65,37.75,31169600.0,247148000.0,2020-01-30
2020-01-20,38.45,38.8,36.4,37.45,22721600.0,242272800.0,2020-01-30
2020-01-21,37.3,37.8,36.55,37.45,16843200.0,237846400.0,2020-01-30
2020-01-22,38.2,38.45,37.15,38.2,27640800.0,229732800.0,2020-01-30
2020-01-23,38.35,41.3,37.95,40.8,55985600.0,207495200.0,2020-01-30
2020-01-24,41.4,45.0,40.65,42.8,78988800.0,180056800.0,2020-01-30
2020-01-27,42.3,43.35,41.6,42.4,98753600.0,118580000.0,2020-01-30
2020-01-28,42.4,42.95,39.75,40.1,75072800.0,155082400.0,2020-02-27
2020-01-29,40.7,41.45,39.7,40.05,152829600.0,219093600.0,2020-02-27
2020-01-30,39.5,39.5,37.1,37.45,88730400.0,235206400.0,2020-02-27
2020-01-31,38.3,39.65,37.5,38.1,66554400.0,237274400.0,2020-02-27
2020-02-03,36.1,36.2,32.2,33.0,95251200.0,252568800.0,2020-02-27
2020-02-04,33.3,33.75,31.7,33.15,73999200.0,256511200.0,2020-02-27
2020-02-05,33.15,38.6,32.15,35.25,159526400.0,269262400.0,2020-02-27
2020-02-06,32.0,37.5,32.0,36.3,37356000.0,261632800.0,2020-02-27
2020-02-07,35.9,38.85,35.7,37.85,25863200.0,259318400.0,2020-02-27
2020-02-10,38.65,38.7,36.05,37.5,25986400.0,258315200.0,2020-02-27
2020-02-11,37.8,37.85,36.65,36.95,16280000.0,257294400.0,2020-02-27
2020-02-12,36.95,36.95,34.05,34.75,23416800.0,256968800.0,2020-02-27
2020-02-13,35.75,38.6,35.6,37.85,39978400.0,247790400.0,2020-02-27
2020-02-14,38.25,41.05,38.25,40.2,34672000.0,239500800.0,2020-02-27
2020-02-17,40.5,41.1,37.55,38.45,27658400.0,236904800.0,2020-02-27
2020-02-18,38.6,38.65,32.7,33.9,191215200.0,288675200.0,2020-02-27
2020-02-19,33.15,36.15,32.7,35.35,44211200.0,280288800.0,2020-02-27
2020-02-20,35.65,37.95,34.7,36.95,44915200.0,270916800.0,2020-02-27
2020-02-24,36.5,37.95,34.9,37.15,110360800.0,215371200.0,2020-02-27
2020-02-25,37.15,37.45,35.75,36.15,108688800.0,177663200.0,2020-03-26
2020-02-26,36.0,37.85,35.5,36.85,131956000.0,255604800.0,2020-03-26
2020-02-27,37.75,39.2,36.85,37.5,75169600.0,264413600.0,2020-03-26
2020-02-28,36.2,37.5,34.5,35.349999999999994,77448800.0,276557600.0,2020-03-26
2020-03-02,36.9,36.9,31.3,32.8,74474400.0,279716800.0,2020-03-26
2020-03-03,34.099999999999994,34.9,31.85,32.8,84374400.0,285084800.0,2020-03-26
